id,text,human_writer_v,human_writer_a,human_writer_d,human_reader_v,human_reader_a,human_reader_d,w_ev,w_ea,w_ed,w_gv,w_ga,w_gd,w_p555,r_ev,r_ea,r_ed,r_gv,r_ga,r_gd,r_p555,s_ev,s_ea,s_ed,s_gv,s_ga,s_gd,s_p555
110CYL068_1079_1110,If I wasn't working here.,3.0,3.2,3.0,2.6,3.0,2.6,,,,1,1,1,,,,,1,1,1,,2.7635273000899696,2.9345376450044824,2.9764473924037733,1,1,1,0.01988058049463037
110CYL068_1946_1997,"I've got more than a job; I've got a career.""",3.4,3.2,3.8,3.17,3.5,3.0,2.9536171819139176,2.992452078142795,3.0277918836629976,1,1,1,0.015635392387914573,3.190697207350791,3.3131382076659017,3.3720212921773594,1,1,1,0.015653093376101535,3.084240149630251,3.200543945344796,3.2307618374944855,1,1,1,0.03930568595972058
110CYL069_267_291,He has no time to waste.,2.8,3.2,3.2,3.0,3.5,3.5,2.2479751063873596,2.3267829135481284,2.352738181638693,1,1,1,0.028382247865295026,3.4448328879735013,3.5498479597639925,3.5489387489693205,1,1,1,0.049967952615946644,3.8703918559947925,4.080162547255339,4.084984944913467,1,1,1,0.035477928254005024
110CYL069_313_453,"With the help of friends like you, Goodwill has continued to adapt our services to meet the human needs of our changing society.",3.2,3.0,3.2,3.6,3.2,3.6,3.4859638754750932,3.5986408210978413,3.597142149090839,1,1,1,0.029566162397231702,3.511507896561251,3.587515973993726,3.6196173878823226,1,1,1,0.035752005859961786,4.131775298531311,4.230395131162005,4.2081070436275585,1,1,1,0.05063975451110541
110CYL069_3152_3165,Real results.,3.0,2.5,3.17,3.0,2.75,3.0,2.879668472515885,3.046000456533343,3.087363346327915,1,1,1,0.0379175446167837,3.576945566295178,3.7167325127801596,3.7387955531732953,1,1,1,0.057310733710064336,3.4468227503500346,3.740770614062316,3.760510816297211,1,1,1,0.03507473317144431
110CYL069_3409_3451,Your support helps provide real solutions.,3.4,3.2,3.4,3.4,2.6,2.6,3.635142648746368,3.802628037995553,3.8146540402845854,1,1,1,0.07870882916621683,4.567043006131363,4.627410559776671,4.625226015753777,9,9,9,0.08082138269249305,4.722386265483852,4.856189494175552,4.869869483976279,9,9,9,0.04756823904642021
110CYL069_545_682,"The gift that I am asking you to make will be used to continue our mission of helping people prepare for, find and keep jobs.",3.2,2.8,2.8,3.2,3.2,3.0,2.3011830715416974,2.3256390703808782,2.381444050102483,1,1,1,0.020193939199319492,2.6678639639057202,2.7016481508580856,2.7516223281569268,1,1,1,0.033355966191389384,2.945151208296464,2.9716826582515727,2.992769648584,1,1,1,0.03869647740406334
110CYL070_1342_1371,James M. McClelland President,3.0,2.8,3.0,3.0,2.67,3.33,3.44633247577909,3.4129485844066076,3.4123710152847875,1,1,1,0.033032640854733626,3.696141746192057,3.7765440505426513,3.764017572180278,1,1,1,0.047240411569628306,4.001940289965517,4.195138317979664,4.135983196826716,1,1,1,0.04362413136602872
110CYL071_1114_1167,"At last, he has found success in a job that he loves.",3.5,3.0,3.25,4.0,3.6,3.4,2.5030786242313607,2.639536375711833,2.6690940191298624,1,1,1,0.020253480598651605,2.650064509943838,2.9196271991069453,2.9470076222409443,1,1,1,0.020564692132645262,4.463219981408421,4.641142375685078,4.608978695777761,1,1,1,0.052556227203101276
110CYL071_1837_1955,Their successes at work also saved taxpayers more than three-quarters of a million dollars in public assistance.,3.6,2.6,3.2,3.8,3.2,3.4,3.6201313743277934,3.6105235465153696,3.620246218202701,1,1,1,0.007634740738334464,3.4354663743128007,3.3953132009365348,3.4774722905544495,1,1,1,0.0094484671602112,3.673192287457753,3.7450614862788854,3.820830966513772,1,1,1,0.02460355992863566
110CYL071_1962_2031,"The savings are counted in more ways than dollars and cents, however.",3.0,2.2,3.2,3.0,2.67,3.67,2.2737178313569597,2.4120425570694124,2.5073097364116217,1,1,1,0.009111625836353122,2.350578117661779,2.475462010147983,2.5959906126433503,1,1,1,0.008186128626200178,2.567387868933495,2.813608605540707,2.8636313575764882,1,1,1,0.016855907520539996
110CYL071_2392_2518,Your gift will help give new meaning to the word success -- for people who have seldom had reason to use the word.,3.6,3.0,3.2,3.6,3.4,3.0,4.117225599425074,4.270070232942979,4.233011879054775,2,2,2,0.02986974840706359,3.4464102989498073,3.5830305831539606,3.6124509098209465,1,1,1,0.026747784282441994,5.062893601772577,5.141478335016741,5.1090810942624705,9,9,9,0.02591969234579308
110CYL071_246_283,Michael was born with cerebral palsy.,2.0,3.5,2.5,2.2,3.0,3.0,3.3251617653475813,3.5647555804472955,3.582057191011971,1,1,1,0.04611916555239769,4.076959579450627,4.237876018370596,4.242214385161016,1,1,1,0.04178735760585258,4.249551521859782,4.511649967790076,4.515251385588735,9,9,9,0.0461787601312887
110CYL071_458_550,His most recent job lasted only a year before cut-backs eliminated his position.,2.75,3.0,3.0,2.0,3.0,2.75,2.6033765696705737,2.7043493459156926,2.709016301849521,1,1,1,0.007870853998205078,2.970736998845987,3.202064960209661,3.238566777681342,1,1,1,0.010845947804443137,3.0305016887695015,3.1852661713733994,3.1809810824093256,1,1,1,0.029018144277333027
110CYL071_606_664,He resorted to public assistance dollars to survive.,2.6,3.2,3.0,2.8,3.0,3.2,3.6610292225448804,3.8682060850839273,3.839029323253352,1,1,1,0.04381511757533117,3.6500273769074885,3.8273879466578142,3.8062415221092576,1,1,1,0.030132088620465968,4.915259580445875,4.9990208014693,4.93297322635963,9,9,9,0.04162773515187084
110CYL071_665_698,"Finally, Michael called Goodwill.",3.0,3.2,3.0,3.2,3.0,3.0,3.21745366981923,3.355612709134549,3.3536612362817113,1,1,1,0.020222614162001416,3.5727677151129495,3.8164715902662794,3.8064624103337312,1,1,1,0.0303176815976991,3.6411341335089595,3.912196279312944,3.89843864650799,1,1,1,0.02150340870757609
110CYL200_1611_1668,"Some are blind, deaf or have other physical disabilities.",2.8,3.0,3.0,2.0,3.0,3.0,4.637960000069215,4.562546537715239,4.541469570516753,9,9,9,0.04503884808377858,4.467481309512707,4.487725405917714,4.4875618051044786,9,9,9,0.03960460530061675,5.365438854694768,5.239349027744344,5.2311378780199655,9,9,9,0.04703244882744488
110CYL200_2548_2558,"Sincerely,",3.25,3.25,3.0,3.2,3.0,3.2,3.3516808401588394,3.3644059420536845,3.3549636732047645,1,1,1,0.04554597223878196,3.720619964212632,3.777058157112496,3.7639675274577304,1,1,1,0.0685424111823783,3.6756621195486137,3.7673638668364537,3.742144730583875,1,1,1,0.034091239177275134
110CYL200_481_588,He went to the Center Township Trustee for food stamps until he could find a job and a place to live.,2.8,3.0,3.0,3.2,3.0,3.0,3.081868649132791,3.1681688027747636,3.1819558553182294,1,1,1,0.02551362373291888,2.6310106343951754,2.7792124048932196,2.8305766688020424,1,1,1,0.023925881998969292,3.3768764357983883,3.492143642616857,3.501332657499161,1,1,1,0.037365018303177094
112C-L012_1625_1768,Please take a few minutes to send a donation to help one or more of our children successfully cross that threshold into the future.,3.0,2.67,2.67,3.2,3.0,2.8,2.406652258338589,2.5301116545953564,2.555397355491432,1,1,1,0.021267245438716748,2.765024497768059,2.839457304995821,2.8739797323441367,1,1,1,0.02824529231118319,2.953092450109388,3.042718601492159,3.0485327292084445,1,1,1,0.026475198023998902
112C-L012_409_634,"To help them establish themselves in the community, the Pleasant Run Emancipation fund was begun in 1993 by private donors who wanted to provide a measure of financial support for those leaving our programs.",3.2,3.0,3.4,3.2,3.0,3.2,,,,1,1,1,,,,,1,1,1,,,,,1,1,1,
