id,text,human_writer_v,human_writer_a,human_writer_d,human_reader_v,human_reader_a,human_reader_d,w_ev,w_ea,w_ed,w_gv,w_ga,w_gd,w_p555,r_ev,r_ea,r_ed,r_gv,r_ga,r_gd,r_p555,s_ev,s_ea,s_ed,s_gv,s_ga,s_gd,s_p555
110CYL068_1079_1110,If I wasn't working here.,3.0,3.2,3.0,2.6,3.0,2.6,4.49823926029116,2.178929707269476,1.4624436880863545,4,2,1,1.6034882433913984e-09,7.058181643471625,3.4999827181451613,2.063332288389146,8,4,2,1.8239757326129332e-09,2.9501716419822963,2.4788971378511153,1.718110989202537,4,2,1,4.235121826534227e-09
110CYL068_1946_1997,"I've got more than a job; I've got a career.""",3.4,3.2,3.8,3.17,3.5,3.0,8.17398555051707,6.78155686498899,7.328788791608603,8,7,7,1.0447032159065081e-11,8.147743834687677,6.568383199064906,7.044156100602422,8,6,7,6.6810881744280655e-12,8.444958480534211,6.817179209078009,7.788529477788463,9,7,8,2.3459397803180696e-12
110CYL069_267_291,He has no time to waste.,2.8,3.2,3.2,3.0,3.5,3.5,7.168291543570485,6.110377925557847,6.339163456948243,8,6,7,1.3263432343901813e-07,7.825570568752466,6.199285809579507,6.6401721567254,8,6,7,1.86917483997181e-09,7.427657958061794,6.259003247943223,6.785948553992251,9,6,7,7.23456724051351e-08
110CYL069_313_453,"With the help of friends like you, Goodwill has continued to adapt our services to meet the human needs of our changing society.",3.2,3.0,3.2,3.6,3.2,3.6,7.450549474673595,5.800074239175037,6.457119373432299,8,6,7,1.344007524546287e-07,7.682393959176221,5.808478293591078,6.7158103270373495,8,6,7,1.0906325618581583e-07,5.6327347372704635,4.9152518139863215,5.149323505203415,8,6,7,5.22182781745294e-07
110CYL069_3152_3165,Real results.,3.0,2.5,3.17,3.0,2.75,3.0,7.407547729830138,6.16152125298756,6.258609745387434,8,6,7,2.6752993983779586e-06,7.718436814645762,5.74766441908575,6.547955203647805,8,6,7,3.6204398890957854e-07,7.53492636968397,5.907834869174853,5.560366294663602,9,7,6,1.976845052368063e-05
110CYL069_3409_3451,Your support helps provide real solutions.,3.4,3.2,3.4,3.4,2.6,2.6,7.5040034191943885,6.125946448116707,6.746142774206278,8,6,7,4.315727239658448e-08,7.76566458604476,5.9247848266023935,6.861046653931657,8,6,7,3.143455316072321e-08,7.782442233029143,6.340249803331769,6.861456172092787,8,6,7,2.5308725814238095e-08
110CYL069_545_682,"The gift that I am asking you to make will be used to continue our mission of helping people prepare for, find and keep jobs.",3.2,2.8,2.8,3.2,3.2,3.0,5.917420346228951,4.733247277259595,5.300939270003043,8,6,7,3.4296943442199887e-07,7.320078317973087,5.678853314140731,6.398257207580856,8,6,7,1.0600431920854357e-07,3.3521013904886714,4.480294580512817,4.740388576941056,1,2,3,5.142997107060153e-07
110CYL070_1342_1371,James M. McClelland President,3.0,2.8,3.0,3.0,2.67,3.33,6.4149598927878895,6.367296324932303,7.627372933684505,8,6,7,4.909653976444887e-10,7.739455795975742,6.169733462489463,7.324251693275202,8,6,7,3.163013279199578e-09,4.78465177324345,6.3385375817812815,7.515277838487887,8,6,7,7.074612184154167e-10
110CYL071_1114_1167,"At last, he has found success in a job that he loves.",3.5,3.0,3.25,4.0,3.6,3.4,8.153405917066157,6.836080845454243,7.546463517772892,8,7,7,3.718893184853001e-10,8.010538994957477,6.449547904809627,6.676048264077333,8,6,7,8.857752634526607e-11,8.496344026648881,6.808450454766402,7.804555480184796,9,7,8,9.767310027472144e-11
110CYL071_1837_1955,Their successes at work also saved taxpayers more than three-quarters of a million dollars in public assistance.,3.6,2.6,3.2,3.8,3.2,3.4,7.852379583078743,6.4820516235250585,7.297466253117909,8,6,7,5.4460880516613353e-11,7.754106630495231,6.101468877117488,7.068447066464491,8,6,7,2.1593167456676745e-08,7.628648177243518,6.3092275432590466,7.229396587722519,8,6,7,5.181734637776275e-11
