id,text,human_writer_v,human_writer_a,human_writer_d,human_reader_v,human_reader_a,human_reader_d,w_ev,w_ea,w_ed,w_gv,w_ga,w_gd,w_p555,r_ev,r_ea,r_ed,r_gv,r_ga,r_gd,r_p555,s_ev,s_ea,s_ed,s_gv,s_ga,s_gd,s_p555
110CYL068_1079_1110,If I wasn't working here.,3.0,3.2,3.0,2.6,3.0,2.6,3.943199378064053,4.249838210847912,4.078032822764387,1,1,1,0.007681443233394393,3.9268947472829256,4.229380440288256,3.96627422497278,1,1,1,0.007560923356341285,4.019540372287288,4.21901713552294,4.098473573303714,1,1,1,0.007564172205967561
110CYL068_1946_1997,"I've got more than a job; I've got a career.""",3.4,3.2,3.8,3.17,3.5,3.0,4.152545630495766,4.203843611482663,4.124565426521724,1,1,1,0.006777929613097155,4.033215612973888,4.080620834316581,3.9595879664041287,1,1,1,0.007162138948540284,4.005690086378369,4.254211789256619,4.165907356916157,1,1,1,0.0063708572125287305
110CYL069_267_291,He has no time to waste.,2.8,3.2,3.2,3.0,3.5,3.5,3.9050635392617323,4.274031617700695,4.066239433875838,1,1,1,0.006195988971168091,3.8311730850947097,4.2098522759544625,3.915998151506087,1,1,1,0.00620582425803543,3.9814610268621733,4.269325548859506,4.111165621448178,1,1,1,0.006305044441899481
110CYL069_313_453,"With the help of friends like you, Goodwill has continued to adapt our services to meet the human needs of our changing society.",3.2,3.0,3.2,3.6,3.2,3.6,4.23879278717135,4.406451723545215,4.310317873737171,1,1,1,0.008090748697623325,4.231496199484902,4.375290675340329,4.24637760670072,1,1,1,0.008953856758868556,4.335123830274848,4.437934051397436,4.288269778575746,1,1,1,0.009477731913395224
110CYL069_3152_3165,Real results.,3.0,2.5,3.17,3.0,2.75,3.0,4.118135154458085,4.499685209215837,4.258863434347239,1,1,1,0.006728639892411264,3.8282288775757842,4.426406844446083,4.0779996665992755,1,1,1,0.007250314557271486,3.934539314035,4.518525764816083,4.294705517514662,1,1,1,0.006245448820881288
110CYL069_3409_3451,Your support helps provide real solutions.,3.4,3.2,3.4,3.4,2.6,2.6,4.074395966514933,4.3898159496230935,4.192851497209542,1,1,1,0.007212277914483934,4.00517907131605,4.337695214219629,4.106066791195374,1,1,1,0.0077957729407129965,4.106962229537756,4.388972641733951,4.260511409411548,1,1,1,0.007196643107014892
110CYL069_545_682,"The gift that I am asking you to make will be used to continue our mission of helping people prepare for, find and keep jobs.",3.2,2.8,2.8,3.2,3.2,3.0,4.107294059409702,4.320040853337936,4.1407548659383675,1,1,1,0.008888153542834393,4.068273861758389,4.251910531096755,4.015555128610341,1,1,1,0.00915624324508653,4.056994061554478,4.253110979865289,4.042737677292855,1,1,1,0.00979657050680505
110CYL070_1342_1371,James M. McClelland President,3.0,2.8,3.0,3.0,2.67,3.33,3.9633418113360173,4.405832310360814,4.305985020480792,1,1,1,0.006706674200614351,3.8964804985820427,4.333647822693614,4.249325810322366,1,1,1,0.0069277699333269065,3.9428114456327874,4.394520044374765,4.416486653450791,1,1,1,0.00595477652888412
110CYL071_1114_1167,"At last, he has found success in a job that he loves.",3.5,3.0,3.25,4.0,3.6,3.4,4.196145505609222,4.249113439723296,4.01952700311047,1,1,1,0.007730883558201327,4.108008291113715,4.121976883724576,3.9171898127352085,1,1,1,0.007776295704181274,4.04911729795777,4.233045059446214,4.070332603992933,1,1,1,0.007082106546429008
110CYL071_1837_1955,Their successes at work also saved taxpayers more than three-quarters of a million dollars in public assistance.,3.6,2.6,3.2,3.8,3.2,3.4,4.124902020451394,4.4037049582931616,4.250538152219581,1,1,1,0.007608100852531768,4.032559132582837,4.304829354080857,4.103332790903428,1,1,1,0.007344538707317008,4.099672754679015,4.408000374410325,4.280134157178782,1,1,1,0.007236500712035749
110CYL071_1962_2031,"The savings are counted in more ways than dollars and cents, however.",3.0,2.2,3.2,3.0,2.67,3.67,3.852511888322785,4.309921324411095,4.1281989385104,1,1,1,0.006769360386471657,3.825889306786749,4.22319352412163,4.001640524429344,1,1,1,0.007041067493334079,3.7711651839120934,4.425248023771889,4.251189962464926,1,1,1,0.0064484570424538645
