layer,relative_depth,magnitude_self,magnitude_reader,shift_V_self,shift_A_self,shift_V_reader,shift_A_reader,directional_cosine_similarity,mean_pairwise_directional_cosine,discovery_mag_self,discovery_mag_reader,confirmation_mag_self,confirmation_mag_reader
0,0.0,0.2011848267955837,0.38336885959415157,-0.12649663433882605,-0.15644147798368035,-0.25988427851474094,-0.28183655598128654,0.9978920274859568,0.7525538927069524,0.43580463900070743,0.6681237313146262,0.31198506914246005,0.556793430438832
1,0.04,0.19136791511640946,0.3514048812033971,-0.12990018777166085,-0.1405262258544239,-0.25244236114989027,-0.24445499551173425,0.9984687717869092,0.7181608068397687,0.4757558902902409,0.6544604235932491,0.32130027861385235,0.5405264666772879
2,0.08,0.1172190557613599,0.307258225363435,-0.07926108659046878,-0.08635963864029893,-0.20932636379767766,-0.2249224098944561,0.9999759564552699,0.5420515484101607,0.3333162653161328,0.48113711181258356,0.3013855231043252,0.4965120921233378
3,0.12,0.09627404780555696,0.22159513017784255,-0.05693003141612481,-0.07763803065396306,-0.15205129326866965,-0.16119803328161297,0.9923840597479185,0.5277211784875692,0.34388046180196896,0.4675973495066579,0.27450065043280447,0.4041182812712434
4,0.16,0.10946492727081289,0.03692847271811383,0.10557635309304968,0.02891719159904806,0.0030876587907803354,-0.03679916385577523,-0.18260185139075671,0.6185338137394704,0.4366232382821688,0.4187154299304904,0.2881455577280532,0.416251052141355
5,0.2,0.10987708906850377,0.06469140809101379,0.10644145140968307,0.027261550285484278,0.06302101871851219,0.014605802972757757,0.999735783977041,0.6702568112414415,0.29637828696711677,0.33367101959164286,0.24744449426814882,0.291901301008308
6,0.24,0.0567763431259887,0.04597732266933929,0.053706044261250384,0.018417761768700865,0.044545180681930995,0.011386003594530559,0.9967920536806758,0.5581950959144778,0.23941283253297393,0.2680000557120812,0.17911620298591197,0.2284908908560248
7,0.28,0.01466924203113451,0.02018329351365333,0.012264652207102903,0.008047668482660628,-0.010038091608645165,-0.017510055794163766,-0.8917674892603732,0.601926637282855,0.2388063264218096,0.33846841317124987,0.20893924689459772,0.2462323381957843
8,0.32,0.06459173666097433,0.05836496767359821,0.05488199044164089,0.034059647238987856,0.05050645297866814,0.029250088188820012,0.9995351946571472,0.7145293617859126,0.22269448987053017,0.24587362203281274,0.18368196536412712,0.24421672198380834
9,0.36,0.0399844160805209,0.05218862499477049,0.03995571431282464,0.0015147353076225907,0.051110892105683106,0.010551269449976294,0.9863053247884035,0.562724999716995,0.17927260785098162,0.2187216763796549,0.1730148477953645,0.24281015843424056
10,0.4,0.02541702382145457,0.06375458863434023,-0.015196754066889525,-0.020373604633713342,-0.04489181775043531,-0.045269993052745726,0.9901699989560396,0.6366683694516679,0.1490290577942656,0.17570202245162642,0.12345965290178289,0.1909805143175031
11,0.44,0.02518572279087886,0.019612086823011687,0.02180880139428652,0.012597492379182505,0.015658032366668732,0.011809317167292232,0.9925216692706675,0.6347522684143186,0.12161832228499408,0.1105739995381985,0.1259081975988991,0.14085469588358263
12,0.48,0.034795531716368504,0.027115359696156933,0.030226554965510813,0.017236136525966606,0.022124332597192785,0.015676627143003833,0.9951811878265447,0.5964113430702385,0.13016689626331865,0.1089714927157649,0.10802398758189322,0.09356617672181318
13,0.52,0.03553636624984174,0.031064030595666373,0.023734530741299522,0.02644816395769655,0.019472390618205153,0.02420330556887907,0.9985490382383757,0.7343993196496968,0.11061958142602353,0.10088810456563684,0.10274990273301196,0.09398852888368806
14,0.56,0.021113128423385055,0.020765677472709767,0.012466007994861007,0.017040036282074383,0.010364642744431602,0.017994097412232356,0.9940637442610304,0.7262917173750819,0.11206112528211466,0.09248213224305196,0.0993299926007306,0.0977987508420934
15,0.6,0.018803929046114193,0.03329368586492298,-0.01776865999909141,-0.006153248687318418,-0.028139920999979064,-0.017793660797798445,0.9735571561628433,0.740939766424549,0.10808226938181516,0.10304614110125687,0.08612066882152469,0.10344094152129216
16,0.64,0.0035285854753317617,0.008125826406454354,0.002990789593415042,0.0018724564252987463,0.0041332218636262,0.006996108333486071,0.8880059738040937,0.7281115026804335,0.06188169126540852,0.060494045440558294,0.06399681473917337,0.08045018519203188
17,0.68,0.014375370843296207,0.026964755260457683,0.01025556804633133,0.010073460722579829,0.01867184973349005,0.019454049804252783,0.9995657580927286,0.5623858784646928,0.05277510065160544,0.05697764603623239,0.05651108064284273,0.07154672207261724
18,0.72,0.021227005238789072,0.017911418650650192,0.014367301863905125,0.015625824412139253,0.012202490990737037,0.013111755477427154,0.9999818068235122,0.4602658075780776,0.05678485611513742,0.04666711171626247,0.06330865404846271,0.0811918875436332
19,0.76,0.021145818342414736,0.016400388567508167,0.014512329216104377,0.015379789793550718,0.011223461232772179,0.011958539338970817,0.9999963905149962,0.4136956150977494,0.057671467645156654,0.04103401817884141,0.06064007233755501,0.07864911515389093
20,0.8,0.008631281591510357,0.011188631448525882,-0.008212218583684852,0.0026567814824946996,-0.010385455839965379,-0.004162665094272107,0.7686303085458751,0.670686835356502,0.03956166544740799,0.043558679593115816,0.04534787053496673,0.05460197885186291
21,0.84,0.011670990427295583,0.008598842040213838,0.007611528684147659,0.008847409148695598,0.006735157177413624,0.0053458153941267576,0.9821084228536912,0.5104327475848721,0.033809212644795014,0.031634816297920906,0.030354922670025233,0.039015365183007994
22,0.88,0.012470049881192173,0.013384306325521443,0.010561706186055939,0.006629668655283508,0.010686536769369242,0.008058386171704141,0.9963423311505001,0.4671482400308675,0.0308226278658687,0.02599733732140787,0.026417760369836805,0.03528528143217122
23,0.92,0.012390594676830059,0.013036335749724702,0.008995888635069687,0.008520611721637915,0.009723332283120476,0.008683481968172528,0.9995706023537786,0.3888514086939439,0.016782401781775827,0.021118390954272228,0.016120639440541106,0.02098125875173896
24,0.96,0.006013384021695909,0.0019222988174028674,0.004642108463706066,0.0038225144085504985,0.0013237143645324556,0.0013939200208472865,0.9925242599271372,0.14962127924322688,0.0106704901607405,0.011493283880829593,0.01050548552457618,0.010611410416944874
25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
