r2_within_r,r2_within_s,r2_cross_r_to_s,r2_cross_s_to_r,direct_transfer_score,rsa_correlation,r2_aligned_transfer,geometry_pattern,is_held_out,layer,relative_depth,target
-4.070289431019129,-3.9147990877705174,-4.502545415698679,-5.347718347025184,0.0,0.44607801744528225,-4.069162327996286,Operational: Task-Divergent Geometry,True,0,0.0,Valence_human
-3.5196980620803426,-3.9217547900031304,-4.095204504824956,-7.375555304860979,0.0,0.44607801744528225,-4.2509946964610394,Operational: Task-Divergent Geometry,True,0,0.0,Arousal_human
-3.947312429647396,-3.7486962447403656,-5.104309888504254,-6.005949427063459,0.0,0.48965545802810945,-3.8551047835092644,Operational: Task-Divergent Geometry,True,1,0.04,Valence_human
-3.2029798788506465,-3.241599714718241,-3.5225384009121052,-4.67409978808291,0.0,0.48965545802810945,-3.342896503561196,Operational: Task-Divergent Geometry,True,1,0.04,Arousal_human
-3.3120869830601842,-3.06916659892377,-3.751818612801636,-4.913277063902268,0.0,0.5085373931726366,-3.229421179320318,Operational: Task-Divergent Geometry,True,2,0.08,Valence_human
-2.6570554443397514,-2.7477925572475295,-3.5368437336862177,-3.7390385052729096,0.0,0.5085373931726366,-2.801924919828072,Operational: Task-Divergent Geometry,True,2,0.08,Arousal_human
-2.4136995834632176,-2.3825030163957694,-2.6436275986369804,-3.2505651289467705,0.0,0.5235835378455318,-2.457228012698114,Operational: Task-Divergent Geometry,True,3,0.12,Valence_human
-2.3292596257911042,-2.4243350007817677,-2.535145080513216,-3.954490049984785,0.0,0.5235835378455318,-2.4673276388770087,Operational: Task-Divergent Geometry,True,3,0.12,Arousal_human
-1.5197233164683035,-1.5565902082551153,-1.69182359772052,-2.4287349883372955,0.0,0.532428113164239,-1.6090052859179629,Operational: Task-Divergent Geometry,True,4,0.16,Valence_human
-2.184950943060199,-2.050719899146153,-2.491336826861277,-2.937237423736161,0.0,0.532428113164239,-2.0574426265865124,Operational: Task-Divergent Geometry,True,4,0.16,Arousal_human
-1.7250370884877753,-1.7492825346719454,-1.8649225633681956,-2.5890860479540887,0.0,0.5080946475652401,-1.670821925430118,Operational: Task-Divergent Geometry,True,5,0.2,Valence_human
-1.8564409742070427,-1.704952291007273,-2.0673146539383436,-2.732919820417598,0.0,0.5080946475652401,-1.8234810378854496,Operational: Task-Divergent Geometry,True,5,0.2,Arousal_human
-1.1779123223833405,-1.1481379340564737,-1.4073492069781763,-1.8497756086144004,0.0,0.5155082978068244,-1.167690506344453,Operational: Task-Divergent Geometry,True,6,0.24,Valence_human
-1.1196425178298122,-1.1787107712379856,-1.143037168485737,-1.5907944775333775,0.0,0.5155082978068244,-1.1226878613948519,Operational: Task-Divergent Geometry,True,6,0.24,Arousal_human
-1.3453856883433941,-1.3179959252732139,-1.2985394548600357,-1.9205334763150463,0.0,0.5156677545145358,-1.2747330119127267,Operational: Task-Divergent Geometry,True,7,0.28,Valence_human
-1.1282027889262163,-1.0510044372085248,-1.0882717390362409,-1.5358993903704565,0.0,0.5156677545145358,-1.105916862375052,Operational: Task-Divergent Geometry,True,7,0.28,Arousal_human
-0.8306442732423558,-0.9774572829270116,-0.8482490277779346,-1.8702724936595376,0.0,0.5303738699940175,-0.8854052683480818,Operational: Task-Divergent Geometry,True,8,0.32,Valence_human
-1.0165289490676055,-1.090163347094867,-1.1108318500296135,-1.8130740758322226,0.0,0.5303738699940175,-1.2359115763594524,Operational: Task-Divergent Geometry,True,8,0.32,Arousal_human
-0.9605751292917422,-0.9167388852861658,-1.0987838603246431,-1.4515816730216256,0.0,0.5550192853323307,-0.7448890130108428,Operational: Task-Divergent Geometry,True,9,0.36,Valence_human
-0.9078117030448143,-0.9853208953744998,-1.0676323369247318,-1.457063561317701,0.0,0.5550192853323307,-1.1022915467017942,Operational: Task-Divergent Geometry,True,9,0.36,Arousal_human
-0.7171992390993758,-0.8183840759729166,-0.8249650663266306,-1.2221187196738685,0.0,0.5622036371894137,-0.6200989744529513,Operational: Task-Divergent Geometry,True,10,0.4,Valence_human
-1.073579738539638,-1.004532099678206,-1.4178630044626814,-1.6391312704766041,0.0,0.5622036371894137,-1.1843186969613981,Operational: Task-Divergent Geometry,True,10,0.4,Arousal_human
-0.9661927363452112,-0.9049296380108154,-1.3153042041070586,-1.3221591592459898,0.0,0.5640992108017147,-0.794557025329302,Operational: Task-Divergent Geometry,True,11,0.44,Valence_human
-1.3698269537743104,-1.455455664619298,-1.5476232435594364,-2.9762402144122238,0.0,0.5640992108017147,-1.3617536097353757,Operational: Task-Divergent Geometry,True,11,0.44,Arousal_human
-0.911087899326952,-0.7921299699733111,-1.234906864276518,-1.2606894287247083,0.0,0.5718012815413431,-0.826046417901481,Operational: Task-Divergent Geometry,True,12,0.48,Valence_human
-1.3495576202127988,-1.4862559148319257,-1.5717024652683267,-3.329436444649951,0.0,0.5718012815413431,-1.510442554144522,Operational: Task-Divergent Geometry,True,12,0.48,Arousal_human
-1.0026982777790532,-1.0601892227616352,-1.306541499959149,-1.4328086385051293,0.0,0.5455181139461214,-0.9748798390987354,Operational: Task-Divergent Geometry,True,13,0.52,Valence_human
-1.349966564536893,-1.6102669526029114,-1.6706838131198043,-2.9202546030203727,0.0,0.5455181139461214,-1.4586926116675603,Operational: Task-Divergent Geometry,True,13,0.52,Arousal_human
-1.1841681614359256,-1.3243707032750551,-1.2624463985718575,-2.0876909415450715,0.0,0.5560592365256387,-1.2324134572443048,Operational: Task-Divergent Geometry,True,14,0.56,Valence_human
-1.671742031783765,-1.6222415531213157,-1.9312578710867547,-3.6312651034282126,0.0,0.5560592365256387,-1.6825031001619544,Operational: Task-Divergent Geometry,True,14,0.56,Arousal_human
-1.435373002195878,-1.2799714227788854,-1.653318492177628,-2.345455417423518,0.0,0.5548988120464535,-1.363041525121309,Operational: Task-Divergent Geometry,True,15,0.6,Valence_human
-1.5918371798102298,-1.4306203620207811,-1.857808796185227,-2.3493900163479364,0.0,0.5548988120464535,-1.5694999398021134,Operational: Task-Divergent Geometry,True,15,0.6,Arousal_human
-1.1906487550004248,-1.1016952244612308,-1.44716201742485,-2.6970758142917353,0.0,0.5244079533619213,-1.1344756130662184,Operational: Task-Divergent Geometry,True,16,0.64,Valence_human
-1.617220222394117,-1.3920339907203978,-1.7998620983061202,-2.0696009324047027,0.0,0.5244079533619213,-1.354518533779629,Operational: Task-Divergent Geometry,True,16,0.64,Arousal_human
-1.556746575937014,-1.231107058852881,-1.811812778048293,-2.179405362498535,0.0,0.47612139713109763,-1.2910778895546424,Operational: Task-Divergent Geometry,True,17,0.68,Valence_human
