layer,relative_depth,dataset,target_V_human_r2_reader,target_V_human_r2_self,target_V_human_pr_reader,target_V_human_pr_self,target_A_human_r2_reader,target_A_human_r2_self,target_A_human_pr_reader,target_A_human_pr_self
0,0.0,EmoBank,0.04492154639351975,0.04658365073977577,0.25558399085288885,0.25820532120219253,0.06918678339996831,0.06686899671410473,0.2869654441262611,0.284928765773052
1,0.037037037037037035,EmoBank,0.047140921392836876,0.05864102163074569,0.2557776907824297,0.2709960209742902,0.0588958735232602,0.0729371297123278,0.273378200924187,0.2920941680023686
2,0.07407407407407407,EmoBank,0.033419269166861554,0.036096967513546185,0.22744120517633037,0.23866386257741035,0.061451145024015275,0.07034025442474812,0.27357274957713545,0.28672987108931935
3,0.1111111111111111,EmoBank,0.045519498182653106,0.053265927389409495,0.24781750471545838,0.2652451717671222,0.0472607976714986,0.04550409742616579,0.2528580341390427,0.2490186735515318
4,0.14814814814814814,EmoBank,0.04471018607382027,0.04196350434522034,0.2476013163655933,0.24733069735002186,0.027007688812437425,0.041444661736341315,0.22229369921572648,0.24465087623195472
5,0.18518518518518517,EmoBank,0.0237427222708384,0.008608020051545928,0.21546756324962785,0.19421629762912368,-0.00228427941941578,0.027774063514770853,0.17633423507116452,0.21976442136630653
6,0.2222222222222222,EmoBank,0.05575493421262512,0.04504650045082248,0.2677965649707062,0.25201764310255537,0.02849873884733445,0.04256375241492438,0.22260306898703125,0.2445181347640184
7,0.25925925925925924,EmoBank,0.05027997075173907,0.0190369116055894,0.26191573668279405,0.2227862556620829,0.029570531417302703,0.033208360509516255,0.22803997060205294,0.2348734969134645
8,0.2962962962962963,EmoBank,0.06749448139706482,0.06556755668301761,0.28709823168686666,0.2887486239439976,0.02986954214451354,0.03785437370632916,0.23040493228777023,0.2395019884566332
9,0.3333333333333333,EmoBank,0.04250037299147125,0.05989460649722844,0.2551133574892267,0.28202638227073684,0.02241265637568668,0.037210115171771085,0.22221373521931767,0.23986728240858463
10,0.37037037037037035,EmoBank,0.04648304937743408,0.07417945256888936,0.2596259854456822,0.3021631415665478,0.040501424811582254,0.04951648225884042,0.24838414218151797,0.26095845760868
11,0.4074074074074074,EmoBank,0.05955452070412304,0.07675121072200963,0.28123607070388956,0.3018289716755231,0.0362719441678816,0.03605834546032527,0.2438144135216522,0.23847284430422983
12,0.4444444444444444,EmoBank,0.06501983716540338,0.08849564119412245,0.28716394978747295,0.32024794731283096,0.05097195848501135,0.0660605547776375,0.26475050568516245,0.2827842128592954
13,0.48148148148148145,EmoBank,0.2188814638747274,0.24367365258993556,0.4734304944486302,0.49730143950379097,0.05133490307485955,0.08336133107184962,0.2681516176745399,0.31020768452180064
14,0.5185185185185185,EmoBank,0.17487444459018675,0.18539136927118705,0.4244723717419621,0.4380902472594524,0.050226397728256655,0.07932092196764895,0.267086393834278,0.30617226004349984
15,0.5555555555555556,EmoBank,0.14738412645004106,0.19134793331471722,0.3929700667145956,0.44371664700389274,0.04199014979346127,0.08290788279778649,0.2565395711925523,0.3098577197914502
16,0.5925925925925926,EmoBank,0.30110145881591155,0.2959502795471671,0.5508910205277895,0.5470857468519337,0.09764700576231222,0.11710491385786503,0.3323079048778078,0.35741512911297807
17,0.6296296296296297,EmoBank,0.3448603817614001,0.31923349215837327,0.5892291119724752,0.5675699496935253,0.10326436372319081,0.11611635565833711,0.3404188374871812,0.3550665083137974
18,0.6666666666666666,EmoBank,0.34039891614922024,0.31947969531752063,0.5859647805680291,0.5682319245839366,0.0992599135422293,0.10484646745620896,0.3345294632800077,0.34217902664833294
19,0.7037037037037037,EmoBank,0.3219748800383133,0.30747435083835295,0.5713752793650583,0.5593183927311217,0.10114512258466857,0.1026398246099155,0.33711665640273747,0.33923861909942
20,0.7407407407407407,EmoBank,0.31942275134627296,0.3237612836771947,0.5694601158771433,0.5721896097710046,0.09652004970477024,0.09380621859400406,0.3318755960467766,0.3319345918343794
21,0.7777777777777778,EmoBank,0.35151983282620547,0.36184408256047706,0.5963200896032118,0.6041612241043632,0.10343856688856568,0.12184868044934893,0.341861994959567,0.3637415664023712
22,0.8148148148148148,EmoBank,0.36303340437710874,0.37483907179029674,0.6049988273910792,0.6142974279665093,0.11129948400363499,0.12854740586818802,0.35032149841646976,0.36962186209818104
23,0.8518518518518519,EmoBank,0.35882678696472203,0.3716624920944135,0.601147224676486,0.6115560059691306,0.12183099828885113,0.1318920702604831,0.3633870047694856,0.3745100869460601
24,0.8888888888888888,EmoBank,0.37147509582749716,0.37294305592091337,0.6102647905647428,0.6118982257953878,0.12771032417921668,0.12804515031452657,0.36669039545271453,0.36691074174050675
25,0.9259259259259259,EmoBank,0.3573054828103571,0.37202129525550365,0.599264189239604,0.6109932878442311,0.12775592731778684,0.13636921477691177,0.3641404495559201,0.3762553147458443
26,0.9629629629629629,EmoBank,0.3619134641100701,0.37298496230664124,0.6018243993393232,0.6108962187152465,0.10635602865425564,0.11745094996874705,0.33391689991684603,0.3485003907134711
27,1.0,EmoBank,0.29300208450996534,0.322465924156103,0.5414540166868224,0.5679318210058996,0.09698091879419457,0.10243724271808563,0.31698221571983426,0.32735481408070094
