pair_id,task,site_type,site_layer,impact
P_rage-d1-v2,Reader,ReaderSite,1,0.587237787467263
P_rage-d1-v2,Self,ReaderSite,1,0.594303010728706
P_rage-d1-v2,Reader,SelfSite,10,1.6815257040621185
P_rage-d1-v2,Self,SelfSite,10,1.4660660994338977
P_rage-d2-v3,Reader,ReaderSite,1,1.7647579124588626
P_rage-d2-v3,Self,ReaderSite,1,2.284559463664694
P_rage-d2-v3,Reader,SelfSite,10,1.5731914994835217
P_rage-d2-v3,Self,SelfSite,10,0.9941523228085041
P_rage-d3-v3,Reader,ReaderSite,1,0.6224787653767541
P_rage-d3-v3,Self,ReaderSite,1,1.8774986480072058
P_rage-d3-v3,Reader,SelfSite,10,1.0158483281619457
P_rage-d3-v3,Self,SelfSite,10,1.1730479701875085
P_rage-d3-v4,Reader,ReaderSite,1,2.5043895948815362
P_rage-d3-v4,Self,ReaderSite,1,1.924038742001081
P_rage-d3-v4,Reader,SelfSite,10,1.4478628367120066
P_rage-d3-v4,Self,SelfSite,10,1.5217800489409008
P_grief-d1-v3,Reader,ReaderSite,1,2.8289106368437706
P_grief-d1-v3,Self,ReaderSite,1,1.7441602779879108
P_grief-d1-v3,Reader,SelfSite,10,1.2869943358603888
P_grief-d1-v3,Self,SelfSite,10,1.1933491715608926
P_grief-d1-v4,Reader,ReaderSite,1,1.1509538679504754
P_grief-d1-v4,Self,ReaderSite,1,2.2740054821284996
P_grief-d1-v4,Reader,SelfSite,10,1.1067960062164897
P_grief-d1-v4,Self,SelfSite,10,1.1503470557776803
P_grief-d2-v1,Reader,ReaderSite,1,2.926555446025567
P_grief-d2-v1,Self,ReaderSite,1,0.4494450081347283
P_grief-d2-v1,Reader,SelfSite,10,1.2543650463345566
P_grief-d2-v1,Self,SelfSite,10,1.1896190057034275
P_grief-d2-v2,Reader,ReaderSite,1,0.14716105878895291
P_grief-d2-v2,Self,ReaderSite,1,0.20422872901474332
P_grief-d2-v2,Reader,SelfSite,10,2.0499143123635237
P_grief-d2-v2,Self,SelfSite,10,1.680613901397574
P_grief-d2-v3,Reader,ReaderSite,1,2.0819979136128666
P_grief-d2-v3,Self,ReaderSite,1,0.2180608524553831
P_grief-d2-v3,Reader,SelfSite,10,0.6399934757717984
P_grief-d2-v3,Self,SelfSite,10,0.989693472173661
P_grief-d2-v4,Reader,ReaderSite,1,2.392164668992199
P_grief-d2-v4,Self,ReaderSite,1,1.3046122439227164
P_grief-d2-v4,Reader,SelfSite,10,1.6395930498759195
P_grief-d2-v4,Self,SelfSite,10,1.2385795972934077
P_grief-d3-v2,Reader,ReaderSite,1,3.0974049071301097
P_grief-d3-v2,Self,ReaderSite,1,1.2697084188104206
P_grief-d3-v2,Reader,SelfSite,10,1.4267261937978652
P_grief-d3-v2,Self,SelfSite,10,1.2442464641371025
P_grief-d3-v3,Reader,ReaderSite,1,1.8810933177130615
P_grief-d3-v3,Self,ReaderSite,1,2.168551692367977
P_grief-d3-v3,Reader,SelfSite,10,2.0504848499670563
P_grief-d3-v3,Self,SelfSite,10,1.50014803173161
P_grief-d3-v4,Reader,ReaderSite,1,2.527005609597147
P_grief-d3-v4,Self,ReaderSite,1,2.51584071712779
P_grief-d3-v4,Reader,SelfSite,10,1.6250157791439417
P_grief-d3-v4,Self,SelfSite,10,1.3334067197830235
P_terror-d1-v3,Reader,ReaderSite,1,0.07098443035045321
P_terror-d1-v3,Self,ReaderSite,1,1.4406798296556285
P_terror-d1-v3,Reader,SelfSite,10,1.9436436438100002
P_terror-d1-v3,Self,SelfSite,10,1.3901032547140941
P_terror-d2-v3,Reader,ReaderSite,1,1.1569834231055065
P_terror-d2-v3,Self,ReaderSite,1,1.8778512926441557
P_terror-d2-v3,Reader,SelfSite,10,2.1066372981487715
P_terror-d2-v3,Self,SelfSite,10,1.7164571251015177
P_terror-d2-v4,Reader,ReaderSite,1,2.818857349993838
P_terror-d2-v4,Self,ReaderSite,1,1.566633454107082
P_terror-d2-v4,Reader,SelfSite,10,1.1715112450908811
P_terror-d2-v4,Self,SelfSite,10,1.0442373478701832
P_terror-d3-v3,Reader,ReaderSite,1,1.5033276247093514
P_terror-d3-v3,Self,ReaderSite,1,1.7743630280595775
P_terror-d3-v3,Reader,SelfSite,10,2.893146189764592
P_terror-d3-v3,Self,SelfSite,10,2.1841258495321325
P_terror-d3-v4,Reader,ReaderSite,1,2.32606615713052
P_terror-d3-v4,Self,ReaderSite,1,1.771661693439409
P_terror-d3-v4,Reader,SelfSite,10,2.1357966585368975
P_terror-d3-v4,Self,SelfSite,10,1.7812539704062464
P_ecstasy-d1-v1,Reader,ReaderSite,1,2.8194227418015085
P_ecstasy-d1-v1,Self,ReaderSite,1,1.6233689119104708
P_ecstasy-d1-v1,Reader,SelfSite,10,0.8813694050944738
P_ecstasy-d1-v1,Self,SelfSite,10,1.0907946714370298
P_ecstasy-d2-v1,Reader,ReaderSite,1,2.992033940114932
P_ecstasy-d2-v1,Self,ReaderSite,1,2.808112785928689
P_ecstasy-d2-v1,Reader,SelfSite,10,1.5270828819006956
P_ecstasy-d2-v1,Self,SelfSite,10,1.4584973364246139
P_ecstasy-d2-v2,Reader,ReaderSite,1,2.725283042457802
P_ecstasy-d2-v2,Self,ReaderSite,1,2.0966826524339606
P_ecstasy-d2-v2,Reader,SelfSite,10,1.2875161489768394
P_ecstasy-d2-v2,Self,SelfSite,10,1.108536376317335
P_ecstasy-d2-v3,Reader,ReaderSite,1,3.035165327113063
P_ecstasy-d2-v3,Self,ReaderSite,1,2.5343433844173333
P_ecstasy-d2-v3,Reader,SelfSite,10,1.2737467511212763
P_ecstasy-d2-v3,Self,SelfSite,10,1.3674391280429057
P_ecstasy-d2-v4,Reader,ReaderSite,1,2.3270584750386645
P_ecstasy-d2-v4,Self,ReaderSite,1,2.6793029820850878
P_ecstasy-d2-v4,Reader,SelfSite,10,1.4260775650251953
P_ecstasy-d2-v4,Self,SelfSite,10,1.1221700064279223
P_ecstasy-d3-v1,Reader,ReaderSite,1,3.528912517120134
P_ecstasy-d3-v1,Self,ReaderSite,1,1.7114922020325425
P_ecstasy-d3-v1,Reader,SelfSite,10,1.451862179042335
P_ecstasy-d3-v1,Self,SelfSite,10,1.4904526232669602
P_ecstasy-d3-v4,Reader,ReaderSite,1,2.924152911232425
P_ecstasy-d3-v4,Self,ReaderSite,1,1.796590632444305
P_ecstasy-d3-v4,Reader,SelfSite,10,2.130294548385923
P_ecstasy-d3-v4,Self,SelfSite,10,2.178702130349145
P_loathing-d1-v2,Reader,ReaderSite,1,0.894039682175582
P_loathing-d1-v2,Self,ReaderSite,1,0.11777835285320748
P_loathing-d1-v2,Reader,SelfSite,10,1.1244256306680702
P_loathing-d1-v2,Self,SelfSite,10,0.8759902691651158
P_loathing-d2-v2,Reader,ReaderSite,1,0.1654264720269456
P_loathing-d2-v2,Self,ReaderSite,1,1.2543360244012254
P_loathing-d2-v2,Reader,SelfSite,10,1.2816808650102276
P_loathing-d2-v2,Self,SelfSite,10,1.090930069710796
P_loathing-d3-v2,Reader,ReaderSite,1,0.07548324856403887
P_loathing-d3-v2,Self,ReaderSite,1,1.3130787210130133
P_loathing-d3-v2,Reader,SelfSite,10,1.0902113538339995
P_loathing-d3-v2,Self,SelfSite,10,1.03868927279124
P_loathing-d3-v3,Reader,ReaderSite,1,0.318151775600783
P_loathing-d3-v3,Self,ReaderSite,1,0.2290707637228282
P_loathing-d3-v3,Reader,SelfSite,10,0.3741636300119189
P_loathing-d3-v3,Self,SelfSite,10,0.5711901886077402
P_loathing-d3-v4,Reader,ReaderSite,1,1.6107413924193494
P_loathing-d3-v4,Self,ReaderSite,1,1.405146412860399
P_loathing-d3-v4,Reader,SelfSite,10,0.5760424414399541
P_loathing-d3-v4,Self,SelfSite,10,0.8411019058395062
P_amazement-d1-v1,Reader,ReaderSite,1,3.2863035739438695
P_amazement-d1-v1,Self,ReaderSite,1,1.203221680270672
P_amazement-d1-v1,Reader,SelfSite,10,1.530226922337238
P_amazement-d1-v1,Self,SelfSite,10,1.1935589059671177
P_amazement-d1-v2,Reader,ReaderSite,1,3.0377059095647407
P_amazement-d1-v2,Self,ReaderSite,1,2.3659766825036828
P_amazement-d1-v2,Reader,SelfSite,10,1.7935460465051172
P_amazement-d1-v2,Self,SelfSite,10,1.2682457366946256
P_amazement-d1-v4,Reader,ReaderSite,1,2.2303519896345327
P_amazement-d1-v4,Self,ReaderSite,1,1.479217533234972
P_amazement-d1-v4,Reader,SelfSite,10,1.2536572092227587
P_amazement-d1-v4,Self,SelfSite,10,1.301732063089291
P_amazement-d2-v1,Reader,ReaderSite,1,0.7846869497786635
P_amazement-d2-v1,Self,ReaderSite,1,2.61597886642189
P_amazement-d2-v1,Reader,SelfSite,10,1.3439543068173432
P_amazement-d2-v1,Self,SelfSite,10,1.0169413619355607
P_amazement-d2-v2,Reader,ReaderSite,1,1.7202492278112693
P_amazement-d2-v2,Self,ReaderSite,1,0.8105363530392902
P_amazement-d2-v2,Reader,SelfSite,10,1.794866418179974
P_amazement-d2-v2,Self,SelfSite,10,1.4487860284060607
P_amazement-d3-v2,Reader,ReaderSite,1,3.1902573374075045
P_amazement-d3-v2,Self,ReaderSite,1,1.6637785947877415
P_amazement-d3-v2,Reader,SelfSite,10,1.610583684486131
P_amazement-d3-v2,Self,SelfSite,10,1.630920922858154
P_amazement-d3-v4,Reader,ReaderSite,1,1.3979339078023072
P_amazement-d3-v4,Self,ReaderSite,1,0.9533128969260796
P_amazement-d3-v4,Reader,SelfSite,10,0.5520208714958379
P_amazement-d3-v4,Self,SelfSite,10,0.8675132944009283
P_admiration-d1-v1,Reader,ReaderSite,1,1.9313272981383074
