layer,relative_depth,dataset,target,reader_balanced_acc,self_balanced_acc,reader_f1_macro,self_f1_macro,reader_roc_auc,self_roc_auc
0,0.0,AIPsy,emotion,0.15185185185185185,0.15185185185185185,0.15085561865549268,0.15145820159206283,0.5755014146090535,0.5785487397119341
1,0.04,AIPsy,emotion,0.1675925925925926,0.16527777777777775,0.16849568714997815,0.165802254346195,0.6357624742798353,0.6385469393004115
2,0.08,AIPsy,emotion,0.17175925925925928,0.16620370370370374,0.1761079192101601,0.1686881300598939,0.6167231224279835,0.6156320730452675
3,0.12,AIPsy,emotion,0.17546296296296296,0.1787037037037037,0.18069184685055187,0.1852242940864831,0.6118533950617285,0.6138249742798353
4,0.16,AIPsy,emotion,0.2050925925925926,0.2064814814814815,0.21695587457658655,0.21778999210015423,0.6534131944444446,0.6573515946502059
5,0.2,AIPsy,emotion,0.18703703703703703,0.18425925925925923,0.18996929906258997,0.18835597953245012,0.6499103652263375,0.6509796810699588
6,0.24,AIPsy,emotion,0.20972222222222225,0.21435185185185185,0.21646133714153948,0.22341124799968196,0.6617906378600823,0.6702493569958847
7,0.28,AIPsy,emotion,0.21481481481481482,0.20740740740740743,0.22372713128634755,0.21852766831367954,0.6651853137860082,0.6744000771604939
8,0.32,AIPsy,emotion,0.20925925925925926,0.2027777777777778,0.21458117838171165,0.20734010968906574,0.6741838991769549,0.6805177469135804
9,0.36,AIPsy,emotion,0.20925925925925926,0.22916666666666666,0.22101662227559912,0.24157743699721987,0.6792127057613169,0.693119212962963
10,0.4,AIPsy,emotion,0.23379629629629628,0.23981481481481484,0.24544378137093303,0.25470208661033267,0.710695987654321,0.7193454218106996
11,0.44,AIPsy,emotion,0.22499999999999998,0.23472222222222225,0.23847609490410968,0.2478338622672325,0.7425432098765432,0.7426597222222222
12,0.48,AIPsy,emotion,0.22314814814814815,0.22592592592592592,0.23416746947640524,0.23515909320420597,0.7255101594650206,0.7297671039094651
13,0.52,AIPsy,emotion,0.2222222222222222,0.21203703703703702,0.23355988101307648,0.2211845631328243,0.7084975565843621,0.7142561728395063
14,0.56,AIPsy,emotion,0.23287037037037037,0.2300925925925926,0.24679745242871842,0.24256522679317666,0.7352138631687244,0.7347791923868312
15,0.6,AIPsy,emotion,0.26666666666666666,0.2490740740740741,0.2829026063224643,0.26018318245444144,0.7467869084362141,0.7528451646090535
16,0.64,AIPsy,emotion,0.24074074074074073,0.26064814814814813,0.2501943832038324,0.2760677567584917,0.7197650462962962,0.7328210519547325
17,0.68,AIPsy,emotion,0.20787037037037034,0.1888888888888889,0.2231890531099052,0.19928994825707613,0.6637288451646091,0.6739525462962963
18,0.72,AIPsy,emotion,0.16851851851851854,0.1851851851851852,0.1726144065911192,0.19073540790932098,0.6047894804526749,0.6338950617283952
19,0.76,AIPsy,emotion,0.17222222222222222,0.2013888888888889,0.17867436719566934,0.21242717692214186,0.5939713863168724,0.6221921296296296
20,0.8,AIPsy,emotion,0.16342592592592595,0.19722222222222224,0.1667241779959751,0.20367974570215824,0.578272762345679,0.6434067001028807
21,0.84,AIPsy,emotion,0.17314814814814816,0.20324074074074075,0.1820699465875083,0.21418877147420287,0.5749620627572016,0.641183191872428
22,0.88,AIPsy,emotion,0.14675925925925928,0.19583333333333336,0.14244272461210195,0.20414507973051524,0.5554328703703704,0.6439384002057613
23,0.92,AIPsy,emotion,0.14537037037037037,0.2060185185185185,0.14370508283551764,0.2201097894490256,0.5605771604938271,0.6513271604938272
24,0.96,AIPsy,emotion,0.15000000000000002,0.20787037037037037,0.14774136285400366,0.2239691524323159,0.5699952417695474,0.6579456018518518
25,1.0,AIPsy,emotion,0.15370370370370373,0.19490740740740742,0.1512260049809841,0.206702197842994,0.5677218364197532,0.6517496141975309
