id,text,quad,valence,arousal,dominance,s_ev,s_ea,s_ed,r_ev,r_ea,r_ed
dry_aipsy_0,Mock AIPsy text 0,high_v_high_a,7.0,7.0,5.0,6.8,6.5,5.0,6.9,6.7,5.0
dry_aipsy_1,Mock AIPsy text 1,high_v_low_a,7.0,3.0,5.0,6.8,3.5,5.0,6.9,3.3,5.0
dry_aipsy_2,Mock AIPsy text 2,low_v_high_a,3.0,7.0,5.0,3.2,6.5,5.0,3.1,6.7,5.0
dry_aipsy_3,Mock AIPsy text 3,low_v_low_a,3.0,3.0,5.0,3.2,3.5,5.0,3.1,3.3,5.0
dry_aipsy_4,Mock AIPsy text 4,high_v_high_a,7.0,7.0,5.0,6.8,6.5,5.0,6.9,6.7,5.0
dry_aipsy_5,Mock AIPsy text 5,high_v_low_a,7.0,3.0,5.0,6.8,3.5,5.0,6.9,3.3,5.0
dry_aipsy_6,Mock AIPsy text 6,low_v_high_a,3.0,7.0,5.0,3.2,6.5,5.0,3.1,6.7,5.0
dry_aipsy_7,Mock AIPsy text 7,low_v_low_a,3.0,3.0,5.0,3.2,3.5,5.0,3.1,3.3,5.0
dry_aipsy_8,Mock AIPsy text 8,high_v_high_a,7.0,7.0,5.0,6.8,6.5,5.0,6.9,6.7,5.0
dry_aipsy_9,Mock AIPsy text 9,high_v_low_a,7.0,3.0,5.0,6.8,3.5,5.0,6.9,3.3,5.0
dry_aipsy_10,Mock AIPsy text 10,low_v_high_a,3.0,7.0,5.0,3.2,6.5,5.0,3.1,6.7,5.0
dry_aipsy_11,Mock AIPsy text 11,low_v_low_a,3.0,3.0,5.0,3.2,3.5,5.0,3.1,3.3,5.0
dry_aipsy_12,Mock AIPsy text 12,high_v_high_a,7.0,7.0,5.0,6.8,6.5,5.0,6.9,6.7,5.0
dry_aipsy_13,Mock AIPsy text 13,high_v_low_a,7.0,3.0,5.0,6.8,3.5,5.0,6.9,3.3,5.0
dry_aipsy_14,Mock AIPsy text 14,low_v_high_a,3.0,7.0,5.0,3.2,6.5,5.0,3.1,6.7,5.0
dry_aipsy_15,Mock AIPsy text 15,low_v_low_a,3.0,3.0,5.0,3.2,3.5,5.0,3.1,3.3,5.0
