id,text,human_writer_v,human_writer_a,human_writer_d,human_reader_v,human_reader_a,human_reader_d,w_ev,w_ea,w_ed,r_ev,r_ea,r_ed,s_ev,s_ea,s_ed,b_ev,b_ea,b_ed,s_gv,s_ga,s_gd,r_gv,r_ga,r_gd,w_gv,w_ga,w_gd
dry_0,Mock text 0,3.5,4.0,5.0,3.6999999999999997,4.1,5.0,3.7,4.0,5.0,3.6999999999999997,4.0,5.0,4.0,4.1,5.0,5.0,4.0,5.0,5,5,5,5,5,5,5,5,5
dry_1,Mock text 1,5.0,5.0,5.0,5.1,5.0,5.0,5.0,4.8,5.0,5.1,4.9,5.0,5.2,4.8999999999999995,5.0,5.0,4.0,5.0,5,5,5,5,5,5,5,5,5
dry_2,Mock text 2,6.5,4.0,5.0,6.5,4.1,5.0,6.3,4.0,5.0,6.5,4.0,5.0,6.4,4.1,5.0,5.0,4.0,5.0,5,5,5,5,5,5,5,5,5
dry_3,Mock text 3,3.5,5.0,5.0,3.6999999999999997,5.0,5.0,3.7,4.8,5.0,3.6999999999999997,4.9,5.0,4.0,4.8999999999999995,5.0,5.0,4.0,5.0,5,5,5,5,5,5,5,5,5
dry_4,Mock text 4,5.0,4.0,5.0,5.1,4.1,5.0,5.0,4.0,5.0,5.1,4.0,5.0,5.2,4.1,5.0,5.0,4.0,5.0,5,5,5,5,5,5,5,5,5
dry_5,Mock text 5,6.5,5.0,5.0,6.5,5.0,5.0,6.3,4.8,5.0,6.5,4.9,5.0,6.4,4.8999999999999995,5.0,5.0,4.0,5.0,5,5,5,5,5,5,5,5,5
dry_6,Mock text 6,3.5,4.0,5.0,3.6999999999999997,4.1,5.0,3.7,4.0,5.0,3.6999999999999997,4.0,5.0,4.0,4.1,5.0,5.0,4.0,5.0,5,5,5,5,5,5,5,5,5
dry_7,Mock text 7,5.0,5.0,5.0,5.1,5.0,5.0,5.0,4.8,5.0,5.1,4.9,5.0,5.2,4.8999999999999995,5.0,5.0,4.0,5.0,5,5,5,5,5,5,5,5,5
dry_8,Mock text 8,6.5,4.0,5.0,6.5,4.1,5.0,6.3,4.0,5.0,6.5,4.0,5.0,6.4,4.1,5.0,5.0,4.0,5.0,5,5,5,5,5,5,5,5,5
dry_9,Mock text 9,3.5,5.0,5.0,3.6999999999999997,5.0,5.0,3.7,4.8,5.0,3.6999999999999997,4.9,5.0,4.0,4.8999999999999995,5.0,5.0,4.0,5.0,5,5,5,5,5,5,5,5,5
