model,alignment,dimension,n_pairs,correlation_type,r,ci_low,ci_high,p_value,spearman_rho,spearman_p,p_fdr
gemma_base,base,V,192,delta_coupling,1.0,0.9999999999999998,1.0,0.0,1.0,0.0,0.0
gemma_base,base,V,480,raw_coupling,0.9999999999999998,0.9999999999999997,1.0,0.0,1.0,0.0,
gemma_base,base,A,192,delta_coupling,1.0,0.9999999999999996,1.0,0.0,1.0,0.0,0.0
gemma_base,base,A,480,raw_coupling,0.9999999999999997,0.9999999999999997,1.0,0.0,1.0,0.0,
gemma_base,base,D,192,delta_coupling,0.9999999999999999,0.9999999999999997,1.0,0.0,0.9999999999999999,0.0,
gemma_base,base,D,480,raw_coupling,1.0,0.9999999999999997,1.0,0.0,1.0,0.0,
gemma_instruct,instruct,V,192,delta_coupling,1.0,0.9999999999999998,1.0,0.0,1.0,0.0,0.0
gemma_instruct,instruct,V,480,raw_coupling,0.9999999999999998,0.9999999999999997,1.0,0.0,1.0,0.0,
gemma_instruct,instruct,A,192,delta_coupling,1.0,0.9999999999999996,1.0,0.0,1.0,0.0,0.0
gemma_instruct,instruct,A,480,raw_coupling,0.9999999999999997,0.9999999999999997,1.0,0.0,1.0,0.0,
gemma_instruct,instruct,D,192,delta_coupling,0.9999999999999999,0.9999999999999997,1.0,0.0,0.9999999999999999,0.0,
gemma_instruct,instruct,D,480,raw_coupling,1.0,0.9999999999999997,1.0,0.0,1.0,0.0,
llama_base,base,V,192,delta_coupling,1.0,0.9999999999999998,1.0,0.0,1.0,0.0,0.0
llama_base,base,V,480,raw_coupling,0.9999999999999998,0.9999999999999997,1.0,0.0,1.0,0.0,
llama_base,base,A,192,delta_coupling,1.0,0.9999999999999996,1.0,0.0,1.0,0.0,0.0
llama_base,base,A,480,raw_coupling,0.9999999999999997,0.9999999999999997,1.0,0.0,1.0,0.0,
llama_base,base,D,192,delta_coupling,0.9999999999999999,0.9999999999999997,1.0,0.0,0.9999999999999999,0.0,
llama_base,base,D,480,raw_coupling,1.0,0.9999999999999997,1.0,0.0,1.0,0.0,
llama_instruct,instruct,V,192,delta_coupling,1.0,0.9999999999999998,1.0,0.0,1.0,0.0,0.0
llama_instruct,instruct,V,480,raw_coupling,0.9999999999999998,0.9999999999999997,1.0,0.0,1.0,0.0,
llama_instruct,instruct,A,192,delta_coupling,1.0,0.9999999999999996,1.0,0.0,1.0,0.0,0.0
llama_instruct,instruct,A,480,raw_coupling,0.9999999999999997,0.9999999999999997,1.0,0.0,1.0,0.0,
llama_instruct,instruct,D,192,delta_coupling,0.9999999999999999,0.9999999999999997,1.0,0.0,0.9999999999999999,0.0,
llama_instruct,instruct,D,480,raw_coupling,1.0,0.9999999999999997,1.0,0.0,1.0,0.0,
olmo_base,base,V,192,delta_coupling,1.0,0.9999999999999998,1.0,0.0,1.0,0.0,0.0
olmo_base,base,V,480,raw_coupling,0.9999999999999998,0.9999999999999997,1.0,0.0,1.0,0.0,
olmo_base,base,A,192,delta_coupling,1.0,0.9999999999999996,1.0,0.0,1.0,0.0,0.0
olmo_base,base,A,480,raw_coupling,0.9999999999999997,0.9999999999999997,1.0,0.0,1.0,0.0,
olmo_base,base,D,192,delta_coupling,0.9999999999999999,0.9999999999999997,1.0,0.0,0.9999999999999999,0.0,
olmo_base,base,D,480,raw_coupling,1.0,0.9999999999999997,1.0,0.0,1.0,0.0,
olmo_instruct,instruct,V,192,delta_coupling,1.0,0.9999999999999998,1.0,0.0,1.0,0.0,0.0
olmo_instruct,instruct,V,480,raw_coupling,0.9999999999999998,0.9999999999999997,1.0,0.0,1.0,0.0,
olmo_instruct,instruct,A,192,delta_coupling,1.0,0.9999999999999996,1.0,0.0,1.0,0.0,0.0
olmo_instruct,instruct,A,480,raw_coupling,0.9999999999999997,0.9999999999999997,1.0,0.0,1.0,0.0,
olmo_instruct,instruct,D,192,delta_coupling,0.9999999999999999,0.9999999999999997,1.0,0.0,0.9999999999999999,0.0,
olmo_instruct,instruct,D,480,raw_coupling,1.0,0.9999999999999997,1.0,0.0,1.0,0.0,
qwen_base,base,V,192,delta_coupling,1.0,0.9999999999999998,1.0,0.0,1.0,0.0,0.0
qwen_base,base,V,480,raw_coupling,0.9999999999999998,0.9999999999999997,1.0,0.0,1.0,0.0,
qwen_base,base,A,192,delta_coupling,1.0,0.9999999999999996,1.0,0.0,1.0,0.0,0.0
qwen_base,base,A,480,raw_coupling,0.9999999999999997,0.9999999999999997,1.0,0.0,1.0,0.0,
qwen_base,base,D,192,delta_coupling,0.9999999999999999,0.9999999999999997,1.0,0.0,0.9999999999999999,0.0,
qwen_base,base,D,480,raw_coupling,1.0,0.9999999999999997,1.0,0.0,1.0,0.0,
qwen_instruct,instruct,V,192,delta_coupling,1.0,0.9999999999999998,1.0,0.0,1.0,0.0,0.0
qwen_instruct,instruct,V,480,raw_coupling,0.9999999999999998,0.9999999999999997,1.0,0.0,1.0,0.0,
qwen_instruct,instruct,A,192,delta_coupling,1.0,0.9999999999999996,1.0,0.0,1.0,0.0,0.0
qwen_instruct,instruct,A,480,raw_coupling,0.9999999999999997,0.9999999999999997,1.0,0.0,1.0,0.0,
qwen_instruct,instruct,D,192,delta_coupling,0.9999999999999999,0.9999999999999997,1.0,0.0,0.9999999999999999,0.0,
qwen_instruct,instruct,D,480,raw_coupling,1.0,0.9999999999999997,1.0,0.0,1.0,0.0,
