model,alignment,task,dimension,n_triplets,n_direction_defined,mean_step_1_aligned,step_1_ci_low,step_1_ci_high,step_1_p_value,mean_step_2_aligned,step_2_ci_low,step_2_ci_high,step_2_p_value,dose_response_p_value,monotonicity_rate,midpoint_deviation,secondary_mean_slope,secondary_slope_p,mean_slope,slope_ci_low,slope_ci_high,p_value,mean_neutral,mean_moderate,mean_clinical,primary_p_value,p_fdr
gemma_base,base,w,V,48,48,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.0,0.8000000000000002,0.7999999999999999,0.8000000000000002,0.0,0.0,1.0,0.0,-1.1102230246251565e-16,0.9999999999999992,-1.1102230246251565e-16,-0.234166666666666,0.19999999999999993,0.0,5.0,5.0,5.0,0.0,
gemma_base,base,r,V,48,48,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.0,0.8000000000000002,0.7999999999999999,0.8000000000000002,0.0,0.0,1.0,0.0,-1.1102230246251565e-16,0.9999999999999992,-1.1102230246251565e-16,-0.234166666666666,0.19999999999999993,0.0,5.0,5.0,5.0,0.0,0.0
gemma_base,base,s,V,48,48,0.7199999999999998,0.7199999999999998,0.7199999999999998,0.0,0.7200000000000003,0.7200000000000003,0.7200000000000005,0.0,0.0,1.0,-4.440892098500626e-16,1.1102230246251565e-16,0.9999999999999991,1.1102230246251565e-16,-0.21074999999999924,0.18000000000000016,0.0,5.0,5.0,5.000000000000001,0.0,0.0
gemma_base,base,w,A,48,48,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.0,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.0,0.0,1.0,0.0,0.5999999999999999,5.557179083634165e-10,0.5999999999999999,0.4333333333333332,0.7333333333333331,0.0,5.0,5.6000000000000005,6.2,0.0,
gemma_base,base,r,A,48,48,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.0,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.0,0.0,1.0,0.0,0.5999999999999999,5.557179083634165e-10,0.5999999999999999,0.4333333333333332,0.7333333333333331,0.0,5.0,5.6000000000000005,6.2,0.0,0.0
gemma_base,base,s,A,48,48,0.7199999999999998,0.7199999999999998,0.7199999999999998,0.0,0.7200000000000006,0.7200000000000006,0.7200000000000006,0.0,0.0,1.0,-7.771561172376096e-16,0.5400000000000001,5.557179083634132e-10,0.5400000000000001,0.3900000000000002,0.6600000000000003,0.0,5.0,5.539999999999999,6.080000000000001,0.0,0.0
gemma_base,base,w,D,48,48,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.0,0.7999999999999998,0.7999999999999998,0.8000000000000002,0.0,0.0,1.0,0.0,0.19999999999999987,0.08319320661255054,0.19999999999999987,-0.03333333333333343,0.3999999999999999,0.0,5.0,5.2,5.400000000000001,0.0,
gemma_base,base,r,D,48,48,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.0,0.7999999999999998,0.7999999999999998,0.8000000000000002,0.0,0.0,1.0,0.0,0.19999999999999987,0.08319320661255054,0.19999999999999987,-0.03333333333333343,0.3999999999999999,0.0,5.0,5.2,5.400000000000001,0.0,
gemma_base,base,s,D,48,48,0.7199999999999998,0.7199999999999998,0.7199999999999998,0.0,0.7200000000000003,0.7200000000000003,0.7200000000000006,0.0,0.0,1.0,-5.551115123125783e-16,0.18000000000000013,0.08319320661255024,0.18000000000000013,-0.029999999999999888,0.36000000000000015,0.0,5.0,5.18,5.36,0.0,
gemma_instruct,instruct,w,V,48,48,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.0,0.8000000000000002,0.7999999999999999,0.8000000000000002,0.0,0.0,1.0,0.0,-1.1102230246251565e-16,0.9999999999999992,-1.1102230246251565e-16,-0.234166666666666,0.19999999999999993,0.0,5.0,5.0,5.0,0.0,
gemma_instruct,instruct,r,V,48,48,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.0,0.8000000000000002,0.7999999999999999,0.8000000000000002,0.0,0.0,1.0,0.0,-1.1102230246251565e-16,0.9999999999999992,-1.1102230246251565e-16,-0.234166666666666,0.19999999999999993,0.0,5.0,5.0,5.0,0.0,0.0
gemma_instruct,instruct,s,V,48,48,0.7199999999999998,0.7199999999999998,0.7199999999999998,0.0,0.7200000000000003,0.7200000000000003,0.7200000000000005,0.0,0.0,1.0,-4.440892098500626e-16,1.1102230246251565e-16,0.9999999999999991,1.1102230246251565e-16,-0.21074999999999924,0.18000000000000016,0.0,5.0,5.0,5.000000000000001,0.0,0.0
gemma_instruct,instruct,w,A,48,48,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.0,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.0,0.0,1.0,0.0,0.5999999999999999,5.557179083634165e-10,0.5999999999999999,0.4333333333333332,0.7333333333333331,0.0,5.0,5.6000000000000005,6.2,0.0,
gemma_instruct,instruct,r,A,48,48,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.0,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.0,0.0,1.0,0.0,0.5999999999999999,5.557179083634165e-10,0.5999999999999999,0.4333333333333332,0.7333333333333331,0.0,5.0,5.6000000000000005,6.2,0.0,0.0
gemma_instruct,instruct,s,A,48,48,0.7199999999999998,0.7199999999999998,0.7199999999999998,0.0,0.7200000000000006,0.7200000000000006,0.7200000000000006,0.0,0.0,1.0,-7.771561172376096e-16,0.5400000000000001,5.557179083634132e-10,0.5400000000000001,0.3900000000000002,0.6600000000000003,0.0,5.0,5.539999999999999,6.080000000000001,0.0,0.0
gemma_instruct,instruct,w,D,48,48,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.0,0.7999999999999998,0.7999999999999998,0.8000000000000002,0.0,0.0,1.0,0.0,0.19999999999999987,0.08319320661255054,0.19999999999999987,-0.03333333333333343,0.3999999999999999,0.0,5.0,5.2,5.400000000000001,0.0,
gemma_instruct,instruct,r,D,48,48,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.0,0.7999999999999998,0.7999999999999998,0.8000000000000002,0.0,0.0,1.0,0.0,0.19999999999999987,0.08319320661255054,0.19999999999999987,-0.03333333333333343,0.3999999999999999,0.0,5.0,5.2,5.400000000000001,0.0,
gemma_instruct,instruct,s,D,48,48,0.7199999999999998,0.7199999999999998,0.7199999999999998,0.0,0.7200000000000003,0.7200000000000003,0.7200000000000006,0.0,0.0,1.0,-5.551115123125783e-16,0.18000000000000013,0.08319320661255024,0.18000000000000013,-0.029999999999999888,0.36000000000000015,0.0,5.0,5.18,5.36,0.0,
llama_base,base,w,V,48,48,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.0,0.8000000000000002,0.7999999999999999,0.8000000000000002,0.0,0.0,1.0,0.0,-1.1102230246251565e-16,0.9999999999999992,-1.1102230246251565e-16,-0.234166666666666,0.19999999999999993,0.0,5.0,5.0,5.0,0.0,
llama_base,base,r,V,48,48,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.0,0.8000000000000002,0.7999999999999999,0.8000000000000002,0.0,0.0,1.0,0.0,-1.1102230246251565e-16,0.9999999999999992,-1.1102230246251565e-16,-0.234166666666666,0.19999999999999993,0.0,5.0,5.0,5.0,0.0,0.0
llama_base,base,s,V,48,48,0.7199999999999998,0.7199999999999998,0.7199999999999998,0.0,0.7200000000000003,0.7200000000000003,0.7200000000000005,0.0,0.0,1.0,-4.440892098500626e-16,1.1102230246251565e-16,0.9999999999999991,1.1102230246251565e-16,-0.21074999999999924,0.18000000000000016,0.0,5.0,5.0,5.000000000000001,0.0,0.0
llama_base,base,w,A,48,48,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.0,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.0,0.0,1.0,0.0,0.5999999999999999,5.557179083634165e-10,0.5999999999999999,0.4333333333333332,0.7333333333333331,0.0,5.0,5.6000000000000005,6.2,0.0,
llama_base,base,r,A,48,48,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.0,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.0,0.0,1.0,0.0,0.5999999999999999,5.557179083634165e-10,0.5999999999999999,0.4333333333333332,0.7333333333333331,0.0,5.0,5.6000000000000005,6.2,0.0,0.0
llama_base,base,s,A,48,48,0.7199999999999998,0.7199999999999998,0.7199999999999998,0.0,0.7200000000000006,0.7200000000000006,0.7200000000000006,0.0,0.0,1.0,-7.771561172376096e-16,0.5400000000000001,5.557179083634132e-10,0.5400000000000001,0.3900000000000002,0.6600000000000003,0.0,5.0,5.539999999999999,6.080000000000001,0.0,0.0
llama_base,base,w,D,48,48,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.0,0.7999999999999998,0.7999999999999998,0.8000000000000002,0.0,0.0,1.0,0.0,0.19999999999999987,0.08319320661255054,0.19999999999999987,-0.03333333333333343,0.3999999999999999,0.0,5.0,5.2,5.400000000000001,0.0,
llama_base,base,r,D,48,48,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.0,0.7999999999999998,0.7999999999999998,0.8000000000000002,0.0,0.0,1.0,0.0,0.19999999999999987,0.08319320661255054,0.19999999999999987,-0.03333333333333343,0.3999999999999999,0.0,5.0,5.2,5.400000000000001,0.0,
