model,alignment,task,dimension,n_clinical,n_complex_neutral,mean_clinical_displacement,mean_complex_neutral_displacement,displacement_diff,displacement_cohen_d,displacement_t_stat,displacement_p_value,secondary_raw_mean_diff,secondary_raw_p_value,primary_p_value,p_fdr
gemma_base,base,w,V,192,48,1.5999999999999996,0.0,1.5999999999999996,1599643879097.9575,7.0417636284532856e+16,0.0,0.0,1.0,0.0,
gemma_base,base,r,V,192,48,1.5999999999999996,0.0,1.5999999999999996,1599643879097.9575,7.0417636284532856e+16,0.0,0.0,1.0,0.0,0.0
gemma_base,base,s,V,192,48,1.4400000000000004,0.0,1.4400000000000004,1439679491188.1624,6.33758726560796e+16,0.0,-8.881784197001252e-16,0.9999999999999932,0.0,0.0
gemma_base,base,w,A,192,48,1.5999999999999996,0.0,1.5999999999999996,1599821919730.8206,1.4083527256906571e+17,0.0,1.2000000000000002,3.957902155240854e-36,0.0,
gemma_base,base,r,A,192,48,1.5999999999999996,0.0,1.5999999999999996,1599821919730.8206,1.4083527256906571e+17,0.0,1.2000000000000002,3.957902155240854e-36,0.0,0.0
gemma_base,base,s,A,192,48,1.4400000000000006,0.0,1.4400000000000006,1439679491188.1626,6.337587265607961e+16,0.0,1.0799999999999992,3.9579021552412856e-36,0.0,0.0
gemma_base,base,w,D,192,48,1.5999999999999996,0.0,1.5999999999999996,1599691581055.1228,8.13112825291444e+16,0.0,0.39999999999999947,0.00045422102848911936,0.0,
gemma_base,base,r,D,192,48,1.5999999999999996,0.0,1.5999999999999996,1599691581055.1228,8.13112825291444e+16,0.0,0.39999999999999947,0.00045422102848911936,0.0,
gemma_base,base,s,D,192,48,1.4400000000000004,0.0,1.4400000000000004,1439722422949.611,7.318015427623e+16,0.0,0.35999999999999943,0.0004542210284891215,0.0,
gemma_instruct,instruct,w,V,192,48,1.5999999999999996,0.0,1.5999999999999996,1599643879097.9575,7.0417636284532856e+16,0.0,0.0,1.0,0.0,
gemma_instruct,instruct,r,V,192,48,1.5999999999999996,0.0,1.5999999999999996,1599643879097.9575,7.0417636284532856e+16,0.0,0.0,1.0,0.0,0.0
gemma_instruct,instruct,s,V,192,48,1.4400000000000004,0.0,1.4400000000000004,1439679491188.1624,6.33758726560796e+16,0.0,-8.881784197001252e-16,0.9999999999999932,0.0,0.0
gemma_instruct,instruct,w,A,192,48,1.5999999999999996,0.0,1.5999999999999996,1599821919730.8206,1.4083527256906571e+17,0.0,1.2000000000000002,3.957902155240854e-36,0.0,
gemma_instruct,instruct,r,A,192,48,1.5999999999999996,0.0,1.5999999999999996,1599821919730.8206,1.4083527256906571e+17,0.0,1.2000000000000002,3.957902155240854e-36,0.0,0.0
gemma_instruct,instruct,s,A,192,48,1.4400000000000006,0.0,1.4400000000000006,1439679491188.1626,6.337587265607961e+16,0.0,1.0799999999999992,3.9579021552412856e-36,0.0,0.0
gemma_instruct,instruct,w,D,192,48,1.5999999999999996,0.0,1.5999999999999996,1599691581055.1228,8.13112825291444e+16,0.0,0.39999999999999947,0.00045422102848911936,0.0,
gemma_instruct,instruct,r,D,192,48,1.5999999999999996,0.0,1.5999999999999996,1599691581055.1228,8.13112825291444e+16,0.0,0.39999999999999947,0.00045422102848911936,0.0,
gemma_instruct,instruct,s,D,192,48,1.4400000000000004,0.0,1.4400000000000004,1439722422949.611,7.318015427623e+16,0.0,0.35999999999999943,0.0004542210284891215,0.0,
llama_base,base,w,V,192,48,1.5999999999999996,0.0,1.5999999999999996,1599643879097.9575,7.0417636284532856e+16,0.0,0.0,1.0,0.0,
llama_base,base,r,V,192,48,1.5999999999999996,0.0,1.5999999999999996,1599643879097.9575,7.0417636284532856e+16,0.0,0.0,1.0,0.0,0.0
llama_base,base,s,V,192,48,1.4400000000000004,0.0,1.4400000000000004,1439679491188.1624,6.33758726560796e+16,0.0,-8.881784197001252e-16,0.9999999999999932,0.0,0.0
llama_base,base,w,A,192,48,1.5999999999999996,0.0,1.5999999999999996,1599821919730.8206,1.4083527256906571e+17,0.0,1.2000000000000002,3.957902155240854e-36,0.0,
llama_base,base,r,A,192,48,1.5999999999999996,0.0,1.5999999999999996,1599821919730.8206,1.4083527256906571e+17,0.0,1.2000000000000002,3.957902155240854e-36,0.0,0.0
llama_base,base,s,A,192,48,1.4400000000000006,0.0,1.4400000000000006,1439679491188.1626,6.337587265607961e+16,0.0,1.0799999999999992,3.9579021552412856e-36,0.0,0.0
llama_base,base,w,D,192,48,1.5999999999999996,0.0,1.5999999999999996,1599691581055.1228,8.13112825291444e+16,0.0,0.39999999999999947,0.00045422102848911936,0.0,
llama_base,base,r,D,192,48,1.5999999999999996,0.0,1.5999999999999996,1599691581055.1228,8.13112825291444e+16,0.0,0.39999999999999947,0.00045422102848911936,0.0,
llama_base,base,s,D,192,48,1.4400000000000004,0.0,1.4400000000000004,1439722422949.611,7.318015427623e+16,0.0,0.35999999999999943,0.0004542210284891215,0.0,
llama_instruct,instruct,w,V,192,48,1.5999999999999996,0.0,1.5999999999999996,1599643879097.9575,7.0417636284532856e+16,0.0,0.0,1.0,0.0,
llama_instruct,instruct,r,V,192,48,1.5999999999999996,0.0,1.5999999999999996,1599643879097.9575,7.0417636284532856e+16,0.0,0.0,1.0,0.0,0.0
llama_instruct,instruct,s,V,192,48,1.4400000000000004,0.0,1.4400000000000004,1439679491188.1624,6.33758726560796e+16,0.0,-8.881784197001252e-16,0.9999999999999932,0.0,0.0
llama_instruct,instruct,w,A,192,48,1.5999999999999996,0.0,1.5999999999999996,1599821919730.8206,1.4083527256906571e+17,0.0,1.2000000000000002,3.957902155240854e-36,0.0,
llama_instruct,instruct,r,A,192,48,1.5999999999999996,0.0,1.5999999999999996,1599821919730.8206,1.4083527256906571e+17,0.0,1.2000000000000002,3.957902155240854e-36,0.0,0.0
llama_instruct,instruct,s,A,192,48,1.4400000000000006,0.0,1.4400000000000006,1439679491188.1626,6.337587265607961e+16,0.0,1.0799999999999992,3.9579021552412856e-36,0.0,0.0
llama_instruct,instruct,w,D,192,48,1.5999999999999996,0.0,1.5999999999999996,1599691581055.1228,8.13112825291444e+16,0.0,0.39999999999999947,0.00045422102848911936,0.0,
llama_instruct,instruct,r,D,192,48,1.5999999999999996,0.0,1.5999999999999996,1599691581055.1228,8.13112825291444e+16,0.0,0.39999999999999947,0.00045422102848911936,0.0,
