layer,relative_depth,dataset,target_V_human_r2_reader,target_V_human_r2_self,target_V_human_pr_reader,target_V_human_pr_self,target_A_human_r2_reader,target_A_human_r2_self,target_A_human_pr_reader,target_A_human_pr_self
0,0.0,EmoBank,0.07788270191302904,0.07125071347613054,0.3015179177373456,0.2937149083458378,0.005092008298340778,0.00822617420270988,0.1941150146648241,0.19654424404396648
1,0.06666666666666667,EmoBank,0.12692341845747446,0.1361835647449584,0.36626124042081054,0.37680780161201116,0.038313031040559276,0.04234714177651766,0.2463214766658438,0.2523393173611355
2,0.13333333333333333,EmoBank,0.1090799291589698,0.12282132882558872,0.3487892242057225,0.3644156645735205,0.02957381662641345,0.028030336502380515,0.22464288378543468,0.2258214464886704
3,0.2,EmoBank,0.11369128482250768,0.12066690597566598,0.3546124971787055,0.36344999771098596,0.02752710392818325,0.022314463139084695,0.2219760449141352,0.21669212388552347
4,0.26666666666666666,EmoBank,0.129268352506541,0.13779089504466824,0.37009856471724456,0.38042968539196526,-0.0019548318704085688,0.01305742873199267,0.1844485101936661,0.20318883497726922
5,0.3333333333333333,EmoBank,0.16198405583466957,0.16987435269442785,0.4087228706994022,0.41864978416874216,0.019852817734861583,0.017232082006057303,0.21087990609879456,0.2055141247341936
6,0.4,EmoBank,0.1458868675322581,0.14169513523059885,0.3911763067010527,0.38812392344913266,0.044201101998278536,0.025241089369413716,0.24893095366805754,0.22068364226210846
7,0.4666666666666667,EmoBank,0.3574649989919997,0.37377779611068374,0.5987996612616014,0.611859318165643,0.08895572964519971,0.07898865154429613,0.31380553744733586,0.30251009867773915
8,0.5333333333333333,EmoBank,0.3279387387857252,0.3324837441494577,0.5735343320255543,0.5770924636816457,0.08496736069490973,0.09280803761560374,0.3120491787141685,0.3212482319879842
9,0.6,EmoBank,0.3402377164938112,0.39054347510645937,0.5837796294339902,0.6251893794530106,0.08464410928469279,0.10596394280290355,0.3099402230794657,0.33818108606352776
10,0.6666666666666666,EmoBank,0.34808104095511927,0.3670783002247773,0.5903627105202466,0.6066547652455223,0.07024312265494326,0.08740138737884906,0.2907233154812094,0.3130204379311334
11,0.7333333333333333,EmoBank,0.38099048518577705,0.38542430660425797,0.6181875640331239,0.6226931577339518,0.08508912949965797,0.09219249395375473,0.31118521223235135,0.31843240129961725
12,0.8,EmoBank,0.40158795602533415,0.4243170249745324,0.6352385748440181,0.6526662603465535,0.08318798503226355,0.07635181134288627,0.31126220701072066,0.30266648446048716
13,0.8666666666666667,EmoBank,0.3797238908089521,0.41780545360519683,0.6175039843404884,0.6466916455049634,0.07722035810339845,0.09063955995514283,0.3052343899907304,0.3146976162584313
14,0.9333333333333333,EmoBank,0.4177996606861939,0.4583701599380826,0.6474272470456207,0.677123931827721,0.08782803492805613,0.096906781660974,0.31965002334964854,0.3246689345838339
15,1.0,EmoBank,0.39288741106514247,0.4278803296087976,0.6273785354725915,0.6543075489411703,0.08525496191749293,0.07632688464773196,0.30712427000135156,0.2929190900290645
