id,text,human_writer_v,human_writer_a,human_writer_d,human_reader_v,human_reader_a,human_reader_d,w_ev,w_ea,w_ed,w_gv,w_ga,w_gd,w_p555,r_ev,r_ea,r_ed,r_gv,r_ga,r_gd,r_p555,s_ev,s_ea,s_ed,s_gv,s_ga,s_gd,s_p555
110CYL068_1079_1110,If I wasn't working here.,3.0,3.2,3.0,2.6,3.0,2.6,4.97469757860515,4.955583291772431,5.010078463038232,1,1,1,0.0015690319989235275,4.990651846406632,4.960013174275996,5.01196641432357,1,1,1,0.0015802075805620385,4.963090570506049,4.974405303590093,5.018806965120563,1,1,1,0.0015792312758270287
110CYL068_1946_1997,"I've got more than a job; I've got a career.""",3.4,3.2,3.8,3.17,3.5,3.0,5.0153352664417685,5.064997591882887,5.063743982167212,9,9,9,0.0016410495705925356,5.034262651444354,5.0572060580235165,5.069945672247208,9,9,9,0.0016133408434633569,4.990217091328282,5.065118837851877,5.07303577213525,8,8,8,0.0016420383076445795
110CYL069_267_291,He has no time to waste.,2.8,3.2,3.2,3.0,3.5,3.5,4.955702563063419,5.006057559010552,5.021801021515949,1,1,1,0.001591140186739166,4.9654356014631045,5.009086496928339,5.025389251736305,1,1,1,0.0015732902036073753,4.958907184844415,5.044829298722962,5.031491280028248,1,1,1,0.001586092466984338
110CYL069_313_453,"With the help of friends like you, Goodwill has continued to adapt our services to meet the human needs of our changing society.",3.2,3.0,3.2,3.6,3.2,3.6,5.0029303749170095,5.037605464975707,5.047283213248736,1,1,1,0.0016207775591603126,5.029250780703199,5.018228858010454,5.048845994016934,8,8,8,0.0016391844821674183,4.987065147405994,5.031534585543711,5.054118354015495,5,5,5,0.0016606404382880015
110CYL069_3152_3165,Real results.,3.0,2.5,3.17,3.0,2.75,3.0,4.995045819108498,5.004405712176309,5.037453732881456,1,1,1,0.0015971739526237849,5.018198989380088,5.002513705659365,5.042107197798748,1,1,1,0.0016083583994085165,4.982696484857485,5.036035429626466,5.048234269851733,1,1,1,0.0015990610140932233
110CYL069_3409_3451,Your support helps provide real solutions.,3.4,3.2,3.4,3.4,2.6,2.6,4.99604457801598,4.992488565789351,5.041577217772865,1,1,1,0.0016133501719579081,5.025668196421508,4.986831735301851,5.046179299492451,1,1,1,0.0016075204567093868,4.987502003171906,5.028234927055864,5.051159114840486,1,1,1,0.001628090195439931
110CYL069_545_682,"The gift that I am asking you to make will be used to continue our mission of helping people prepare for, find and keep jobs.",3.2,2.8,2.8,3.2,3.2,3.0,4.976709808853415,5.026000868526852,5.045099988170285,1,1,1,0.0016090408975063739,5.004422002059824,5.016409413657328,5.051344435796416,1,1,1,0.0016230832368460558,4.983647946328161,5.027201601334491,5.054749497385696,1,1,1,0.001613702834458423
110CYL070_1342_1371,James M. McClelland President,3.0,2.8,3.0,3.0,2.67,3.33,4.975104206197829,5.000537473380382,5.039766229984315,1,1,1,0.0016233430483606611,4.983223359943016,4.998407826054937,5.038388290687248,1,1,1,0.0016328502515426018,4.974000901342055,5.028202076972828,5.04744250994999,1,1,1,0.0016437969158215584
110CYL071_1114_1167,"At last, he has found success in a job that he loves.",3.5,3.0,3.25,4.0,3.6,3.4,5.00728234734018,5.032826673871201,5.055223085222822,1,1,1,0.0016230109203970292,5.035741526172748,5.027752252332706,5.0655885794490985,1,1,1,0.0016362082215551164,4.986324591501332,5.058887909732735,5.071243293516046,1,1,1,0.0016395464645761382
110CYL071_1837_1955,Their successes at work also saved taxpayers more than three-quarters of a million dollars in public assistance.,3.6,2.6,3.2,3.8,3.2,3.4,4.975551676412558,4.979706931764218,5.0369339986893085,1,1,1,0.0015615093063264234,4.9981466122804825,4.976758353568857,5.041337975202692,1,1,1,0.0015774166220057103,4.9547035161355595,4.99268009415624,5.043539957650722,1,1,1,0.001592760550102754
