layer,relative_depth,dataset,target,reader_balanced_acc,self_balanced_acc,reader_f1_macro,self_f1_macro,reader_roc_auc,self_roc_auc
0,0.0,AIPsy,clinical_vs_matched_neutral,0.8645833333333333,0.8802083333333333,0.8645796598215012,0.8801953336950623,0.9394802517361112,0.9462076822916667
1,0.04,AIPsy,clinical_vs_matched_neutral,0.8177083333333333,0.8072916666666667,0.8177033882212517,0.8072864389767518,0.8989529079861112,0.8974880642361112
2,0.08,AIPsy,clinical_vs_matched_neutral,0.8385416666666666,0.8385416666666667,0.8385416666666666,0.8385372867102514,0.9059516059027779,0.9067925347222223
3,0.12,AIPsy,clinical_vs_matched_neutral,0.8255208333333334,0.828125,0.8255101833201082,0.8281063483450896,0.8901095920138888,0.891872829861111
4,0.16,AIPsy,clinical_vs_matched_neutral,0.8385416666666667,0.828125,0.8385241454150841,0.8280503690838037,0.9215766059027778,0.9226616753472222
5,0.2,AIPsy,clinical_vs_matched_neutral,0.859375,0.8619791666666667,0.8593711851992513,0.8619557623566279,0.930881076388889,0.929416232638889
6,0.24,AIPsy,clinical_vs_matched_neutral,0.8359375,0.8463541666666667,0.8356867779204107,0.8462279838463366,0.9201660156250001,0.9229600694444445
7,0.28,AIPsy,clinical_vs_matched_neutral,0.8619791666666667,0.8671875,0.8619782306466379,0.8671433514012225,0.9237196180555556,0.9306369357638888
8,0.32,AIPsy,clinical_vs_matched_neutral,0.8541666666666667,0.859375,0.8541033434650456,0.8592375366568915,0.9255099826388888,0.938259548611111
9,0.36,AIPsy,clinical_vs_matched_neutral,0.859375,0.8697916666666667,0.8593406593406594,0.8697775366250678,0.938720703125,0.956271701388889
10,0.4,AIPsy,clinical_vs_matched_neutral,0.8567708333333333,0.8671875,0.8566064893710919,0.8671433514012225,0.9370659722222222,0.9537217881944444
11,0.44,AIPsy,clinical_vs_matched_neutral,0.8854166666666667,0.875,0.8852641586309928,0.874969474969475,0.9426405164930555,0.9534505208333333
12,0.48,AIPsy,clinical_vs_matched_neutral,0.875,0.8671875,0.874969474969475,0.8671649788714721,0.9387613932291667,0.9539116753472223
13,0.52,AIPsy,clinical_vs_matched_neutral,0.8541666666666666,0.8776041666666667,0.8541310541310541,0.8775834119011605,0.9382052951388888,0.948703342013889
14,0.56,AIPsy,clinical_vs_matched_neutral,0.84375,0.8723958333333333,0.8435972629521017,0.8723741953863162,0.936794704861111,0.95361328125
15,0.6,AIPsy,clinical_vs_matched_neutral,0.8671875,0.8776041666666667,0.8670784267146299,0.8776033366111695,0.9463433159722222,0.9578993055555556
16,0.64,AIPsy,clinical_vs_matched_neutral,0.8619791666666666,0.8776041666666667,0.8617682417425678,0.8775834119011605,0.94140625,0.9530436197916667
17,0.68,AIPsy,clinical_vs_matched_neutral,0.8229166666666667,0.8411458333333333,0.8228974498100923,0.8411447560272625,0.8815104166666666,0.9037000868055556
18,0.72,AIPsy,clinical_vs_matched_neutral,0.8229166666666667,0.8359375,0.8229118628435017,0.8359363873724186,0.8975965711805556,0.914279513888889
19,0.76,AIPsy,clinical_vs_matched_neutral,0.8229166666666667,0.8411458333333334,0.8229118628435017,0.8411361370526358,0.9068603515624999,0.9183213975694444
20,0.8,AIPsy,clinical_vs_matched_neutral,0.8463541666666667,0.84375,0.8461778704162621,0.843682153712549,0.9196370442708334,0.92333984375
21,0.84,AIPsy,clinical_vs_matched_neutral,0.8515625,0.8411458333333333,0.8514809160305343,0.8411447560272625,0.9222005208333333,0.9256456163194444
22,0.88,AIPsy,clinical_vs_matched_neutral,0.828125,0.8385416666666667,0.828083028083028,0.8385241454150841,0.9173041449652777,0.9198947482638888
23,0.92,AIPsy,clinical_vs_matched_neutral,0.8385416666666666,0.8463541666666667,0.8385022385022385,0.8463030927974926,0.9208984374999999,0.9297417534722222
24,0.96,AIPsy,clinical_vs_matched_neutral,0.875,0.8541666666666667,0.8749966090660011,0.8541627105770013,0.926052517361111,0.928738064236111
25,1.0,AIPsy,clinical_vs_matched_neutral,0.8515625,0.8489583333333333,0.8515614933369502,0.8489542359547514,0.9268934461805556,0.926540798611111
