layer,relative_depth,dataset,target,reader_spearman_rho,self_spearman_rho,reader_pearson_r,self_pearson_r,reader_r2,self_r2
0,0.0,AIPsy,intensity_none_moderate_peak,0.7721890457352453,0.7744397292283792,0.7655137445309468,0.7717072222079353,0.5621305189727561,0.5760589568107433
1,0.04,AIPsy,intensity_none_moderate_peak,0.7760765899506585,0.7813963872980662,0.7661978392303916,0.7727255517790357,0.5568996500952539,0.5692464427271218
2,0.08,AIPsy,intensity_none_moderate_peak,0.7609356282695753,0.7734166912769548,0.7533928818806093,0.756679899246817,0.5386710140601711,0.5427616791271144
3,0.12,AIPsy,intensity_none_moderate_peak,0.770142969832396,0.752751324658179,0.763422391474144,0.7416386636821479,0.568508328477638,0.5309923692496685
4,0.16,AIPsy,intensity_none_moderate_peak,0.8345943607721424,0.8333667152304329,0.828380435761278,0.8262475252703305,0.6826641156110406,0.6790726706802546
5,0.2,AIPsy,intensity_none_moderate_peak,0.8366404366749914,0.8296837786053045,0.8283130783198359,0.8225364948526935,0.6810479891091321,0.6715987715189804
6,0.24,AIPsy,intensity_none_moderate_peak,0.8157704624659308,0.8124967410213723,0.8053433644927148,0.8050566966838049,0.6446434436455157,0.6447936309537865
7,0.28,AIPsy,intensity_none_moderate_peak,0.8065631209031098,0.8208856522230537,0.7912877938259755,0.8016045379861836,0.6210741457315452,0.6375793999732535
8,0.32,AIPsy,intensity_none_moderate_peak,0.8124967410213723,0.8294791710150197,0.8006726223711416,0.8103564727685462,0.6364838208723416,0.6546042863296779
9,0.36,AIPsy,intensity_none_moderate_peak,0.8523952211269293,0.8583288412451918,0.8331717262444326,0.8457494021173362,0.6930312366927209,0.7148977651671793
10,0.4,AIPsy,intensity_none_moderate_peak,0.866513144856588,0.862216385460605,0.8425481144975997,0.8472800728224583,0.7088982169545028,0.7157787410552399
11,0.44,AIPsy,intensity_none_moderate_peak,0.8591472716063313,0.8497353224532256,0.8448744442083236,0.8348657149219004,0.7129460222143789,0.6953291697343602
12,0.48,AIPsy,intensity_none_moderate_peak,0.8425740567932538,0.8415510188418293,0.8067895900981695,0.8136000290199905,0.640917122989761,0.6557729674743777
13,0.52,AIPsy,intensity_none_moderate_peak,0.8452339554669577,0.8272284875218856,0.823183185632581,0.8097124980186572,0.6720440227958953,0.6496524823717285
14,0.56,AIPsy,intensity_none_moderate_peak,0.8575104108840521,0.8528044363074992,0.8328580971592793,0.8324656761011222,0.6932989267112637,0.6923890651651075
15,0.6,AIPsy,intensity_none_moderate_peak,0.8579196260646218,0.8456431706475274,0.8353461681016787,0.8262778200446903,0.696131140245303,0.6808725870182034
16,0.64,AIPsy,intensity_none_moderate_peak,0.8446201326961028,0.8403233733001197,0.8270334667591501,0.8224821114561816,0.6807558881130162,0.6731626774536118
17,0.68,AIPsy,intensity_none_moderate_peak,0.6623147697522492,0.7071238320246442,0.660086140282317,0.6926526664122368,0.43415949995870606,0.4774932496915657
18,0.72,AIPsy,intensity_none_moderate_peak,0.6795018073361816,0.7026224650383762,0.6695956492038333,0.6898628947407074,0.44774795176003424,0.47493745387592523
19,0.76,AIPsy,intensity_none_moderate_peak,0.7052823637120802,0.7140804900943312,0.6963172736819083,0.7047741192047127,0.4838975620798234,0.496358385149259
20,0.8,AIPsy,intensity_none_moderate_peak,0.732495173219973,0.7627770965821395,0.7263236606406183,0.7481402592459124,0.527165595502656,0.5584340203061613
21,0.84,AIPsy,intensity_none_moderate_peak,0.7275845910531351,0.7337228187616823,0.7210952963141558,0.724273646221382,0.5187356684487099,0.5245279494670281
22,0.88,AIPsy,intensity_none_moderate_peak,0.714489705274901,0.6923920855241308,0.689273191071224,0.6889091411920079,0.47316577688380423,0.47319888280963773
23,0.92,AIPsy,intensity_none_moderate_peak,0.7200141102125935,0.6837985667321647,0.6925350217380798,0.6789390046365674,0.47862680448567974,0.4589399890197824
24,0.96,AIPsy,intensity_none_moderate_peak,0.7320859580394031,0.723287831657152,0.7094096688747464,0.706174667100175,0.501158634771022,0.49758203628741504
25,1.0,AIPsy,intensity_none_moderate_peak,0.7253339075600012,0.7095791231080633,0.7081024839921112,0.7002756416570494,0.4996349557293369,0.4901945446561252
