layer,relative_depth,dataset,target_V_human_r2_reader,target_V_human_r2_self,target_V_human_pr_reader,target_V_human_pr_self,target_A_human_r2_reader,target_A_human_r2_self,target_A_human_pr_reader,target_A_human_pr_self
0,0.0,EmoBank,0.12777754879244196,0.12091801791172008,0.36765192966469656,0.36161402084624156,0.017360465498161837,0.020793520993284687,0.2165736774254797,0.2198600900032808
1,0.04,EmoBank,0.08906151483350766,0.07285652577751134,0.31547617222723867,0.29643407777320196,-0.018233646705017925,-0.01984380299657018,0.1471234429482313,0.14631860986277093
2,0.08,EmoBank,0.09033714731380815,0.08478684505926559,0.319787333800354,0.313811346916578,-0.0252476890854616,-0.03537763919890469,0.14733159976139332,0.13248560877698573
3,0.12,EmoBank,0.10532589393913117,0.1052036532844498,0.3403208299497062,0.34165338252006583,0.009588760599942181,0.012338968694314834,0.19877695259288616,0.20119027969294853
4,0.16,EmoBank,0.12253107332320445,0.12316322861837947,0.36218765894286825,0.36419708450349153,0.021766097657995864,0.02592858045371338,0.22212165666841077,0.22754205317176374
5,0.2,EmoBank,0.06188388415306201,0.06412152951807892,0.2775924548494629,0.28541282808972446,0.003881036830840956,0.01611288137496336,0.18453750148003767,0.20295463714766848
6,0.24,EmoBank,0.07721678614082517,0.08145943933824862,0.2996636231477147,0.3030340478166595,0.03271473551079174,0.03691682659113693,0.23001597378467675,0.23772091340934765
7,0.28,EmoBank,0.09894155667568127,0.09537204416954825,0.3264617929760659,0.321524072347975,0.02536928113472714,0.026107123957657685,0.21614936852833216,0.2204331653286164
8,0.32,EmoBank,0.12279744653653246,0.11397692698783479,0.3609502646330945,0.34974448695614163,0.013646196226329121,0.005919997542193967,0.199828302944819,0.18865294176107794
9,0.36,EmoBank,0.13934589004931908,0.1514058316158633,0.38100147429616993,0.3945682074469622,0.025535629691355255,0.01105383065051857,0.2201715303149177,0.19594525933731946
10,0.4,EmoBank,0.2343590039458553,0.226554771334757,0.4866644197443659,0.47871222351227904,0.029936529758779806,0.030670049151238832,0.229971143900464,0.23181153471741592
11,0.44,EmoBank,0.19416415757774474,0.15331471648930817,0.44416516255557076,0.4003631474389243,0.02152775473812829,0.0056742270927770955,0.21398633111201895,0.1873174420524963
12,0.48,EmoBank,0.1401115791191011,0.14605574612519,0.3851793443767627,0.39124808289279295,0.002578555570149299,0.001955754387561348,0.18878686686595778,0.1789398930734681
13,0.52,EmoBank,0.161863963424837,0.15085668102878802,0.40913745055187806,0.3973493905159904,0.011220923134318994,-0.003142456942294869,0.1988458214103278,0.17660576163456457
14,0.56,EmoBank,0.2667137901961222,0.3017472255296083,0.5173481340164617,0.5498318046375925,0.033903258746522225,0.03810638838918201,0.23834796196266747,0.24064152488306792
15,0.6,EmoBank,0.2765945701521251,0.3118507719352577,0.5270957372761149,0.5589502149449517,0.04346301432746946,0.016616724353058943,0.2505787124832835,0.21166826469036829
16,0.64,EmoBank,0.33083218095159783,0.3300645823114481,0.5760681480869433,0.5760383717136881,0.03882466247897143,0.044295321193433046,0.24983757560235634,0.254015446479776
17,0.68,EmoBank,0.13621785036452272,0.15313474391911852,0.3742373916853487,0.3939553590854124,0.01078459121687736,0.010311349479541265,0.17741631638877361,0.17229635430348525
18,0.72,EmoBank,0.17030865573655318,0.17496421072924961,0.413663591734087,0.4197614797621301,0.018133923675583308,0.01059340790318275,0.18804581890696284,0.17239845014292193
19,0.76,EmoBank,0.18236349627548232,0.19828145257789098,0.42796053109309157,0.44563288800262535,0.02845943409970575,0.01290711549731871,0.20724149196306763,0.1816817949457558
20,0.8,EmoBank,0.22798760272765628,0.2523538927613326,0.4782120779119459,0.5025040006406564,0.016044587041183833,0.029701434556934525,0.1915435612509548,0.21394110230102215
21,0.84,EmoBank,0.24568024918775488,0.27529293361367635,0.49608053344025316,0.5247206735685573,0.023039197356926278,0.029475474663689494,0.20844348783478622,0.2153723663188691
22,0.88,EmoBank,0.24831747449108366,0.2514053464244196,0.4983958357951921,0.5014090136309683,0.021180686368796775,0.014173872118744546,0.20397996113093528,0.1868393337416526
23,0.92,EmoBank,0.21529978015233409,0.2184002701748794,0.4645558787902372,0.46797516733476224,0.017165366031348883,0.02229374488480984,0.19149747916622914,0.19615108641066553
24,0.96,EmoBank,0.24854051683970613,0.2543821743923388,0.49882079717132,0.5046206327886545,0.03282632388234097,0.02120318837962154,0.2165171182920364,0.19536593560682142
25,1.0,EmoBank,0.2671873830929584,0.2762738251603132,0.5172958920748871,0.5258198872835514,0.02544758440210737,0.014746945362592245,0.2053216480246036,0.18755903925272913
