r2_within_r,r2_within_s,r2_cross_r_to_s,r2_cross_s_to_r,r2_cross_r_to_s_task_scaled,r2_cross_s_to_r_task_scaled,direct_transfer_score,direct_transfer_score_raw,direct_transfer_score_clipped,r2_pca_direct,r2_aligned_transfer,alignment_gain,rsa_correlation,geometry_pattern,is_held_out,layer,relative_depth,target
-0.9713247135214491,-1.1459021396096283,-2.850978728157619,-1.6080887911561437,-1.622517080855983,-2.8930909405860277,-2.2295337596568814,-2.2295337596568814,0.0,0.1423608431687513,0.16334877607323106,0.020987932904479756,0.9870278970256656,Operational: Task-Divergent Geometry,True,0,0.0,Valence_human
-1.3435366728973124,-1.4179639469849703,-2.3983049560844325,-2.9580384677389637,-2.0048510890950078,-2.6498969761221214,-2.6781717119116983,-2.6781717119116983,0.0,0.030810796155942732,0.030905498279598653,9.47021236559209e-05,0.9870278970256656,Operational: Task-Divergent Geometry,True,0,0.0,Arousal_human
-1.2908001599801722,-0.9919721859406319,-2.626944809357267,-2.4002307014150803,-1.820691921187183,-1.8793039087146006,-2.5135877553861734,-2.5135877553861734,0.0,0.06493409673084549,0.07035675941571984,0.0054226626848743464,0.9701080517516454,Operational: Task-Divergent Geometry,True,1,0.04,Valence_human
-1.425024342009038,-1.3522549834425504,-2.617495431408154,-2.167551909767096,-1.9990651154275545,-2.139632645175282,-2.392523670587625,-2.392523670587625,0.0,-0.047506298487282494,-0.024458292940757298,0.023048005546525197,0.9701080517516454,Operational: Task-Divergent Geometry,True,1,0.04,Arousal_human
-1.3042151898833056,-1.2746465909206712,-2.2251164397137257,-2.1953929573543767,-2.002615591778003,-1.8821505567120331,-2.210254698534051,-2.210254698534051,0.0,0.07016594591493097,0.08597549818465544,0.01580955226972447,0.9813840194458395,Operational: Task-Divergent Geometry,True,2,0.08,Valence_human
-1.6599812476156899,-1.719593920840504,-3.2875768326332633,-3.2249734283214933,-2.142064602295791,-2.893365438260172,-3.2562751304773783,-3.2562751304773783,0.0,-0.0687710036258451,-0.04637932456767513,0.022391679058169967,0.9813840194458395,Operational: Task-Divergent Geometry,True,2,0.08,Arousal_human
-1.5853878802103574,-1.4434827090512838,-3.8380432208581814,-2.8281776514971684,-2.7228413332528816,-2.296978004064383,-3.333110436177675,-3.333110436177675,0.0,0.08146610760283235,0.1045135510216243,0.023047443418791946,0.9832600627547334,Operational: Task-Divergent Geometry,True,3,0.12,Valence_human
-1.9942798597319413,-1.892224966679263,-5.714625728794846,-2.4894445060739576,-3.6136688123085436,-2.8905216093326724,-4.102035117434402,-4.102035117434402,0.0,-0.0031251708842627846,0.01216752070548388,0.015292691589746665,0.9832600627547334,Operational: Task-Divergent Geometry,True,3,0.12,Arousal_human
-1.67000581209245,-1.7345167658061316,-5.2648205065843054,-3.0831371426803917,-2.248817018695399,-2.2759266193595327,-4.173978824632348,-4.173978824632348,0.0,0.09401268559252884,0.12911556550713943,0.035102879914610585,0.9746566417767054,Operational: Task-Divergent Geometry,True,4,0.16,Valence_human
-2.0960787558509844,-2.0071504410687204,-3.7762738885557834,-2.9406890007361817,-2.589302597541473,-2.5346822639154376,-3.3584814446459825,-3.3584814446459825,0.0,0.024566443560645967,0.022008283752739,-0.002558159807906968,0.9746566417767054,Operational: Task-Divergent Geometry,True,4,0.16,Arousal_human
-1.5992202113428267,-1.4496723354825831,-2.6251866205587335,-2.1491088527521405,-2.0674601679258355,-2.24178325681157,-2.387147736655437,-2.387147736655437,0.0,0.04641770647689725,0.05609461992940834,0.009676913452511093,0.9566356939202916,Operational: Task-Divergent Geometry,True,5,0.2,Valence_human
-2.0702879751033927,-2.009173196505958,-3.1381802164240007,-3.3313347303078933,-2.557618946611062,-2.867776001650676,-3.234757473365947,-3.234757473365947,0.0,-0.004517530882620191,-0.0012531667029316296,0.0032643641796885614,0.9566356939202916,Operational: Task-Divergent Geometry,True,5,0.2,Arousal_human
