layer,relative_depth,dataset,target,reader_balanced_acc,self_balanced_acc,reader_f1_macro,self_f1_macro,reader_roc_auc,self_roc_auc
0,0.0,AIPsy,emotion_category_secondary,0.49479166666666663,0.5052083333333333,0.4988330402965766,0.5087436319119946,0.8369915674603174,0.8472532242063493
1,0.04,AIPsy,emotion_category_secondary,0.4583333333333333,0.46875,0.45915948777121474,0.47025817784714613,0.824373759920635,0.8184833829365079
2,0.08,AIPsy,emotion_category_secondary,0.4583333333333333,0.44270833333333337,0.45970287490511696,0.4420194799109339,0.8365885416666667,0.8292410714285715
3,0.12,AIPsy,emotion_category_secondary,0.4583333333333333,0.4375,0.4570317318658123,0.43658343347234985,0.8391927083333333,0.8333643353174602
4,0.16,AIPsy,emotion_category_secondary,0.5260416666666666,0.49479166666666663,0.529169680424732,0.4987879939209726,0.8676525297619048,0.8663194444444444
5,0.2,AIPsy,emotion_category_secondary,0.49479166666666674,0.484375,0.4974228523924572,0.4850140215660732,0.8314732142857143,0.8381696428571429
6,0.24,AIPsy,emotion_category_secondary,0.5052083333333334,0.53125,0.5054245136789894,0.531754246817677,0.8446490575396826,0.8555617559523809
7,0.28,AIPsy,emotion_category_secondary,0.49479166666666663,0.49999999999999994,0.4928838479870331,0.49924166405692716,0.8393167162698412,0.8448660714285714
8,0.32,AIPsy,emotion_category_secondary,0.515625,0.5416666666666666,0.5161576540884625,0.543989688238812,0.8406808035714286,0.859312996031746
9,0.36,AIPsy,emotion_category_secondary,0.5208333333333334,0.5625,0.5202791222872127,0.5646320324192975,0.8619791666666667,0.8790922619047619
10,0.4,AIPsy,emotion_category_secondary,0.5260416666666666,0.5416666666666667,0.5258676881455355,0.5437597629030745,0.8708147321428571,0.8760540674603176
11,0.44,AIPsy,emotion_category_secondary,0.484375,0.47916666666666663,0.485642469753859,0.47815706609501646,0.8330543154761905,0.8326512896825398
12,0.48,AIPsy,emotion_category_secondary,0.47395833333333337,0.45833333333333326,0.4736203778749673,0.45478152476863987,0.8251798115079365,0.8277839781746033
13,0.52,AIPsy,emotion_category_secondary,0.41666666666666663,0.45833333333333337,0.41480260873877894,0.4570012787723785,0.8253658234126984,0.8361235119047619
14,0.56,AIPsy,emotion_category_secondary,0.47395833333333337,0.515625,0.46980017016615366,0.5130883459577115,0.8489893353174602,0.8636532738095238
15,0.6,AIPsy,emotion_category_secondary,0.5208333333333334,0.5,0.5212763504611331,0.4947409103845879,0.8595610119047619,0.8685825892857142
16,0.64,AIPsy,emotion_category_secondary,0.4791666666666667,0.5416666666666666,0.4728755443953835,0.5381234104060191,0.8461681547619047,0.8649243551587301
17,0.68,AIPsy,emotion_category_secondary,0.375,0.3177083333333333,0.37531179362964767,0.3161707744350133,0.7553633432539683,0.7572544642857144
18,0.72,AIPsy,emotion_category_secondary,0.3697916666666667,0.390625,0.36440420238007076,0.3844258857389109,0.7769717261904763,0.7767547123015872
19,0.76,AIPsy,emotion_category_secondary,0.40104166666666663,0.3958333333333333,0.39880248959558906,0.3913980842837226,0.7898065476190476,0.7908916170634921
20,0.8,AIPsy,emotion_category_secondary,0.38541666666666663,0.375,0.38101240419890303,0.37364905081792044,0.7959759424603176,0.7896205357142857
21,0.84,AIPsy,emotion_category_secondary,0.3958333333333333,0.4010416666666667,0.39433815192743765,0.3986522253057868,0.8039744543650794,0.7984250992063493
22,0.88,AIPsy,emotion_category_secondary,0.4010416666666667,0.375,0.3979754700482722,0.37451257242974173,0.7906746031746033,0.7856832837301587
23,0.92,AIPsy,emotion_category_secondary,0.375,0.3802083333333333,0.3742895319483148,0.3778772966436419,0.7875434027777778,0.7880704365079365
24,0.96,AIPsy,emotion_category_secondary,0.375,0.40625,0.37295851992771445,0.4038514798154587,0.794983878968254,0.7963789682539683
25,1.0,AIPsy,emotion_category_secondary,0.4010416666666667,0.39583333333333337,0.4010995830838569,0.3923011604863675,0.7960069444444444,0.794766865079365
