layer,relative_depth,dataset,target,reader_balanced_acc,self_balanced_acc,reader_f1_macro,self_f1_macro,reader_roc_auc,self_roc_auc
0,0.0,AIPsy,clinical_vs_matched_neutral,0.8489583333333333,0.8489583333333334,0.8489419424850786,0.8489214489214489,0.9124348958333333,0.911349826388889
1,0.06666666666666667,AIPsy,clinical_vs_matched_neutral,0.8255208333333334,0.8177083333333333,0.8255101833201082,0.8176885512750949,0.922607421875,0.9191351996527777
2,0.13333333333333333,AIPsy,clinical_vs_matched_neutral,0.8541666666666667,0.8619791666666666,0.854150841020076,0.8619707420293394,0.9412977430555556,0.9415147569444444
3,0.2,AIPsy,clinical_vs_matched_neutral,0.8671875,0.8723958333333333,0.8671649788714721,0.8723741953863162,0.9491102430555556,0.949462890625
4,0.26666666666666666,AIPsy,clinical_vs_matched_neutral,0.8776041666666666,0.8802083333333334,0.8775966957618669,0.8802083333333334,0.9469401041666666,0.9496256510416667
5,0.3333333333333333,AIPsy,clinical_vs_matched_neutral,0.8697916666666666,0.8802083333333333,0.8697916666666666,0.8801953336950623,0.9514838324652777,0.9518636067708334
6,0.4,AIPsy,clinical_vs_matched_neutral,0.875,0.890625,0.8749966090660011,0.890622032932751,0.9439561631944443,0.9490559895833335
7,0.4666666666666667,AIPsy,clinical_vs_matched_neutral,0.90625,0.8880208333333334,0.9062474567995009,0.8880139982502187,0.9654812282986112,0.964992947048611
8,0.5333333333333333,AIPsy,clinical_vs_matched_neutral,0.90625,0.9166666666666666,0.9062474567995009,0.9166666666666666,0.9694281684027778,0.9752332899305555
9,0.6,AIPsy,clinical_vs_matched_neutral,0.9088541666666667,0.9296875,0.9088535485402326,0.9296870231596079,0.9705810546875,0.9779459635416667
10,0.6666666666666666,AIPsy,clinical_vs_matched_neutral,0.9244791666666667,0.9270833333333334,0.9244786545047641,0.9270833333333334,0.9727105034722222,0.9766710069444444
11,0.7333333333333333,AIPsy,clinical_vs_matched_neutral,0.9244791666666667,0.9270833333333334,0.9244786545047641,0.927065527065527,0.973117404513889,0.9786512586805555
12,0.8,AIPsy,clinical_vs_matched_neutral,0.9270833333333334,0.9166666666666666,0.9270833333333334,0.9166463166463166,0.9716796875,0.9765082465277777
13,0.8666666666666667,AIPsy,clinical_vs_matched_neutral,0.9166666666666667,0.9192708333333333,0.9166644060440008,0.9192439979105469,0.9704047309027778,0.9769015842013888
14,0.9333333333333333,AIPsy,clinical_vs_matched_neutral,0.9270833333333333,0.9140625,0.9270516717325228,0.9140479275050701,0.9710150824652778,0.97705078125
15,1.0,AIPsy,clinical_vs_matched_neutral,0.9140625,0.9192708333333333,0.9140619171950765,0.9192571440199144,0.967922634548611,0.9735243055555556
