layer,relative_depth,dataset,target,reader_balanced_acc,self_balanced_acc,reader_f1_macro,self_f1_macro,reader_roc_auc,self_roc_auc
0,0.0,AIPsy,emotion_category_secondary,0.375,0.390625,0.37860783814705523,0.3912725937801926,0.7579365079365079,0.7663380456349207
1,0.06666666666666667,AIPsy,emotion_category_secondary,0.4322916666666667,0.4427083333333333,0.4316277969412986,0.44368451749445637,0.7996031746031746,0.8035094246031745
2,0.13333333333333333,AIPsy,emotion_category_secondary,0.45833333333333337,0.4270833333333333,0.4585437821354043,0.4300372230298225,0.8212425595238095,0.8207155257936508
3,0.2,AIPsy,emotion_category_secondary,0.5520833333333333,0.546875,0.5487021903336666,0.548971078676759,0.8743799603174603,0.8740699404761905
4,0.26666666666666666,AIPsy,emotion_category_secondary,0.578125,0.6197916666666666,0.5795477964193274,0.6202110773387368,0.892640128968254,0.9007316468253967
5,0.3333333333333333,AIPsy,emotion_category_secondary,0.59375,0.6354166666666667,0.5943887777015695,0.6348784612159839,0.9044208829365079,0.9092881944444444
6,0.4,AIPsy,emotion_category_secondary,0.6302083333333333,0.6197916666666666,0.6301771641057354,0.6212467158708574,0.9125124007936508,0.9123883928571428
7,0.4666666666666667,AIPsy,emotion_category_secondary,0.6822916666666667,0.65625,0.6821507090768357,0.6591037012808459,0.9246651785714286,0.9267113095238095
8,0.5333333333333333,AIPsy,emotion_category_secondary,0.640625,0.6822916666666666,0.6412642495770864,0.6823028845697716,0.9137214781746033,0.9223090277777778
9,0.6,AIPsy,emotion_category_secondary,0.6354166666666666,0.671875,0.6357136388557653,0.6734846418780865,0.9134114583333333,0.9352678571428572
10,0.6666666666666666,AIPsy,emotion_category_secondary,0.6666666666666667,0.6979166666666667,0.665943462052389,0.6983558630493074,0.9260602678571428,0.9444444444444444
11,0.7333333333333333,AIPsy,emotion_category_secondary,0.71875,0.7239583333333333,0.7181691369672236,0.7229305835710691,0.951140873015873,0.9583953373015873
12,0.8,AIPsy,emotion_category_secondary,0.6822916666666667,0.7239583333333334,0.6815709396382974,0.7238665176215413,0.94921875,0.951233878968254
13,0.8666666666666667,AIPsy,emotion_category_secondary,0.6666666666666666,0.703125,0.6640303265871745,0.7019812077364608,0.9387090773809524,0.9365389384920635
14,0.9333333333333333,AIPsy,emotion_category_secondary,0.6927083333333333,0.6979166666666667,0.6907551775483789,0.6977503697752219,0.9429873511904762,0.9365389384920635
15,1.0,AIPsy,emotion_category_secondary,0.703125,0.6510416666666667,0.7002390984718276,0.6509330120937264,0.9375,0.925812251984127
