layer,relative_depth,dataset,target,reader_spearman_rho,self_spearman_rho,reader_pearson_r,self_pearson_r,reader_r2,self_r2
0,0.0,AIPsy,intensity_none_moderate_peak,0.7052823637120802,0.7165357811777501,0.6914493761415135,0.6969119062364515,0.43541312323784753,0.43756882386308393
1,0.06666666666666667,AIPsy,intensity_none_moderate_peak,0.7977649945208588,0.8034940070488362,0.778608740051852,0.7705406013151105,0.5849954865717377,0.5618896132813036
2,0.13333333333333333,AIPsy,intensity_none_moderate_peak,0.8176119307784948,0.8251824116190367,0.8024405636870746,0.808654530489357,0.6380122838437396,0.6500955233855579
3,0.2,AIPsy,intensity_none_moderate_peak,0.8456431706475274,0.8538274742589237,0.8334632182240989,0.8418776560496675,0.6897234843231421,0.7051523560757862
4,0.26666666666666666,AIPsy,intensity_none_moderate_peak,0.8704006890720013,0.8794034230445373,0.8650163547295826,0.8759019619852677,0.7434038284080409,0.7649943846056552
5,0.3333333333333333,AIPsy,intensity_none_moderate_peak,0.8595564867869012,0.8720375497942807,0.8574618350113894,0.8721618727605105,0.7321908745204229,0.758777826949832
6,0.4,AIPsy,intensity_none_moderate_peak,0.8646716765440239,0.8648762841343088,0.8582053873997357,0.8641526922721005,0.7326165691123807,0.7439546562775812
7,0.4666666666666667,AIPsy,intensity_none_moderate_peak,0.8834955748502354,0.8947489923159055,0.8771182002761173,0.8920179187565243,0.7674259537149992,0.7948340593508787
8,0.5333333333333333,AIPsy,intensity_none_moderate_peak,0.8687638283497221,0.8929075240033414,0.8634373470480454,0.8937327433150251,0.7419779210038647,0.7981960229703323
9,0.6,AIPsy,intensity_none_moderate_peak,0.8685592207594373,0.8863600811142242,0.87104548253502,0.8902976389740987,0.756029390307665,0.7912103011766595
10,0.6666666666666666,AIPsy,intensity_none_moderate_peak,0.8857462583433695,0.8785849926833976,0.887105821846609,0.880970546433651,0.7853212707301601,0.7708561215606372
11,0.7333333333333333,AIPsy,intensity_none_moderate_peak,0.8560781577520578,0.8568965881131975,0.8547365848013713,0.8566834543470863,0.7209782639640965,0.723818521616663
12,0.8,AIPsy,intensity_none_moderate_peak,0.8327528924595782,0.8456431706475274,0.8236608626341468,0.8414734155808049,0.6563374961834658,0.6917970964649498
13,0.8666666666666667,AIPsy,intensity_none_moderate_peak,0.8235455508967573,0.8483030693212312,0.8164925206360965,0.8445782524237744,0.6436062209710822,0.7071146508497546
14,0.9333333333333333,AIPsy,intensity_none_moderate_peak,0.8339805380012876,0.8534182590783541,0.8222768812293935,0.8477307356009914,0.650989853248584,0.7136560823582254
15,1.0,AIPsy,intensity_none_moderate_peak,0.8354127911332819,0.8566919805229125,0.8212701772075046,0.8499858736220347,0.6581434127934442,0.7180862911550576
