layer,relative_depth,dataset,target_V_human_r2_reader,target_V_human_r2_self,target_V_human_pr_reader,target_V_human_pr_self,target_A_human_r2_reader,target_A_human_r2_self,target_A_human_pr_reader,target_A_human_pr_self
0,0.0,EmoBank,0.05764393085114805,0.05508768008509213,0.2694455262920569,0.26992353175859485,0.044980130553401554,0.04933445954854132,0.26618377807963467,0.27350640381808794
1,0.037037037037037035,EmoBank,0.05353156126844072,0.07053107224288269,0.2639890625273885,0.2869425398839406,0.04424997929311125,0.05156609920921995,0.257405961152819,0.26281364713821104
2,0.07407407407407407,EmoBank,0.03877096985573392,0.04650539236978857,0.24099492420999236,0.25412273391274337,0.050899830860646644,0.06095721046676217,0.25618129162348474,0.2713277436420531
3,0.1111111111111111,EmoBank,0.04659031616981246,0.05545226526135616,0.25212852437136374,0.2669012795229023,0.02469049353049879,0.025711384329480724,0.21822638922209875,0.2184072290737252
4,0.14814814814814814,EmoBank,0.05574417529206921,0.059140946245112236,0.2667543625947354,0.2737018645028219,0.017046457197925746,0.01583709405148981,0.20716607672766046,0.20753711263917154
5,0.18518518518518517,EmoBank,0.029276471388803738,0.02757645856835511,0.22869924670316605,0.22256204831191434,-0.015073196520110743,-0.004510611428300004,0.15704283241862896,0.1777879033904595
6,0.2222222222222222,EmoBank,0.059091218990516725,0.05249832834063761,0.27446136660105525,0.2676887183903326,-0.0030221851589062876,0.01888655998753963,0.18366744522611195,0.2126844689517307
7,0.25925925925925924,EmoBank,0.06743475975446334,0.04607864511573179,0.2833784197708367,0.25889054623237445,0.004606268800274593,0.010226056680262108,0.19401979146456586,0.20317944916941708
8,0.2962962962962963,EmoBank,0.07219718230168726,0.07957389526535374,0.2930299574872736,0.30943442005970895,0.018983357807171197,0.013508775991503574,0.2130340849109595,0.2091628548786824
9,0.3333333333333333,EmoBank,0.0796141870986743,0.09609511591594189,0.30103080500523266,0.3218106199325142,0.029603295821737707,0.01983700893725926,0.22770099824068074,0.2197845675204412
10,0.37037037037037035,EmoBank,0.07718111577504749,0.09509463666210993,0.29876139486516656,0.327098200918077,0.03915841245604745,0.037161166933439294,0.247041305935346,0.24455849958429277
11,0.4074074074074074,EmoBank,0.08776449062229497,0.10271076762515285,0.31290005053754005,0.3334111767742276,0.023562586721142864,0.020735656698981142,0.2263539903871941,0.2206199387249177
12,0.4444444444444444,EmoBank,0.09805259447169501,0.10245069099599513,0.3290682297684782,0.33649886958520775,0.035494751926123835,0.04573002327058784,0.244874640097571,0.2578054318111675
13,0.48148148148148145,EmoBank,0.2373747730938749,0.2517338456504338,0.49007207801042757,0.5035611166188333,0.03864090355632466,0.06821508250312569,0.2559666798186016,0.29138731942327606
14,0.5185185185185185,EmoBank,0.17927958449896608,0.19145200272255913,0.4291549625052958,0.44267152149476013,0.049895598372809435,0.07724219048707748,0.2685949801433329,0.3049467570713607
15,0.5555555555555556,EmoBank,0.1628070987061725,0.19110986821862774,0.41024234933126996,0.4435419824830353,0.04870037717808495,0.07400868210435474,0.26450016889850453,0.30167717236809266
16,0.5925925925925926,EmoBank,0.3086706671812114,0.299217307411654,0.5581968420942225,0.549169423717217,0.09667777211806072,0.10959322503771174,0.332958073878067,0.35010152877122724
17,0.6296296296296297,EmoBank,0.3601467102490511,0.33469894912282183,0.6014670203837259,0.5799780924560981,0.1038302719598394,0.10705541979425992,0.3421424015225422,0.3470601653523195
18,0.6666666666666666,EmoBank,0.3610268290186618,0.3354126217202368,0.6023854417981587,0.5804935067509402,0.09959278687362705,0.09256401501828926,0.33475361207129783,0.3287649339145519
19,0.7037037037037037,EmoBank,0.34423521661649237,0.3292849175501491,0.5886671534607775,0.5760503401855169,0.10125806815972782,0.09438463519746532,0.338105743848158,0.33099159083481816
20,0.7407407407407407,EmoBank,0.33864645930580417,0.3349169617261406,0.5841606332987791,0.5808862189231437,0.09834907453299213,0.10154190469527791,0.33597766361773895,0.33860395171344243
21,0.7777777777777778,EmoBank,0.362544019320155,0.38031275459303904,0.604646737403301,0.6176790973933349,0.11186442134809882,0.1191260966882941,0.3529747719729607,0.36166356819639867
22,0.8148148148148148,EmoBank,0.3784475146678349,0.39106733518877834,0.6165767354052323,0.6261019760888522,0.12133133155554898,0.10973784261434472,0.36277455919454143,0.3515190697658249
23,0.8518518518518519,EmoBank,0.3782457206527057,0.39023648766115715,0.6160726569518591,0.6252207604468161,0.12950552933339898,0.12246567900193517,0.3712558391138916,0.3638365930275768
24,0.8888888888888888,EmoBank,0.3757128417903196,0.37983650894340326,0.6134364826974424,0.6168642092810037,0.1298690431539824,0.11435134431845584,0.3690166404628566,0.35196592910400565
25,0.9259259259259259,EmoBank,0.36967796083293225,0.38094005628451444,0.6085677152219869,0.6176129640427244,0.12008836439155957,0.12215808835164643,0.35583833937820863,0.36024805650420433
26,0.9629629629629629,EmoBank,0.3749284706944501,0.3771833433054025,0.61235717672766,0.6141715208730509,0.110792511275143,0.12321999094877112,0.34026989264114593,0.35591209217748504
27,1.0,EmoBank,0.30195147678039136,0.32974544526834093,0.5495796595649439,0.5742548498240537,0.07555812605581691,0.08966325810427034,0.2907305856543065,0.3130003325883517
