layer,relative_depth,dataset,target,reader_balanced_acc,self_balanced_acc,reader_f1_macro,self_f1_macro,reader_roc_auc,self_roc_auc
0,0.0,AIPsy,clinical_vs_matched_neutral,0.8229166666666667,0.8515625,0.8226809724297162,0.851392179893677,0.9246148003472222,0.9241807725694444
1,0.037037037037037035,AIPsy,clinical_vs_matched_neutral,0.8307291666666667,0.84375,0.8307004632675625,0.8436439642769891,0.9193250868055556,0.924343532986111
2,0.07407407407407407,AIPsy,clinical_vs_matched_neutral,0.8411458333333333,0.8489583333333333,0.8410153731292632,0.8488558321344228,0.937472873263889,0.9367133246527778
3,0.1111111111111111,AIPsy,clinical_vs_matched_neutral,0.8515625,0.8619791666666666,0.8514809160305343,0.8619033078880407,0.9325086805555556,0.9345974392361112
4,0.14814814814814814,AIPsy,clinical_vs_matched_neutral,0.8489583333333333,0.8541666666666667,0.8489419424850786,0.8540676999918564,0.9329969618055555,0.933837890625
5,0.18518518518518517,AIPsy,clinical_vs_matched_neutral,0.84375,0.8151041666666666,0.843682153712549,0.8150025445292621,0.9327256944444444,0.923366970486111
6,0.2222222222222222,AIPsy,clinical_vs_matched_neutral,0.8489583333333333,0.8489583333333333,0.8489419424850786,0.8489419424850786,0.9331325954861112,0.9324273003472222
7,0.25925925925925924,AIPsy,clinical_vs_matched_neutral,0.8567708333333334,0.8411458333333333,0.8566921119592876,0.8409635609388473,0.9390462239583334,0.9351399739583333
8,0.2962962962962963,AIPsy,clinical_vs_matched_neutral,0.8567708333333334,0.8619791666666666,0.8565519489781364,0.8619033078880407,0.9384223090277778,0.9369845920138888
9,0.3333333333333333,AIPsy,clinical_vs_matched_neutral,0.8541666666666667,0.8255208333333333,0.8540676999918564,0.8253775409780433,0.9291178385416666,0.9293077256944444
10,0.37037037037037035,AIPsy,clinical_vs_matched_neutral,0.875,0.8697916666666667,0.8748778103616813,0.8697351280937907,0.9497884114583334,0.9538031684027778
11,0.4074074074074074,AIPsy,clinical_vs_matched_neutral,0.8671875,0.8854166666666667,0.8671145038167939,0.8852641586309928,0.9515787760416667,0.9586588541666666
12,0.4444444444444444,AIPsy,clinical_vs_matched_neutral,0.8723958333333333,0.8958333333333333,0.8722910374317032,0.8957881024750325,0.9593912760416666,0.9637586805555556
13,0.48148148148148145,AIPsy,clinical_vs_matched_neutral,0.8984375,0.90625,0.8984313007385705,0.9061863785661934,0.9710015190972223,0.9720594618055555
14,0.5185185185185185,AIPsy,clinical_vs_matched_neutral,0.890625,0.9036458333333333,0.8905775075987843,0.9036451798853887,0.9684244791666667,0.9703233506944445
15,0.5555555555555556,AIPsy,clinical_vs_matched_neutral,0.9010416666666667,0.9140625,0.9010389821772509,0.9140619171950765,0.971435546875,0.9747992621527778
16,0.5925925925925926,AIPsy,clinical_vs_matched_neutral,0.921875,0.9296875,0.9218559218559219,0.9296755770496028,0.9786512586805556,0.9794379340277778
17,0.6296296296296297,AIPsy,clinical_vs_matched_neutral,0.921875,0.9270833333333333,0.9218665219750407,0.927075420510038,0.9780680338541667,0.9783528645833333
18,0.6666666666666666,AIPsy,clinical_vs_matched_neutral,0.9296875,0.9192708333333333,0.9296832082036257,0.9192571440199144,0.9777560763888888,0.9754774305555556
19,0.7037037037037037,AIPsy,clinical_vs_matched_neutral,0.921875,0.9166666666666667,0.9218559218559219,0.9166576234400434,0.9752332899305556,0.9764811197916667
20,0.7407407407407407,AIPsy,clinical_vs_matched_neutral,0.8958333333333333,0.9270833333333333,0.8958220293000543,0.927075420510038,0.9728190104166666,0.9721137152777778
21,0.7777777777777778,AIPsy,clinical_vs_matched_neutral,0.8958333333333333,0.9244791666666667,0.8958220293000543,0.9244663605347587,0.9681803385416666,0.972629123263889
22,0.8148148148148148,AIPsy,clinical_vs_matched_neutral,0.8932291666666666,0.9166666666666667,0.8931704834605598,0.9166304819800261,0.96875,0.9751790364583334
23,0.8518518518518519,AIPsy,clinical_vs_matched_neutral,0.8932291666666667,0.9140625,0.8931414802999966,0.9140152671755726,0.9730360243055556,0.9732259114583334
24,0.8888888888888888,AIPsy,clinical_vs_matched_neutral,0.8958333333333333,0.9166666666666666,0.8958220293000543,0.9166463166463166,0.9714762369791667,0.9689127604166666
25,0.9259259259259259,AIPsy,clinical_vs_matched_neutral,0.8880208333333333,0.9088541666666667,0.8880200739208572,0.9088535485402326,0.9688856336805555,0.968044704861111
26,0.9629629629629629,AIPsy,clinical_vs_matched_neutral,0.8984375,0.8958333333333334,0.898436811230545,0.8958078958078959,0.9691569010416666,0.9698893229166666
27,1.0,AIPsy,clinical_vs_matched_neutral,0.9088541666666667,0.9010416666666667,0.9088535485402326,0.9010389821772509,0.9722222222222222,0.9683973524305556
