layer,relative_depth,dataset,target,reader_balanced_acc,self_balanced_acc,reader_f1_macro,self_f1_macro,reader_roc_auc,self_roc_auc
0,0.0,AIPsy,emotion_category_secondary,0.421875,0.4166666666666667,0.42253083627607274,0.4169786222777883,0.8002852182539683,0.7964099702380952
1,0.037037037037037035,AIPsy,emotion_category_secondary,0.45833333333333337,0.453125,0.4551001415725135,0.4515651155258684,0.8221106150793651,0.8220176091269842
2,0.07407407407407407,AIPsy,emotion_category_secondary,0.46354166666666663,0.46875,0.4628099721173604,0.4669832270712787,0.8234126984126984,0.8336743551587302
3,0.1111111111111111,AIPsy,emotion_category_secondary,0.5208333333333333,0.53125,0.5189988721287234,0.5314516712271767,0.8602120535714286,0.8665054563492064
4,0.14814814814814814,AIPsy,emotion_category_secondary,0.5260416666666667,0.546875,0.5254465856109886,0.5478300635520832,0.8510974702380951,0.8545076884920635
5,0.18518518518518517,AIPsy,emotion_category_secondary,0.5677083333333333,0.546875,0.5684597897129866,0.5488511125256978,0.8606770833333334,0.8556237599206349
6,0.2222222222222222,AIPsy,emotion_category_secondary,0.515625,0.5052083333333333,0.5180977406310265,0.5094857445102288,0.8596850198412698,0.8561197916666667
7,0.25925925925925924,AIPsy,emotion_category_secondary,0.5260416666666666,0.5416666666666666,0.5296026100668103,0.5447589486142984,0.8698226686507936,0.8719618055555556
8,0.2962962962962963,AIPsy,emotion_category_secondary,0.5104166666666666,0.578125,0.5107800965932665,0.5760142613750384,0.8702256944444444,0.8721168154761905
9,0.3333333333333333,AIPsy,emotion_category_secondary,0.5260416666666667,0.6145833333333334,0.5247990950321603,0.6145493980686777,0.8699156746031746,0.8820064484126984
10,0.37037037037037035,AIPsy,emotion_category_secondary,0.5416666666666667,0.5572916666666666,0.5415205580117882,0.5588348125716347,0.8713417658730158,0.8799603174603174
11,0.4074074074074074,AIPsy,emotion_category_secondary,0.578125,0.5572916666666666,0.5783660389432161,0.5551424571805007,0.8832775297619048,0.8872147817460316
12,0.4444444444444444,AIPsy,emotion_category_secondary,0.5572916666666667,0.5833333333333333,0.5574485877918678,0.5848219588736923,0.875,0.8812624007936507
13,0.48148148148148145,AIPsy,emotion_category_secondary,0.6041666666666667,0.6458333333333333,0.6027885654279959,0.6463369704829331,0.8979104662698413,0.9103112599206349
14,0.5185185185185185,AIPsy,emotion_category_secondary,0.59375,0.6302083333333334,0.5910990121571662,0.631397826629881,0.8975384424603174,0.9082961309523809
15,0.5555555555555556,AIPsy,emotion_category_secondary,0.59375,0.65625,0.5936183782023448,0.6587697627973128,0.9030257936507936,0.9185887896825398
16,0.5925925925925926,AIPsy,emotion_category_secondary,0.5729166666666666,0.6145833333333333,0.572100715900108,0.6126603598815176,0.9012896825396826,0.9045758928571428
17,0.6296296296296297,AIPsy,emotion_category_secondary,0.5729166666666667,0.5833333333333333,0.5723097595789286,0.5817210469005211,0.8919890873015873,0.9015997023809523
18,0.6666666666666666,AIPsy,emotion_category_secondary,0.5729166666666666,0.5625,0.570886197074303,0.5620549565891704,0.8954923115079365,0.8913380456349207
19,0.7037037037037037,AIPsy,emotion_category_secondary,0.5677083333333333,0.59375,0.5695569940449753,0.5942053806508015,0.8894159226190476,0.8932601686507937
20,0.7407407407407407,AIPsy,emotion_category_secondary,0.5833333333333334,0.609375,0.5809247970553582,0.6062720329701135,0.8918650793650794,0.8903769841269842
21,0.7777777777777778,AIPsy,emotion_category_secondary,0.5677083333333333,0.6145833333333333,0.5671270037825785,0.6103261170528405,0.8901909722222222,0.8903149801587301
22,0.8148148148148148,AIPsy,emotion_category_secondary,0.5572916666666666,0.6041666666666666,0.5569644632741021,0.6006023242630385,0.8840215773809524,0.882781498015873
23,0.8518518518518519,AIPsy,emotion_category_secondary,0.6041666666666667,0.5885416666666666,0.6028668363737725,0.5872698132203462,0.8900049603174603,0.880859375
24,0.8888888888888888,AIPsy,emotion_category_secondary,0.5729166666666667,0.5885416666666666,0.5696227081760041,0.5869599924275888,0.8868427579365079,0.8837425595238095
25,0.9259259259259259,AIPsy,emotion_category_secondary,0.5677083333333333,0.5572916666666667,0.5665803904758848,0.5566262324036265,0.876953125,0.8771391369047619
26,0.9629629629629629,AIPsy,emotion_category_secondary,0.5677083333333333,0.5416666666666667,0.5665718627876682,0.5377510169061603,0.8714037698412699,0.8805493551587301
27,1.0,AIPsy,emotion_category_secondary,0.45833333333333337,0.515625,0.4521778550224949,0.5121845655606416,0.853453621031746,0.8705977182539683
