layer,relative_depth,dataset,target,reader_spearman_rho,self_spearman_rho,reader_pearson_r,self_pearson_r,reader_r2,self_r2
0,0.0,AIPsy,intensity_none_moderate_peak,0.7216509709348727,0.7097837306983481,0.7182571017122191,0.7148312012279242,0.4923802593369949,0.48988294938132915
1,0.037037037037037035,AIPsy,intensity_none_moderate_peak,0.7668692483878375,0.7484545652621959,0.7628776050525913,0.7481621809016881,0.5783848656922017,0.5537672446182589
2,0.07407407407407407,AIPsy,intensity_none_moderate_peak,0.7711660077838207,0.7801687417563565,0.7651377159405042,0.7760604450439115,0.5806021634140708,0.597198761897372
3,0.1111111111111111,AIPsy,intensity_none_moderate_peak,0.808609196805959,0.832957500049863,0.8021646363083061,0.8244602558126233,0.6401266826482008,0.678386699038231
4,0.14814814814814814,AIPsy,intensity_none_moderate_peak,0.8352081835429971,0.8440063099252482,0.8214530885325946,0.8317125610959798,0.6720777348021668,0.6899293160477056
5,0.18518518518518517,AIPsy,intensity_none_moderate_peak,0.799401855243138,0.8073815512642496,0.792241646006501,0.8065716013048436,0.6144431995978925,0.6439357857404593
6,0.2222222222222222,AIPsy,intensity_none_moderate_peak,0.8165888928270705,0.8345943607721424,0.8042223520068257,0.826741195904642,0.6348080413532726,0.6775681640409228
7,0.25925925925925924,AIPsy,intensity_none_moderate_peak,0.8397095505292651,0.8564873729326277,0.8263602885143718,0.8445520608306516,0.6734017907854084,0.7096716399063535
8,0.2962962962962963,AIPsy,intensity_none_moderate_peak,0.8409371960709746,0.857715018474337,0.824538684909343,0.8416871175699727,0.6702483156791021,0.7049706380615575
9,0.3333333333333333,AIPsy,intensity_none_moderate_peak,0.8313206393275838,0.8409371960709746,0.808653565951466,0.8222729319262585,0.6392060010224347,0.666388220221793
10,0.37037037037037035,AIPsy,intensity_none_moderate_peak,0.8616025626897504,0.8654901069051637,0.8389232797885874,0.8454892306847486,0.6943526617647021,0.7046942627259909
11,0.4074074074074074,AIPsy,intensity_none_moderate_peak,0.8568965881131975,0.8640578537731693,0.8408622907668833,0.8475341576234018,0.6973038731871484,0.7094395559000322
12,0.4444444444444444,AIPsy,intensity_none_moderate_peak,0.855668942571488,0.8601703095577561,0.8377744948419182,0.8388631425085431,0.6938660742479764,0.6907489719635584
13,0.48148148148148145,AIPsy,intensity_none_moderate_peak,0.8761297015999788,0.8830863596696658,0.8606085191424979,0.8704167324052536,0.7327051010224459,0.7525386182717159
14,0.5185185185185185,AIPsy,intensity_none_moderate_peak,0.8656947144954485,0.8804264609959619,0.845677238351048,0.8643715558697578,0.7021089355081455,0.7405069571835974
15,0.5555555555555556,AIPsy,intensity_none_moderate_peak,0.8728559801554202,0.889224587378213,0.8548316384277419,0.8702285800482445,0.7232544136383876,0.7532739761964261
16,0.5925925925925926,AIPsy,intensity_none_moderate_peak,0.8955674226770451,0.8920890936422017,0.8862549194138438,0.8858192227544123,0.7823334464636349,0.7836020283613306
17,0.6296296296296297,AIPsy,intensity_none_moderate_peak,0.8980227137604642,0.8937259543644811,0.8919903039668526,0.889525216552306,0.7939116466483651,0.7887656576484593
18,0.6666666666666666,AIPsy,intensity_none_moderate_peak,0.8937259543644811,0.8949535999061904,0.8913076069829576,0.8884597911535455,0.7922927259608018,0.7881591454236982
19,0.7037037037037037,AIPsy,intensity_none_moderate_peak,0.8863600811142242,0.8908614481004923,0.8877058235657622,0.8835880198437782,0.7857600290668858,0.779362151462316
20,0.7407407407407407,AIPsy,intensity_none_moderate_peak,0.8841093976210903,0.8894291949684979,0.8860521620939925,0.8830355817415549,0.7829166694613849,0.7773765487285157
21,0.7777777777777778,AIPsy,intensity_none_moderate_peak,0.8849278279822298,0.8920890936422017,0.8817003239757157,0.8870770680911921,0.7732402519061679,0.7844161030176521
22,0.8148148148148148,AIPsy,intensity_none_moderate_peak,0.8918844860519168,0.8990457517118887,0.8872936499705308,0.890990123285953,0.7837036451896346,0.7903202838477151
23,0.8518518518518519,AIPsy,intensity_none_moderate_peak,0.8832909672599506,0.889224587378213,0.8768335250321657,0.8819452837655815,0.764725493801372,0.7733182915573451
24,0.8888888888888888,AIPsy,intensity_none_moderate_peak,0.8771527395514033,0.8828817520793808,0.8702742003007939,0.8748361591655947,0.7527252093637539,0.7596271003961754
25,0.9259259259259259,AIPsy,intensity_none_moderate_peak,0.8753112712388391,0.8775619547319732,0.8701827285581707,0.8677580924446067,0.7540653721974978,0.7468834993427927
26,0.9629629629629629,AIPsy,intensity_none_moderate_peak,0.868968435940007,0.8661039296760182,0.8578768718180173,0.8603366366627561,0.7332975258135765,0.737629624111487
27,1.0,AIPsy,intensity_none_moderate_peak,0.8687638283497221,0.862216385460605,0.8490449038048515,0.8486711269532596,0.720376316414109,0.7198794237305346
