pair_id,split,paraphrase_transformation_method,paraphrase_quality_status,reversal_transformation_method,reversal_quality_status
P_rage-d1-v1,train,rule_based_substitution,nonfallback_valid,antonym_negation_switch,nonfallback_valid
P_rage-d1-v2,train,rule_based_substitution,nonfallback_valid,identity_fallback,fallback_excluded_from_primary
P_rage-d1-v3,test,rule_based_substitution,nonfallback_valid,antonym_negation_switch,nonfallback_valid
P_rage-d1-v4,train,rule_based_substitution,nonfallback_valid,identity_fallback,fallback_excluded_from_primary
P_rage-d2-v1,train,rule_based_substitution,nonfallback_valid,identity_fallback,fallback_excluded_from_primary
P_rage-d2-v2,train,rule_based_substitution,nonfallback_valid,identity_fallback,fallback_excluded_from_primary
P_rage-d2-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_rage-d2-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_rage-d3-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_rage-d3-v2,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_rage-d3-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_rage-d3-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_grief-d1-v1,train,rule_based_substitution,nonfallback_valid,identity_fallback,fallback_excluded_from_primary
P_grief-d1-v2,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_grief-d1-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_grief-d1-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_grief-d2-v1,test,rule_based_substitution,nonfallback_valid,identity_fallback,fallback_excluded_from_primary
P_grief-d2-v2,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_grief-d2-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_grief-d2-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_grief-d3-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_grief-d3-v2,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_grief-d3-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_grief-d3-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_terror-d1-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_terror-d1-v2,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_terror-d1-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_terror-d1-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_terror-d2-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_terror-d2-v2,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_terror-d2-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_terror-d2-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_terror-d3-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_terror-d3-v2,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_terror-d3-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_terror-d3-v4,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_ecstasy-d1-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_ecstasy-d1-v2,test,identity_fallback,fallback_excluded_from_primary,antonym_negation_switch,nonfallback_valid
P_ecstasy-d1-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_ecstasy-d1-v4,train,identity_fallback,fallback_excluded_from_primary,antonym_negation_switch,nonfallback_valid
P_ecstasy-d2-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_ecstasy-d2-v2,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_ecstasy-d2-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_ecstasy-d2-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_ecstasy-d3-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_ecstasy-d3-v2,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_ecstasy-d3-v3,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_ecstasy-d3-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_loathing-d1-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_loathing-d1-v2,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_loathing-d1-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_loathing-d1-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_loathing-d2-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_loathing-d2-v2,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_loathing-d2-v3,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_loathing-d2-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_loathing-d3-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_loathing-d3-v2,test,identity_fallback,fallback_excluded_from_primary,antonym_negation_switch,nonfallback_valid
P_loathing-d3-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_loathing-d3-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_amazement-d1-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_amazement-d1-v2,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_amazement-d1-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_amazement-d1-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_amazement-d2-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_amazement-d2-v2,train,identity_fallback,fallback_excluded_from_primary,antonym_negation_switch,nonfallback_valid
P_amazement-d2-v3,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_amazement-d2-v4,test,identity_fallback,fallback_excluded_from_primary,antonym_negation_switch,nonfallback_valid
P_amazement-d3-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_amazement-d3-v2,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_amazement-d3-v3,test,identity_fallback,fallback_excluded_from_primary,antonym_negation_switch,nonfallback_valid
P_amazement-d3-v4,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_admiration-d1-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_admiration-d1-v2,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_admiration-d1-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_admiration-d1-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_admiration-d2-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_admiration-d2-v2,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_admiration-d2-v3,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_admiration-d2-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_admiration-d3-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_admiration-d3-v2,train,identity_fallback,fallback_excluded_from_primary,antonym_negation_switch,nonfallback_valid
P_admiration-d3-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_admiration-d3-v4,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_vigilance-d1-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_vigilance-d1-v2,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_vigilance-d1-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_vigilance-d1-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_vigilance-d2-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_vigilance-d2-v2,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_vigilance-d2-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_vigilance-d2-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_vigilance-d3-v1,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_vigilance-d3-v2,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_vigilance-d3-v3,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_vigilance-d3-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_rage-d4-v1,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_rage-d4-v2,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_rage-d4-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_rage-d4-v4,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_rage-d5-v1,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_rage-d5-v2,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_rage-d5-v3,train,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_rage-d5-v4,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_rage-d6-v1,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
P_rage-d6-v2,test,identity_fallback,fallback_excluded_from_primary,identity_fallback,fallback_excluded_from_primary
