layer,dataset,condition_auc_reader,condition_auc_self,condition_bal_acc_reader,condition_bal_acc_self,intensity_spearman_reader,intensity_spearman_self
0,AIPsy-Affect,0.5221093750000001,0.5221093750000001,0.5375,0.5375,0.06744659896587989,0.06744659896587989
1,AIPsy-Affect,0.7019444444444444,0.7053385416666667,0.6541666666666667,0.6604166666666667,0.18564565750692766,0.18610572794978994
2,AIPsy-Affect,0.7204166666666667,0.7215625000000001,0.6729166666666666,0.6645833333333333,0.17328162604560343,0.17943615329068574
3,AIPsy-Affect,0.6967621527777778,0.6980208333333332,0.65,0.6458333333333333,0.2257904205526596,0.2307817508289957
4,AIPsy-Affect,0.7067187500000001,0.7166493055555556,0.6375,0.6625,0.2741499004995615,0.2784381042500138
5,AIPsy-Affect,0.7515190972222222,0.7650347222222224,0.6979166666666666,0.7020833333333334,0.32142141512246214,0.32525533547964786
6,AIPsy-Affect,0.7832291666666666,0.78640625,0.7145833333333333,0.7125,0.3754637777723926,0.3758399359961165
7,AIPsy-Affect,0.7659895833333334,0.76640625,0.69375,0.7104166666666667,0.3821825423530607,0.3807415670037184
8,AIPsy-Affect,0.7915798611111111,0.7975868055555555,0.7166666666666666,0.7208333333333333,0.47614976016408456,0.479824536657387
9,AIPsy-Affect,0.8097048611111112,0.8167534722222223,0.7437499999999999,0.7416666666666667,0.46513989830816627,0.46611212264025254
10,AIPsy-Affect,0.825017361111111,0.8338020833333333,0.7270833333333333,0.7395833333333334,0.4721538024182177,0.4723245203812924
11,AIPsy-Affect,0.8240798611111111,0.83390625,0.74375,0.7604166666666666,0.46953516247613986,0.47500103081932765
12,AIPsy-Affect,0.8625520833333333,0.8670833333333333,0.76875,0.7666666666666666,0.5213321498829185,0.5251284544177318
13,AIPsy-Affect,0.8328819444444445,0.8477951388888889,0.7458333333333333,0.7708333333333334,0.4751486005840194,0.4824981535706245
14,AIPsy-Affect,0.8633854166666667,0.8752430555555555,0.78125,0.79375,0.5606811936092346,0.5622928869216515
15,AIPsy-Affect,0.8541145833333333,0.8543576388888888,0.7833333333333333,0.8,0.5538264333630664,0.5563640546108035
16,AIPsy-Affect,0.8588368055555555,0.8584895833333334,0.7833333333333333,0.7729166666666667,0.5433576606443508,0.54902607572339
17,AIPsy-Affect,0.8426302083333334,0.8630555555555556,0.78125,0.79375,0.551638928615872,0.5483055880487189
18,AIPsy-Affect,0.8239583333333333,0.8430034722222223,0.75625,0.7604166666666666,0.5315318247954316,0.5331435325703554
19,AIPsy-Affect,0.81234375,0.8152951388888888,0.73125,0.7395833333333334,0.5311932823940799,0.5291909632339499
20,AIPsy-Affect,0.8030034722222221,0.813359375,0.7354166666666666,0.7479166666666667,0.5202152493109384,0.5221510174007175
21,AIPsy-Affect,0.7835416666666666,0.7880555555555555,0.7124999999999999,0.7124999999999999,0.5100879125183724,0.5106695110027455
22,AIPsy-Affect,0.7902170138888889,0.7942534722222221,0.7145833333333333,0.7145833333333333,0.5145121119343248,0.5144947507855375
23,AIPsy-Affect,0.7898958333333332,0.7890451388888888,0.71875,0.7104166666666667,0.5163986901025399,0.520901014688035
24,AIPsy-Affect,0.7925694444444444,0.7985590277777778,0.7125,0.71875,0.5066475115336977,0.5135022717798661
25,AIPsy-Affect,0.8173003472222222,0.8183680555555555,0.7416666666666667,0.7250000000000001,0.5254409550959025,0.5306550867816751
26,AIPsy-Affect,0.8160069444444444,0.818767361111111,0.7562500000000001,0.7395833333333333,0.5431290721853186,0.5489363764546558
