layer,dataset,condition_auc_reader,condition_auc_self,condition_bal_acc_reader,condition_bal_acc_self,intensity_spearman_reader,intensity_spearman_self
0,AIPsy-Affect,0.4283159722222223,0.4283159722222223,0.46458333333333335,0.46458333333333335,-0.06435723787580847,-0.06435723787580847
1,AIPsy-Affect,0.8010069444444444,0.8021875,0.7583333333333333,0.74375,-0.0510446709593309,-0.04951978339085023
2,AIPsy-Affect,0.8053645833333333,0.8088541666666667,0.75625,0.7604166666666667,-0.03541674352600251,-0.03255794102570099
3,AIPsy-Affect,0.7946006944444445,0.7904687499999999,0.7395833333333333,0.7291666666666667,-0.012980352243271834,-0.012879078875346173
4,AIPsy-Affect,0.7678298611111112,0.7697916666666667,0.7291666666666666,0.73125,-0.020176548415589496,-0.017355361737660377
5,AIPsy-Affect,0.7706770833333334,0.7664756944444444,0.7083333333333333,0.7208333333333333,-0.03645841245323787,-0.03499139538071473
6,AIPsy-Affect,0.8345138888888889,0.8317881944444444,0.775,0.7770833333333333,-0.03841154169180419,-0.03841732874139994
7,AIPsy-Affect,0.7940104166666667,0.7959375,0.7583333333333333,0.7395833333333333,-0.048721170546636446,-0.052103701035353514
8,AIPsy-Affect,0.813142361111111,0.8113975694444444,0.7541666666666667,0.74375,-0.046334012588388734,-0.037187580702302624
9,AIPsy-Affect,0.7961458333333333,0.7774826388888888,0.7541666666666667,0.7270833333333333,-0.013313107595027575,-0.010486133867502702
10,AIPsy-Affect,0.819826388888889,0.8206076388888889,0.7708333333333333,0.7770833333333333,-0.004071189390611562,-0.00618924954265681
11,AIPsy-Affect,0.8076996527777777,0.8153819444444443,0.7458333333333333,0.7479166666666667,-0.009181154183660617,-0.014629661378061164
12,AIPsy-Affect,0.8267708333333332,0.82125,0.7520833333333333,0.7520833333333333,-0.01774020053577789,-0.020092636196451092
13,AIPsy-Affect,0.7995833333333333,0.8113715277777778,0.7479166666666666,0.7729166666666667,-0.021753519430431932,-0.025153411067936254
14,AIPsy-Affect,0.8347048611111112,0.8324999999999999,0.7708333333333333,0.78125,0.010046318098225546,0.0013859983781826142
15,AIPsy-Affect,0.7966666666666667,0.8023524305555556,0.7125,0.7791666666666667,0.01915802768673714,0.023391254466029757
16,AIPsy-Affect,0.8140277777777777,0.8092708333333334,0.73125,0.7625,0.030662682283092196,0.021600162616144503
17,AIPsy-Affect,0.8140364583333333,0.8160763888888889,0.7395833333333333,0.7520833333333333,0.07077561655604749,0.07460664338843534
18,AIPsy-Affect,0.8029253472222222,0.818064236111111,0.75,0.7666666666666666,0.06720211343067059,0.07388904923856207
19,AIPsy-Affect,0.7840277777777778,0.793359375,0.7291666666666666,0.7479166666666667,0.06435199150476273,0.06337108659828275
20,AIPsy-Affect,0.7814756944444445,0.78390625,0.7291666666666667,0.7416666666666667,0.056076510582837295,0.06771426731989466
21,AIPsy-Affect,0.7729774305555556,0.7675520833333334,0.73125,0.7354166666666666,0.029962449282006202,0.04723968585012393
22,AIPsy-Affect,0.8015104166666669,0.7772395833333334,0.7437499999999999,0.7395833333333333,0.02157990794255937,0.031776689330274464
23,AIPsy-Affect,0.7982031250000001,0.7827517361111112,0.7395833333333333,0.7395833333333333,0.020324118180281174,0.04287625045492689
24,AIPsy-Affect,0.800390625,0.7855295138888889,0.7458333333333333,0.7375,0.025677139056351814,0.0508392306986817
25,AIPsy-Affect,0.8052430555555555,0.7959461805555557,0.7520833333333333,0.73125,0.02666093748762966,0.03255794102570099
26,AIPsy-Affect,0.8217621527777778,0.8302083333333332,0.7625,0.7666666666666666,0.016009872706648026,0.033975768176660245
