r2_within_r,r2_within_s,r2_cross_r_to_s,r2_cross_s_to_r,direct_transfer_score,rsa_correlation,r2_aligned_transfer,geometry_pattern,layer,target
-2.120525977034049e-13,-2.120525977034049e-13,-2.120525977034049e-13,-2.120525977034049e-13,0.0,0.0,-2.120525977034049e-13,Directly non-transferable / poorly alignable representation,0,Valence_human
0.973674562838344,0.9727542548193895,-0.09101623577130713,0.05042689978534454,0.0,0.9884682271856158,0.9541098881334007,Alignable Geometry,1,Valence_human
0.9952702137292752,0.9949344940758974,0.3472515833532107,0.4235032252841461,0.3853774043186784,0.9103196478400432,0.9717264611588942,Shared Geometry,2,Valence_human
0.9996706465401038,0.9996963087475096,0.5469887803870177,0.5336230728598285,0.5403059266234231,0.9488067732927028,0.9712795112065067,Shared Geometry,3,Valence_human
0.9999508967119928,0.9999580360725786,0.33644581519265493,0.7109691298893022,0.5237074725409785,0.9691633678893513,0.9739466206224828,Shared Geometry,4,Valence_human
0.9999748132854278,0.9999782840099627,0.7580744374229501,0.8261137615541032,0.7920940994885266,0.9795935894141323,0.9725679276239096,Shared Geometry,5,Valence_human
0.9999622251334147,0.999969063568519,0.7558234217960587,0.5059624851524026,0.6308929534742307,0.9587946475524248,0.9243383699067007,Shared Geometry,6,Valence_human
0.999972756211019,0.9999790003491263,0.6650938747833703,0.6322467735484667,0.6486703241659185,0.9616642137744998,0.933722024816618,Shared Geometry,7,Valence_human
0.9999667766172057,0.9999770118971082,0.32747089212098557,0.571306915949101,0.4493889040350433,0.9478400200199025,0.9198709113497026,Shared Geometry,8,Valence_human
0.9999717530395836,0.9999795176963889,0.2100925666715744,0.45231460640434495,0.33120358653795967,0.939361026584551,0.8719727591385853,Shared Geometry,9,Valence_human
0.9999702980239966,0.999982876082994,0.23682934872487105,0.36904959219833544,0.30293947046160324,0.9404928085997892,0.8171275425561805,Shared Geometry,10,Valence_human
0.9999699572571207,0.9999825333578287,0.33179999260943416,0.43505100116618123,0.3834254968878077,0.9523763345994934,0.8325586060309791,Shared Geometry,11,Valence_human
0.9999715243558498,0.9999799477397148,0.1259546993792955,0.4943381336687219,0.3101464165240087,0.9560263909500305,0.8371242363323688,Shared Geometry,12,Valence_human
0.9999654505961881,0.9999794895088575,0.12718830812738302,0.32824033784377915,0.22771432298558109,0.9506320466330612,0.855625840144957,Alignable Geometry,13,Valence_human
0.9999602377260988,0.9999734966719911,0.3116733905170108,0.4612893752642796,0.3864813828906452,0.9565276287699863,0.8802720688753664,Shared Geometry,14,Valence_human
0.9999581953330613,0.9999668053193431,0.011972049590781353,0.4975140087722145,0.25474302918149794,0.9529671748364669,0.8789017991689686,Alignable Geometry,15,Valence_human
0.9999203707246727,0.9999476893177771,0.29703323774859147,0.43256860465585834,0.3648009212022249,0.9499210779375075,0.8684967837296071,Shared Geometry,16,Valence_human
0.9999171921037756,0.9999453849656947,0.11080326916106331,0.25519623777512734,0.18299975346809533,0.9392831171359269,0.8686742188452826,Alignable Geometry,17,Valence_human
0.9998971765473006,0.9999290868561974,0.21068429692046842,0.38397188104048174,0.2973280889804751,0.9273125026288368,0.8658775206303982,Alignable Geometry,18,Valence_human
0.9998893552184012,0.9999198660575261,0.2228708756122988,0.4248509387193312,0.323860907165815,0.9062748531044211,0.8496290850717794,Shared Geometry,19,Valence_human
0.9998696090419902,0.9999091175273163,0.2989759346186813,0.42754664752726146,0.3632612910729714,0.8824998605186701,0.839132416324816,Shared Geometry,20,Valence_human
0.9998846513886619,0.999910484682567,0.10614040302538408,0.32869340018800863,0.21741690160669636,0.8767820152482275,0.8499329982226886,Alignable Geometry,21,Valence_human
0.9999156915520686,0.9999278559255905,0.24595323653846501,0.39301096523574885,0.31948210088710693,0.8692258003160684,0.8595841028554219,Shared Geometry,22,Valence_human
0.999929037062308,0.9999369257947499,0.31348419238773584,0.12998447432027305,0.22173433335400444,0.8566430230020006,0.8514141519779455,Alignable Geometry,23,Valence_human
0.9999397240167168,0.999949386044031,0.26398181065388193,0.16830107487301238,0.21614144276344716,0.8523287336567131,0.8508625737096727,Alignable Geometry,24,Valence_human
0.9999587595352417,0.9999670136878875,0.5045690679179944,0.469831454137118,0.4872002610275562,0.8486043207888462,0.8611680816074292,Shared Geometry,25,Valence_human
0.9999609322772199,0.9999668923179903,0.4878952570232923,0.4890892649002193,0.4884922609617558,0.8411042472760977,0.8588654066861567,Shared Geometry,26,Valence_human
0.9999724384265442,0.9999742836447837,0.482198271486013,0.43900794388679387,0.46060310768640345,0.8428801865131903,0.8596392353257446,Shared Geometry,27,Valence_human
0.9999712054261347,0.9999750689040308,0.42193602465485935,0.5009991194353647,0.461467572045112,0.8424705876583317,0.860388715119734,Shared Geometry,28,Valence_human
0.9999725266378774,0.9999769135257257,0.5707551106487492,0.5433747193916094,0.5570649150201793,0.8435321861004942,0.8631616788812919,Shared Geometry,29,Valence_human
0.9999714955133195,0.9999759405933678,0.46921425580766407,0.5210451956489692,0.49512972572831665,0.847666599684282,0.8592951360232123,Shared Geometry,30,Valence_human
0.9999728891272555,0.9999764190207222,0.3568302584724159,0.5520994541034794,0.45446485628794764,0.8444690158480194,0.8620196038112022,Shared Geometry,31,Valence_human
0.9999764625471258,0.9999780571712747,0.4235171144921086,0.5276180105739452,0.4755675625330269,0.8456146776924847,0.8665790742797914,Shared Geometry,32,Valence_human
