layer,dataset,condition_auc_reader,condition_auc_self,condition_bal_acc_reader,condition_bal_acc_self,intensity_spearman_reader,intensity_spearman_self
0,AIPsy-Affect,0.5,0.5,0.5,0.5,-0.004910463758239913,-0.004910463758239913
1,AIPsy-Affect,0.9235416666666667,0.9228819444444444,0.8416666666666667,0.8416666666666667,0.7129645101966517,0.7057769945987277
2,AIPsy-Affect,0.92140625,0.9158680555555555,0.8374999999999999,0.8333333333333333,0.7273742636900743,0.7241306223916553
3,AIPsy-Affect,0.9351041666666667,0.9270659722222222,0.85,0.8458333333333333,0.7270704435862972,0.7259969458862853
4,AIPsy-Affect,0.9413020833333333,0.9334548611111111,0.8666666666666667,0.8541666666666667,0.7180744749897008,0.7267000724121692
5,AIPsy-Affect,0.9429687500000001,0.9359722222222222,0.875,0.8520833333333333,0.7219836269916313,0.7223655722649509
6,AIPsy-Affect,0.9358333333333333,0.9292361111111113,0.8541666666666667,0.8479166666666667,0.7400131800071968,0.7227214758150896
7,AIPsy-Affect,0.9337152777777777,0.9344097222222223,0.8708333333333333,0.8645833333333333,0.7248424294919328,0.725913033667147
8,AIPsy-Affect,0.9327083333333334,0.9321354166666667,0.8583333333333334,0.8520833333333333,0.7479009286062067,0.7441306657945743
9,AIPsy-Affect,0.9369965277777778,0.9373090277777778,0.8666666666666667,0.8666666666666667,0.7375855127017787,0.743369668772733
10,AIPsy-Affect,0.9293923611111111,0.9369618055555556,0.8604166666666666,0.83125,0.7337805275925718,0.7377533371400556
11,AIPsy-Affect,0.9318576388888888,0.945,0.85625,0.8583333333333334,0.7521081136623186,0.7749495984167519
12,AIPsy-Affect,0.9438715277777777,0.9492534722222223,0.8625,0.8687499999999999,0.7690959977506487,0.7727042231736001
13,AIPsy-Affect,0.9492361111111112,0.9551128472222221,0.8541666666666666,0.8875,0.7624842935875019,0.768737200675712
14,AIPsy-Affect,0.9689756944444445,0.9678125000000001,0.90625,0.9020833333333333,0.8149323240738027,0.8148947082514304
15,AIPsy-Affect,0.9686111111111111,0.9684201388888889,0.9104166666666667,0.90625,0.805146423207386,0.8106933102449144
16,AIPsy-Affect,0.9731423611111112,0.9690972222222223,0.9104166666666667,0.9125,0.8141105630312059,0.8124323186484378
17,AIPsy-Affect,0.9773611111111111,0.9750520833333334,0.925,0.9208333333333334,0.8300365235187156,0.8257164909954867
18,AIPsy-Affect,0.9736111111111111,0.9750173611111111,0.9166666666666666,0.925,0.8341250740581143,0.8293825869143956
19,AIPsy-Affect,0.9710590277777779,0.9737673611111111,0.9145833333333333,0.9229166666666666,0.8317176614262815,0.8276869813828401
20,AIPsy-Affect,0.9709722222222222,0.9729861111111111,0.8979166666666667,0.91875,0.8327940526510914,0.8257627873922526
21,AIPsy-Affect,0.9696527777777777,0.9705555555555556,0.9104166666666667,0.9083333333333333,0.8262836218558703,0.8184219149800412
22,AIPsy-Affect,0.9672048611111109,0.9697395833333333,0.9041666666666667,0.9104166666666667,0.8290353639386505,0.8178808258428384
23,AIPsy-Affect,0.9669097222222222,0.9721006944444445,0.8916666666666667,0.9145833333333333,0.8278750604947022,0.8187112674598288
24,AIPsy-Affect,0.9660416666666667,0.9701215277777778,0.9041666666666667,0.9041666666666667,0.8210984254180765,0.8194577968576808
25,AIPsy-Affect,0.9617708333333334,0.9644965277777778,0.90625,0.9,0.8192581436466274,0.8194057134113191
26,AIPsy-Affect,0.9608333333333333,0.966111111111111,0.9020833333333333,0.8958333333333333,0.8172442503873056,0.8217321073488114
27,AIPsy-Affect,0.9581597222222222,0.9637152777777778,0.8916666666666667,0.8979166666666667,0.8051174879594073,0.8198165939326175
28,AIPsy-Affect,0.9423090277777778,0.9527083333333334,0.8583333333333334,0.8770833333333333,0.785751126487223,0.8013038222758067
