layer,dataset,condition_auc_reader,condition_auc_self,condition_bal_acc_reader,condition_bal_acc_self,intensity_spearman_reader,intensity_spearman_self
0,AIPsy-Affect,0.5,0.5,0.5,0.5,-0.004910463758239913,-0.004910463758239913
1,AIPsy-Affect,0.9383159722222222,0.9341145833333333,0.8541666666666667,0.8500000000000001,0.6850391023723502,0.6845790319294879
2,AIPsy-Affect,0.9313194444444445,0.9289930555555556,0.8500000000000001,0.8395833333333333,0.6761270459948922,0.6979384359212816
3,AIPsy-Affect,0.9196875,0.9225347222222223,0.8333333333333333,0.8354166666666667,0.6828921069723262,0.6796021692771411
4,AIPsy-Affect,0.9288541666666666,0.932795138888889,0.8458333333333333,0.84375,0.713331987845982,0.710204087539478
5,AIPsy-Affect,0.9302430555555555,0.9330034722222222,0.8354166666666667,0.8520833333333333,0.7172006305007422,0.7376375961481406
6,AIPsy-Affect,0.9277951388888889,0.9305902777777779,0.8479166666666667,0.85625,0.7001722370652419,0.72112714365146
7,AIPsy-Affect,0.9392708333333333,0.9373090277777778,0.8541666666666667,0.8541666666666666,0.7170212319632738,0.7311995034728664
8,AIPsy-Affect,0.9344618055555555,0.9370833333333334,0.8541666666666666,0.8583333333333334,0.7120038599637568,0.7177214649643598
9,AIPsy-Affect,0.9229861111111111,0.9341319444444445,0.85,0.8541666666666667,0.7127590699360026,0.7336821477494441
10,AIPsy-Affect,0.92171875,0.9417013888888889,0.8458333333333333,0.86875,0.7353951144297866,0.7428430472595194
11,AIPsy-Affect,0.9404861111111111,0.9503125,0.8520833333333333,0.8854166666666667,0.7542724702111298,0.7802852581440352
12,AIPsy-Affect,0.9364409722222222,0.9429340277777778,0.8583333333333334,0.8708333333333333,0.7410953582816024,0.7670300210449652
13,AIPsy-Affect,0.9331250000000001,0.9463368055555555,0.8520833333333333,0.8604166666666666,0.7463818280873219,0.7714542204609176
14,AIPsy-Affect,0.9512673611111111,0.9625347222222222,0.8625,0.8895833333333334,0.7830977642475706,0.8020503516736586
15,AIPsy-Affect,0.9567708333333333,0.95984375,0.8708333333333333,0.8854166666666667,0.778890579191459,0.8042233887968635
16,AIPsy-Affect,0.9525520833333333,0.9587326388888889,0.8833333333333333,0.8770833333333333,0.7766307363243178,0.7999467591456028
17,AIPsy-Affect,0.9610590277777777,0.9577083333333334,0.8854166666666667,0.8895833333333334,0.7807742638348762,0.7854964963050098
18,AIPsy-Affect,0.9641493055555556,0.9570659722222222,0.8791666666666667,0.8875,0.7881643261686516,0.78759430178347
19,AIPsy-Affect,0.9594270833333334,0.9570659722222222,0.8833333333333333,0.8916666666666666,0.7881122427222899,0.7851955697260308
20,AIPsy-Affect,0.9538541666666668,0.9535243055555555,0.8687499999999999,0.8666666666666667,0.7758842069264658,0.7781440497936071
21,AIPsy-Affect,0.9541319444444444,0.9567708333333332,0.8729166666666667,0.875,0.7670387016193588,0.7687719229732866
22,AIPsy-Affect,0.9544270833333333,0.9581770833333334,0.8791666666666667,0.8791666666666667,0.7598309313478496,0.7674843044382317
23,AIPsy-Affect,0.9511805555555556,0.9538541666666667,0.8687499999999999,0.875,0.7611851009532555,0.7713124377458217
24,AIPsy-Affect,0.9485243055555556,0.9533854166666668,0.8687499999999999,0.8812500000000001,0.7565670353758456,0.760589034844893
25,AIPsy-Affect,0.9463020833333333,0.9504340277777777,0.8541666666666667,0.88125,0.7528459624857768,0.757932779080443
26,AIPsy-Affect,0.9470833333333333,0.9500173611111111,0.8583333333333334,0.86875,0.7523280215469571,0.7611561657052769
27,AIPsy-Affect,0.9444965277777777,0.9493923611111111,0.8541666666666666,0.8645833333333333,0.7542522155375446,0.7512458432725515
28,AIPsy-Affect,0.9459375,0.9513541666666666,0.8604166666666666,0.8666666666666667,0.764862770971356,0.7512284821237643
