pair_id,task,site_type,outcome
P_rage-d1-v1,Reader,ReaderSite,1.6022915959514021
P_rage-d1-v1,Self,ReaderSite,1.658366796492678
P_rage-d1-v2,Reader,ReaderSite,1.7944718041285435
P_rage-d1-v2,Self,ReaderSite,2.1069065251704027
P_rage-d1-v3,Reader,ReaderSite,0.8257231194767343
P_rage-d1-v3,Self,ReaderSite,0.2728207131419387
P_rage-d1-v4,Reader,ReaderSite,2.6372215112967474
P_rage-d1-v4,Self,ReaderSite,0.6832429381610523
P_rage-d2-v1,Reader,ReaderSite,1.1476088018512813
P_rage-d2-v1,Self,ReaderSite,1.4230580170945002
P_rage-d2-v2,Reader,ReaderSite,1.3925800020520582
P_rage-d2-v2,Self,ReaderSite,1.3733792571527343
P_rage-d2-v3,Reader,ReaderSite,0.4844753583487096
P_rage-d2-v3,Self,ReaderSite,0.3360890474048315
P_rage-d2-v4,Reader,ReaderSite,1.0810543171107838
P_rage-d2-v4,Self,ReaderSite,1.950099584804065
P_rage-d3-v1,Reader,ReaderSite,0.09159080572319
P_rage-d3-v1,Self,ReaderSite,0.7662704703531995
P_rage-d3-v2,Reader,ReaderSite,1.01183361616763
P_rage-d3-v2,Self,ReaderSite,1.8293496020744664
P_rage-d3-v3,Reader,ReaderSite,0.08465419258164397
P_rage-d3-v3,Self,ReaderSite,0.015068765147014496
P_rage-d3-v4,Reader,ReaderSite,1.6654613493324186
P_rage-d3-v4,Self,ReaderSite,1.3770440304828686
P_grief-d1-v1,Reader,ReaderSite,1.3580411691376528
P_grief-d1-v1,Self,ReaderSite,1.3386650560682356
P_grief-d1-v2,Reader,ReaderSite,1.625328034928835
P_grief-d1-v2,Self,ReaderSite,1.5683408631235474
P_grief-d1-v3,Reader,ReaderSite,0.9264281445385865
P_grief-d1-v3,Self,ReaderSite,0.4005904020921003
P_grief-d1-v4,Reader,ReaderSite,0.09256877788407447
P_grief-d1-v4,Self,ReaderSite,0.5803897336051269
P_grief-d2-v1,Reader,ReaderSite,0.8012015865061548
P_grief-d2-v1,Self,ReaderSite,0.7615505380369372
P_grief-d2-v2,Reader,ReaderSite,1.152561449479204
P_grief-d2-v2,Self,ReaderSite,1.2721479827978304
P_grief-d2-v3,Reader,ReaderSite,0.13201168602969648
P_grief-d2-v3,Self,ReaderSite,0.4894736619857518
P_grief-d2-v4,Reader,ReaderSite,0.7515260524025593
P_grief-d2-v4,Self,ReaderSite,0.6579523022631486
P_grief-d3-v1,Reader,ReaderSite,1.2117068335788477
P_grief-d3-v1,Self,ReaderSite,1.5877173908669024
P_grief-d3-v2,Reader,ReaderSite,1.6867713344821018
P_grief-d3-v2,Self,ReaderSite,1.6034374485690086
P_grief-d3-v3,Reader,ReaderSite,0.6109659118079964
P_grief-d3-v3,Self,ReaderSite,1.3436498604951144
P_grief-d3-v4,Reader,ReaderSite,0.2958058992825099
P_grief-d3-v4,Self,ReaderSite,0.25857508699917453
P_terror-d1-v1,Reader,ReaderSite,2.3639098740403583
P_terror-d1-v1,Self,ReaderSite,2.309164171781883
P_terror-d1-v2,Reader,ReaderSite,1.5285248214067817
P_terror-d1-v2,Self,ReaderSite,0.9474285854493076
P_terror-d1-v3,Reader,ReaderSite,0.3686481943231241
P_terror-d1-v3,Self,ReaderSite,0.4934797165492666
P_terror-d1-v4,Reader,ReaderSite,1.5455159584193696
P_terror-d1-v4,Self,ReaderSite,2.0478317055795876
P_terror-d2-v1,Reader,ReaderSite,0.38555137969902686
P_terror-d2-v1,Self,ReaderSite,0.09343562768658442
P_terror-d2-v2,Reader,ReaderSite,0.519698495852972
P_terror-d2-v2,Self,ReaderSite,0.666842014941327
P_terror-d2-v3,Reader,ReaderSite,0.2951934200292976
P_terror-d2-v3,Self,ReaderSite,0.733830636052615
P_terror-d2-v4,Reader,ReaderSite,0.5777440153011364
P_terror-d2-v4,Self,ReaderSite,0.9470199715275955
P_terror-d3-v1,Reader,ReaderSite,0.41473194439393546
P_terror-d3-v1,Self,ReaderSite,0.3565260671374282
