pair_id,task,site_type,outcome
P_rage-d1-v1,Reader,ReaderSite,0.04254225452165805
P_rage-d1-v1,Self,ReaderSite,0.06434474687320435
P_rage-d1-v2,Reader,ReaderSite,0.16659297663602235
P_rage-d1-v2,Self,ReaderSite,0.03487059830493777
P_rage-d1-v3,Reader,ReaderSite,0.3025438005991772
P_rage-d1-v3,Self,ReaderSite,0.23769476856920146
P_rage-d1-v4,Reader,ReaderSite,0.2981797437217022
P_rage-d1-v4,Self,ReaderSite,0.18103214895343234
P_rage-d2-v1,Reader,ReaderSite,0.3361161303938949
P_rage-d2-v1,Self,ReaderSite,0.2661632527799176
P_rage-d2-v2,Reader,ReaderSite,0.5606344009940196
P_rage-d2-v2,Self,ReaderSite,0.4373037481685098
P_rage-d2-v3,Reader,ReaderSite,0.4672481492894729
P_rage-d2-v3,Self,ReaderSite,0.06663467196174988
P_rage-d2-v4,Reader,ReaderSite,0.07938367039486405
P_rage-d2-v4,Self,ReaderSite,0.02391113734053807
P_rage-d3-v1,Reader,ReaderSite,0.4461690793527415
P_rage-d3-v1,Self,ReaderSite,0.7284191809411436
P_rage-d3-v2,Reader,ReaderSite,0.15234383348456415
P_rage-d3-v2,Self,ReaderSite,0.822974310304359
P_rage-d3-v3,Reader,ReaderSite,0.06309590567835821
P_rage-d3-v3,Self,ReaderSite,0.029138906058417735
P_rage-d3-v4,Reader,ReaderSite,0.20545831095244083
P_rage-d3-v4,Self,ReaderSite,0.6647768489587795
P_grief-d1-v1,Reader,ReaderSite,0.07375232489153927
P_grief-d1-v1,Self,ReaderSite,0.09666856674933744
P_grief-d1-v2,Reader,ReaderSite,0.10178446637720473
P_grief-d1-v2,Self,ReaderSite,0.033810376436540945
P_grief-d1-v3,Reader,ReaderSite,0.31237401789399044
P_grief-d1-v3,Self,ReaderSite,0.34092706413667573
P_grief-d1-v4,Reader,ReaderSite,0.39423383550388724
P_grief-d1-v4,Self,ReaderSite,0.43936936212739575
P_grief-d2-v1,Reader,ReaderSite,0.15732179399263124
P_grief-d2-v1,Self,ReaderSite,0.44531641079870754
