pair_id,task,site_type,outcome
P_rage-d1-v1,Reader,ReaderSite,0.37896854492736853
P_rage-d1-v1,Self,ReaderSite,0.41214548042080157
P_rage-d1-v2,Reader,ReaderSite,0.11118449653729989
P_rage-d1-v2,Self,ReaderSite,0.05507804920679327
P_rage-d1-v3,Reader,ReaderSite,0.4306733889586982
P_rage-d1-v3,Self,ReaderSite,0.24126108083811149
P_rage-d1-v4,Reader,ReaderSite,0.0908324356663539
P_rage-d1-v4,Self,ReaderSite,0.2104145715569552
P_rage-d2-v1,Reader,ReaderSite,0.08270296597341975
P_rage-d2-v1,Self,ReaderSite,0.12284163922891445
P_rage-d2-v2,Reader,ReaderSite,0.40492720775531055
P_rage-d2-v2,Self,ReaderSite,0.375428356407125
P_rage-d2-v3,Reader,ReaderSite,0.030796525787418094
P_rage-d2-v3,Self,ReaderSite,0.06511139357955864
P_rage-d2-v4,Reader,ReaderSite,0.222710112525915
P_rage-d2-v4,Self,ReaderSite,0.1740735423303632
P_rage-d3-v1,Reader,ReaderSite,0.24977224133732845
P_rage-d3-v1,Self,ReaderSite,0.11921587543762069
P_rage-d3-v2,Reader,ReaderSite,0.23910381717265228
P_rage-d3-v2,Self,ReaderSite,0.10839452753411427
P_rage-d3-v3,Reader,ReaderSite,0.11567617764787075
P_rage-d3-v3,Self,ReaderSite,0.0892670722053528
P_rage-d3-v4,Reader,ReaderSite,0.14971601633581155
P_rage-d3-v4,Self,ReaderSite,0.34775938216682967
P_grief-d1-v1,Reader,ReaderSite,0.11269191795815825
P_grief-d1-v1,Self,ReaderSite,0.03521913071803251
P_grief-d1-v2,Reader,ReaderSite,0.20951741051919992
P_grief-d1-v2,Self,ReaderSite,0.1460075446836102
P_grief-d1-v3,Reader,ReaderSite,0.27162421686580185
P_grief-d1-v3,Self,ReaderSite,0.16815497418449388
P_grief-d1-v4,Reader,ReaderSite,0.6403834309622751
P_grief-d1-v4,Self,ReaderSite,0.3180869205038914
P_grief-d2-v1,Reader,ReaderSite,0.013443402445718178
P_grief-d2-v1,Self,ReaderSite,0.016140805860122676
P_grief-d2-v2,Reader,ReaderSite,0.10644494020016015
P_grief-d2-v2,Self,ReaderSite,0.027884696102155715
P_grief-d2-v3,Reader,ReaderSite,0.1949223612241564
P_grief-d2-v3,Self,ReaderSite,0.07397252345327754
P_grief-d2-v4,Reader,ReaderSite,0.2626860014307528
P_grief-d2-v4,Self,ReaderSite,0.35469147404969714
P_grief-d3-v1,Reader,ReaderSite,0.015424536784078846
P_grief-d3-v1,Self,ReaderSite,0.03559405288144113
P_grief-d3-v2,Reader,ReaderSite,0.2628247388803473
P_grief-d3-v2,Self,ReaderSite,0.38676157894290064
P_grief-d3-v3,Reader,ReaderSite,0.24043305376251833
P_grief-d3-v3,Self,ReaderSite,0.43371627765154797
P_grief-d3-v4,Reader,ReaderSite,0.26718470949526285
P_grief-d3-v4,Self,ReaderSite,0.12382365827846131
P_terror-d1-v1,Reader,ReaderSite,0.06478899569171492
P_terror-d1-v1,Self,ReaderSite,0.2921399966486238
P_terror-d1-v2,Reader,ReaderSite,0.016949803886015857
P_terror-d1-v2,Self,ReaderSite,0.40320801363659875
P_terror-d1-v3,Reader,ReaderSite,0.058182643290215275
P_terror-d1-v3,Self,ReaderSite,0.04970563153289298
P_terror-d1-v4,Reader,ReaderSite,0.01846941444786232
P_terror-d1-v4,Self,ReaderSite,0.2970548042789831
P_terror-d2-v1,Reader,ReaderSite,0.08975975607780562
P_terror-d2-v1,Self,ReaderSite,0.13902878938148344
P_terror-d2-v2,Reader,ReaderSite,0.3393311307335436
P_terror-d2-v2,Self,ReaderSite,0.33530499406085834
P_terror-d2-v3,Reader,ReaderSite,0.2233163791209325
P_terror-d2-v3,Self,ReaderSite,0.4868196547838419
P_terror-d2-v4,Reader,ReaderSite,0.031004910318659817
P_terror-d2-v4,Self,ReaderSite,0.006722522734927239
P_terror-d3-v1,Reader,ReaderSite,0.034727335784129565
P_terror-d3-v1,Self,ReaderSite,0.03159760247797605
P_terror-d3-v2,Reader,ReaderSite,0.20878609689861705
P_terror-d3-v2,Self,ReaderSite,0.45119372948067493
P_terror-d3-v3,Reader,ReaderSite,0.56710627171875
P_terror-d3-v3,Self,ReaderSite,0.5252907281566066
P_terror-d3-v4,Reader,ReaderSite,0.0036114554503936525
P_terror-d3-v4,Self,ReaderSite,0.21038728186624
P_ecstasy-d1-v1,Reader,ReaderSite,0.19115796356926218
P_ecstasy-d1-v1,Self,ReaderSite,0.30844952711319307
P_ecstasy-d1-v2,Reader,ReaderSite,0.08806406789578602
P_ecstasy-d1-v2,Self,ReaderSite,0.1509231403506308
P_ecstasy-d1-v3,Reader,ReaderSite,0.21604873010965964
P_ecstasy-d1-v3,Self,ReaderSite,0.13036010719537217
P_ecstasy-d1-v4,Reader,ReaderSite,0.02113983172926126
P_ecstasy-d1-v4,Self,ReaderSite,0.05160021605203724
P_ecstasy-d2-v1,Reader,ReaderSite,0.22321130239058906
P_ecstasy-d2-v1,Self,ReaderSite,0.48038005676599127
P_ecstasy-d2-v2,Reader,ReaderSite,0.3555864016745742
P_ecstasy-d2-v2,Self,ReaderSite,0.32403154329463035
