layer,magnitude_self,magnitude_reader,shift_V_self,shift_A_self,shift_V_reader,shift_A_reader,directional_cosine_similarity
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.007796036535757319,0.005171353902667983,0.007578873130200993,0.0018272568903086363,0.004997694790493117,0.001328889750023432,0.9997284890773113
2,0.010053954714042433,0.010314722866955317,0.009829432467598515,0.0021128802041138622,0.009821265885447244,0.0031521808687702316,0.9951196920521146
3,0.011098907255085387,0.00916227167424924,0.010294702394433803,0.004147872330126127,0.007653596814061359,0.005036832143375414,0.9802582193799055
4,0.018545407145285804,0.020792234883319518,0.016794982534291816,0.007865156569150456,0.018320456467182365,0.009832492373615396,0.9985097969035452
5,0.014795934305068197,0.01848312047178394,0.012814266085851761,0.007396908586759963,0.015273118478351597,0.010409495392223087,0.9972094481795412
6,0.025693852820099766,0.023094984744899825,0.02340041565958931,0.010611061195723826,0.019479264251274706,0.012407118303464623,0.99001756705402
7,0.04495859457316028,0.043797912081330756,0.04158747178703686,0.017080907948824327,0.040354761191665714,0.017022054865603316,0.9999553461190783
8,0.034617070483659286,0.032716820467111905,0.033397019361301294,0.009109372462003171,0.03132508928613928,0.009440822140716074,0.9996504367694284
9,0.03903614528536845,0.04158269769920522,0.03530638564412128,0.016651719775716275,0.03679308975732801,0.019374965652942264,0.9990323517124676
10,0.038235465063796756,0.038410288957713964,0.036791368266399685,0.010408938933963474,0.0368956848733922,0.010679828441432082,0.9999817178276756
11,0.0167079077257782,0.02123739929330588,0.015194132745269928,0.006949281307605484,0.018868038139149643,0.00974803906039074,0.9988525122079942
12,0.03009277650955163,0.03393523887272175,0.026973681472991437,0.013341503132983962,0.03080956030059712,0.014225731314507356,0.999641938472568
13,0.023967235717632,0.02638732873989261,0.02132646218290821,0.010936653908098259,0.02422122510469193,0.010470118072639098,0.9978333949458615
14,0.032505614134703154,0.03777086291381709,0.029215256046817784,0.014250746099523712,0.03238753450709377,0.01943413733115451,0.9962500764119572
15,0.008755801896523198,0.013858699039932223,0.0059114735924264234,0.0064589896127184064,0.008847678451172286,0.010666870445640552,0.9988132879870641
