pair_id,task,site_type,outcome
P_rage-d1-v1,Reader,ReaderSite,0.15573017122736665
P_rage-d1-v1,Self,ReaderSite,0.1776649779533881
P_rage-d1-v2,Reader,ReaderSite,1.0211369181736139
P_rage-d1-v2,Self,ReaderSite,0.8740904854531184
P_rage-d1-v3,Reader,ReaderSite,0.38892008239570464
P_rage-d1-v3,Self,ReaderSite,0.2763087546486549
P_rage-d1-v4,Reader,ReaderSite,0.019381818506420512
P_rage-d1-v4,Self,ReaderSite,0.05519154386338698
P_rage-d2-v1,Reader,ReaderSite,0.4158688989966066
P_rage-d2-v1,Self,ReaderSite,0.5545784462863788
P_rage-d2-v2,Reader,ReaderSite,0.22297233995037846
P_rage-d2-v2,Self,ReaderSite,0.27235599532754184
P_rage-d2-v3,Reader,ReaderSite,0.0798092423385155
P_rage-d2-v3,Self,ReaderSite,0.04436426249157943
P_rage-d2-v4,Reader,ReaderSite,0.14296978298024543
P_rage-d2-v4,Self,ReaderSite,0.17338471712307246
P_rage-d3-v1,Reader,ReaderSite,0.13214694358125811
P_rage-d3-v1,Self,ReaderSite,0.027760131470037308
P_rage-d3-v2,Reader,ReaderSite,0.1230771949856524
P_rage-d3-v2,Self,ReaderSite,0.2773122138608546
P_rage-d3-v3,Reader,ReaderSite,0.08979131747558888
P_rage-d3-v3,Self,ReaderSite,0.23506660965033266
P_rage-d3-v4,Reader,ReaderSite,0.2551870414118893
P_rage-d3-v4,Self,ReaderSite,0.27738629446452645
P_grief-d1-v1,Reader,ReaderSite,0.9457019793826476
P_grief-d1-v1,Self,ReaderSite,0.9269607931177362
P_grief-d1-v2,Reader,ReaderSite,0.3542140469408812
P_grief-d1-v2,Self,ReaderSite,0.3611043521755981
P_grief-d1-v3,Reader,ReaderSite,0.19162501549717081
P_grief-d1-v3,Self,ReaderSite,0.14728546009790344
P_grief-d1-v4,Reader,ReaderSite,0.4569748522283872
P_grief-d1-v4,Self,ReaderSite,0.45035837321657457
P_grief-d2-v1,Reader,ReaderSite,0.10872215564727661
P_grief-d2-v1,Self,ReaderSite,0.1710347009894697
P_grief-d2-v2,Reader,ReaderSite,0.5818912211035165
P_grief-d2-v2,Self,ReaderSite,0.6673257936120747
P_grief-d2-v3,Reader,ReaderSite,0.3349115831276568
P_grief-d2-v3,Self,ReaderSite,0.43066731427919125
P_grief-d2-v4,Reader,ReaderSite,0.38678366169112
P_grief-d2-v4,Self,ReaderSite,0.3468617884819638
P_grief-d3-v1,Reader,ReaderSite,0.6684702687822979
P_grief-d3-v1,Self,ReaderSite,0.8201074173531433
P_grief-d3-v2,Reader,ReaderSite,0.21234438921081544
P_grief-d3-v2,Self,ReaderSite,0.30780113726302805
P_grief-d3-v3,Reader,ReaderSite,0.4393753806459264
P_grief-d3-v3,Self,ReaderSite,0.3943017552125818
P_grief-d3-v4,Reader,ReaderSite,0.3264940436319952
P_grief-d3-v4,Self,ReaderSite,0.3985813503926465
P_terror-d1-v1,Reader,ReaderSite,0.322274226160963
P_terror-d1-v1,Self,ReaderSite,0.4046907894526983
P_terror-d1-v2,Reader,ReaderSite,0.1395232823833341
P_terror-d1-v2,Self,ReaderSite,0.171662173059703
P_terror-d1-v3,Reader,ReaderSite,0.17984727453439042
P_terror-d1-v3,Self,ReaderSite,0.25561420318510386
P_terror-d1-v4,Reader,ReaderSite,0.2407006503465996
P_terror-d1-v4,Self,ReaderSite,0.3295623256031779
P_terror-d2-v1,Reader,ReaderSite,0.24382326634940732
P_terror-d2-v1,Self,ReaderSite,0.22019316164574132
P_terror-d2-v2,Reader,ReaderSite,0.1044066269139945
P_terror-d2-v2,Self,ReaderSite,0.01681995954317994
P_terror-d2-v3,Reader,ReaderSite,0.4732424044999428
P_terror-d2-v3,Self,ReaderSite,0.43765566629729147
P_terror-d2-v4,Reader,ReaderSite,0.1220354097107661
P_terror-d2-v4,Self,ReaderSite,0.0734373794563874
P_terror-d3-v1,Reader,ReaderSite,0.6904126119575329
P_terror-d3-v1,Self,ReaderSite,0.6584354984806344
P_terror-d3-v2,Reader,ReaderSite,0.19969932296886483
P_terror-d3-v2,Self,ReaderSite,0.11727436155425153
P_terror-d3-v3,Reader,ReaderSite,0.021388532041587638
P_terror-d3-v3,Self,ReaderSite,0.24508559177567246
P_terror-d3-v4,Reader,ReaderSite,0.037083723353767084
P_terror-d3-v4,Self,ReaderSite,0.28755988463707993
P_ecstasy-d1-v1,Reader,ReaderSite,0.2798375516619389
P_ecstasy-d1-v1,Self,ReaderSite,0.36687418100849634
P_ecstasy-d1-v2,Reader,ReaderSite,0.31372350553391914
P_ecstasy-d1-v2,Self,ReaderSite,0.252770272153926
P_ecstasy-d1-v3,Reader,ReaderSite,0.31238306069866173
P_ecstasy-d1-v3,Self,ReaderSite,0.24021722517047195
P_ecstasy-d1-v4,Reader,ReaderSite,0.6869382300149818
P_ecstasy-d1-v4,Self,ReaderSite,0.5247555501152625
P_ecstasy-d2-v1,Reader,ReaderSite,0.7497123467617106
P_ecstasy-d2-v1,Self,ReaderSite,0.8083930107043864
P_ecstasy-d2-v2,Reader,ReaderSite,0.8221975598882612
P_ecstasy-d2-v2,Self,ReaderSite,0.7636164725441912
P_ecstasy-d2-v3,Reader,ReaderSite,0.715248999459722
P_ecstasy-d2-v3,Self,ReaderSite,0.699405206313533
P_ecstasy-d2-v4,Reader,ReaderSite,0.585491475790568
P_ecstasy-d2-v4,Self,ReaderSite,0.5468438938023521
P_ecstasy-d3-v1,Reader,ReaderSite,0.5758785907627155
P_ecstasy-d3-v1,Self,ReaderSite,0.6119294386461833
P_ecstasy-d3-v2,Reader,ReaderSite,0.81100940377938
P_ecstasy-d3-v2,Self,ReaderSite,0.8109872762506942
P_ecstasy-d3-v3,Reader,ReaderSite,0.14333481006955218
P_ecstasy-d3-v3,Self,ReaderSite,0.18061397725992645
P_ecstasy-d3-v4,Reader,ReaderSite,0.7444446374236904
P_ecstasy-d3-v4,Self,ReaderSite,0.6536202891008447
P_loathing-d1-v1,Reader,ReaderSite,0.23540506721781007
P_loathing-d1-v1,Self,ReaderSite,0.39437071788932876
P_loathing-d1-v2,Reader,ReaderSite,0.01825189829540097
