pair_id,task,site_type,outcome
P_rage-d1-v1,Reader,ReaderSite,0.012433326370048015
P_rage-d1-v1,Self,ReaderSite,0.052890571273160436
P_rage-d1-v2,Reader,ReaderSite,0.044790300167395714
P_rage-d1-v2,Self,ReaderSite,0.35117911401369906
P_rage-d1-v3,Reader,ReaderSite,0.42298051344477017
P_rage-d1-v3,Self,ReaderSite,1.180692465750938
P_rage-d1-v4,Reader,ReaderSite,0.29671692099318836
P_rage-d1-v4,Self,ReaderSite,0.5439162457331053
P_rage-d2-v1,Reader,ReaderSite,0.040600125567547884
P_rage-d2-v1,Self,ReaderSite,0.11831305866145136
P_rage-d2-v2,Reader,ReaderSite,0.0009267380112283341
P_rage-d2-v2,Self,ReaderSite,0.014439190809429014
P_rage-d2-v3,Reader,ReaderSite,0.4021248155220136
P_rage-d2-v3,Self,ReaderSite,0.7693546565843778
P_rage-d2-v4,Reader,ReaderSite,0.08920112929504054
P_rage-d2-v4,Self,ReaderSite,0.22916211382856133
P_rage-d3-v1,Reader,ReaderSite,0.18053836120638733
P_rage-d3-v1,Self,ReaderSite,0.3885598404807795
P_rage-d3-v2,Reader,ReaderSite,0.3086326479773871
P_rage-d3-v2,Self,ReaderSite,0.387747134426923
P_rage-d3-v3,Reader,ReaderSite,0.2403731303761356
P_rage-d3-v3,Self,ReaderSite,0.17900545505205212
P_rage-d3-v4,Reader,ReaderSite,0.1047227951364742
P_rage-d3-v4,Self,ReaderSite,0.2596683364853094
P_grief-d1-v1,Reader,ReaderSite,0.17519729286017682
P_grief-d1-v1,Self,ReaderSite,0.3325281183447757
P_grief-d1-v2,Reader,ReaderSite,0.07269881658286614
P_grief-d1-v2,Self,ReaderSite,0.10417802613472738
P_grief-d1-v3,Reader,ReaderSite,0.03045788179898956
P_grief-d1-v3,Self,ReaderSite,0.0637277564838139
P_grief-d1-v4,Reader,ReaderSite,0.057175602040304696
P_grief-d1-v4,Self,ReaderSite,0.12203475551750476
