layer,Delta_IBC_V,Delta_IBC_A,IBC_V_base,IBC_V_inst
0,,,,
1,0.10991748900034101,0.3975057562992163,0.15644548342555492,0.04652799442521391
2,0.1480898015931219,0.3762227995660252,0.17085421903368306,0.022764417440561145
3,0.06842772546263273,0.33500940965822046,0.09468196766573339,0.026254242203100655
4,-0.035972181329221836,0.315961871525508,0.08157905429359784,0.11755123562281967
5,-0.08109862399186521,0.27061048380196034,0.06217090773978945,0.14326953173165466
6,-0.05667319743750001,0.2919686247948192,0.04354848401471576,0.10022168145221577
7,-0.05107749707872215,0.29834271576407445,0.05707684807861095,0.1081543451573331
8,-0.05491808443485878,0.30794286423920986,0.06763604913240308,0.12255413356726186
9,-0.04459447528630017,0.34669467313445573,0.10983550746492715,0.15442998275122732
10,-0.015145295266270287,0.33824499699676247,0.1502597864284113,0.1654050816946816
11,-0.007305555538458575,0.32745579654683865,0.20863717900437273,0.2159427345428313
12,-0.04511098896289634,0.29692669799078647,0.18309775830530406,0.2282087472682004
13,-0.022903795177122127,0.30773588630262627,0.19515493575100493,0.21805873092812705
14,-0.018886832425588834,0.3083360058360067,0.1977243934696703,0.21661122589525914
15,-0.026290146391505453,0.319374595480472,0.1714135936781489,0.19770374006965435
16,-0.019777579082511598,0.28337393487752044,0.1778420061748784,0.19761958525738998
17,-0.0001909084301845998,0.32353033513137175,0.17197889844299447,0.17216980687317907
18,0.02042400850241627,0.32635625922676365,0.19030302998872622,0.16987902148630996
19,0.024981864070753035,0.31097915680183064,0.19358900414348712,0.16860714007273409
20,0.014213326072383403,0.31062110121870745,0.18365623027127886,0.16944290419889546
21,0.028122509735607176,0.33936539357795076,0.1746894160500552,0.14656690631444802
22,0.045359242733187144,0.34799755406848354,0.18313567453427398,0.13777643180108684
23,0.03518360804808443,0.3669067806230083,0.17014347722232565,0.13495986917424121
24,0.053839597348087256,0.3938765205635166,0.16627269945706835,0.1124331021089811
25,0.06587287982226292,0.395746293206816,0.19164999570075572,0.1257771158784928
26,0.06213315068373182,0.4061302197795401,0.1932214997885521,0.13108834910482028
27,0.12780531533760847,0.41877557740005317,0.2588966922203254,0.13109137688271694
28,0.08558326777585268,0.334022010114824,0.2336457700575436,0.14806250228169093
