layer,r2_direct,r2_ortho,r2_ridge,ibc_V_target_inst,ibc_V_direct,ibc_V_ortho,ibc_V_ridge,ibc_A_target_inst,ibc_A_direct,ibc_A_ortho,ibc_A_ridge
0,0.0013020833721384406,0.0,1.0,,,,,,,,
1,-675.3809204101562,-44.17039489746094,0.47838613390922546,-0.06114570771206001,0.009346237226778334,0.014318416651125938,-0.012317299174178058,-0.21228664003749012,-0.17553490300630675,-0.20659429058024725,-0.2115379794195653
2,-499.6113586425781,-29.704349517822266,0.5100781321525574,-0.09014655626238098,-0.032107658690020455,0.008039923588359487,0.01737328472883556,-0.18836203933521883,-0.24228652901669523,-0.22696798340693078,-0.19285916347640758
3,-259.458740234375,-3.8644278049468994,0.548501193523407,-0.09769461267139112,0.07524007670422271,0.0007350641849526976,0.0599651449361529,-0.11756888372456649,-0.24419361896821934,-0.24497916390379385,-0.1680197446729333
4,-171.5338897705078,-1.509109377861023,0.5415269732475281,-0.032284211173016414,0.06891044824490754,0.003848510986410901,0.09011811822019287,-0.18789407617708578,-0.2505899891339892,-0.24896082459698562,-0.22416135691725494
5,-165.50523376464844,-2.663485527038574,0.5818949937820435,0.014554319700238924,0.1078996511007983,0.0002438374725208997,0.09407649373121103,-0.19829335960183242,-0.21594295156228865,-0.24572606538257427,-0.24169544129499887
6,-166.00894165039062,0.03071649745106697,0.595589816570282,-0.030944374082707567,0.10238340798858483,-0.03929667589894776,0.025319096860218236,-0.24992274560149064,-0.16376426327556462,-0.277686739243944,-0.24001759978505685
7,-186.5455322265625,-1.5121219158172607,0.5776923298835754,-0.03153822943853986,0.14342048960768505,-0.037431647040094246,0.039613079676695966,-0.25410116946804256,-0.1876995640062293,-0.2865211177314731,-0.26967939971547505
8,-209.1806640625,-1.4351365566253662,0.5565670728683472,-0.01584068789792397,0.14669598506996753,-0.022277909166492426,0.07948775633653847,-0.25310444063219834,-0.24798726641569652,-0.28549788294245565,-0.2691652392412984
9,-218.4505615234375,-4.374330997467041,0.5390240550041199,0.016570611755313863,0.06721652955927389,-0.01228854582484843,0.10444795615522702,-0.2927003403198714,-0.20082795231330167,-0.2882922324798515,-0.32929138206046327
10,-224.992919921875,-7.048666000366211,0.5137386322021484,0.015359870097118939,-0.10133268718528943,-0.0369672185837721,0.07090423040544902,-0.25647018464842064,-0.21078324095418963,-0.259935393849471,-0.29090932125547575
11,-168.50584411621094,-5.089014530181885,0.48544931411743164,0.05582519322673104,0.16413558731664227,0.021956696014439746,0.11206648207472186,-0.24382884348088216,-0.16601738493842824,-0.23638962831310326,-0.23713715829198267
12,-132.8032989501953,0.026630178093910217,0.5061431527137756,0.010906084100325106,0.15085184631520326,0.10124875416174813,0.12372000293367798,-0.2545103642402005,-0.22946047441841197,-0.21420472705495566,-0.2196716826334821
13,-136.2410888671875,-1.3962832689285278,0.5095024704933167,0.011725547549840069,0.04704500308872629,0.12315002170748546,0.12834728653971622,-0.24800304636547044,-0.23404007276787123,-0.22048053938667533,-0.22033504629673606
14,-132.65492248535156,-0.43897512555122375,0.5048491358757019,0.014175708805074487,0.06266310694873897,0.10539624221560491,0.12850460159344343,-0.25414036476495266,-0.1650966615304759,-0.22396967392901587,-0.20532700125719233
15,-137.1401824951172,-1.0616337060928345,0.5081691741943359,0.013140560405784771,-0.06260081815606808,0.06931700081986644,0.062370704207103764,-0.26028958338233715,-0.15963486973323454,-0.24266806512495406,-0.22798413691959205
16,-127.50283813476562,-0.18690995872020721,0.5167520046234131,0.021442174026792563,-0.028691420982517278,0.020973200221430354,0.030323224824139496,-0.2693535809258258,-0.2446893806525178,-0.24055309670025782,-0.23289233606947005
17,-98.5147476196289,-0.7238827347755432,0.5103669166564941,-0.04794931966331781,-0.08246950627344843,-0.03990239428396431,-0.001641092259539581,-0.259303162676346,-0.308720421522884,-0.2537570145377094,-0.233389924031971
18,-91.32353973388672,-1.5075771808624268,0.49009978771209717,-0.04574135675660198,-0.06419956712805412,-0.019676940695393025,-0.014946746128805175,-0.25569412832567856,-0.2340824308879689,-0.24118530704808816,-0.24664800257361075
19,-88.16993713378906,-2.61214542388916,0.47784745693206787,-0.03057558099022596,0.051751494310558685,0.01893760846797579,-0.00438768472180917,-0.22819500487559363,-0.2271004539783906,-0.20935765512239635,-0.21751761171875506
20,-67.81537628173828,-0.038404155522584915,0.4621201157569885,-0.008353495380726179,0.027571768906565482,0.035491137409322616,-0.015309289942250427,-0.20469485486817468,-0.22760815952496666,-0.2369189128054515,-0.21121478981053532
21,-60.46019744873047,-3.267996072769165,0.48214370012283325,-0.04138719512730932,0.10384921995300801,0.05546014589189265,-0.0030113189090644403,-0.25816604050720904,-0.17643338525612445,-0.22185089338722855,-0.26083784141506766
22,-53.51592254638672,-1.6210737228393555,0.4384244680404663,-0.0586703258428178,0.10981847505006762,0.09400644410320752,0.01892619416083405,-0.25963287733024065,-0.19992564130793553,-0.18485894106096928,-0.23511280935505788
23,-51.860679626464844,-2.3022115230560303,0.41019317507743835,-0.06378088565593028,0.12557293254257285,0.08402790427157565,0.043550941295477305,-0.28895058442223165,-0.2258412035852217,-0.20832958888193046,-0.2518021138408887
24,-48.977420806884766,-1.653171420097351,0.4159952998161316,-0.08929440734479845,0.09974044152613652,0.07183536647487994,-0.010921711174026846,-0.30746027961474887,-0.19282130324356211,-0.17875192997049036,-0.26088157138763324
25,-52.83594512939453,-2.935577392578125,0.3875761926174164,-0.08533047423317579,0.11295909700555012,0.12053817336982048,0.044950654926930615,-0.30142703290517003,-0.22499200906409844,-0.18470567036151841,-0.2217213997895519
26,-48.48805618286133,-1.9280831813812256,0.35904741287231445,-0.08165536777770317,0.0622785944720309,0.10778899888298869,0.07823313322167859,-0.30252945118613556,-0.24881129626496848,-0.18639217750308348,-0.1900027796755649
27,-50.13492202758789,-5.037698268890381,0.3279327154159546,-0.09341159745399367,0.0039577466698754735,0.14895147871701078,0.11411362642441654,-0.3001045799701716,-0.27228278996431843,-0.1744313076385983,-0.15520581708094627
28,-40.55109405517578,-1.4896117448806763,0.29289543628692627,-0.04722794102203061,0.11499235286349295,0.11868723666214272,0.15822953800243159,-0.32139672693138405,-0.3085770150995971,-0.24188524668010983,-0.2602412001393057
