layer,direction,UB_V,UB_A,UB_WC,r2_direct,ibc_V_direct,ibc_A_direct,ibc_WC_direct,r2_ortho,ibc_V_ortho,ibc_A_ortho,ibc_WC_ortho,r2_ridge,ibc_V_ridge,ibc_A_ridge,ibc_WC_ridge
0,Base2Inst,,,,0.0013020833721384406,,,,0.0,,,,1.0,,,
0,Inst2Base,,,,0.0013020833721384406,,,,0.0,,,,1.0,,,
1,Base2Inst,0.035239670024688266,-0.13137581822481412,0.7166256354305811,-734.2265625,0.07255495152994958,-0.10944179053171545,0.6448143701671495,-48.15644073486328,0.11380318837338897,-0.12899961369448112,0.6666122491570492,0.5553752183914185,0.06621018580208174,-0.13712036372923642,0.6343807185460169
1,Inst2Base,0.13882098882846466,0.19903691013648558,0.736645798360658,-383.3960876464844,0.1147184604629261,0.18728328170499506,0.6875247301262964,-24.698793411254883,0.10345341858468453,0.1992735028388114,0.7713693737437927,0.5350580811500549,0.13312053152438097,0.22215176359052527,0.7621622574999304
2,Base2Inst,-0.13568628426272242,-0.10115048317513584,0.8493483481853084,-554.4773559570312,0.026088078041003437,-0.15544877639929583,0.6539584465626367,-32.79108810424805,0.06775090774923481,-0.14577238688357932,0.786125366133896,0.5368642210960388,0.04184923840055768,-0.08873487281196762,0.8089767894599093
2,Inst2Base,0.08822107387909006,0.23737571801946544,0.8333322788648999,-306.1563415527344,0.13186085374598716,0.20576803204181476,0.7967460008539118,-17.68209457397461,-0.08018092108455986,0.14012739021343987,0.861116833209133,0.49170514941215515,0.0880230386208403,0.21085479254035305,0.8367653097572865
3,Base2Inst,-0.299058681914196,-0.07025857357352244,0.8733489813763302,-277.4608154296875,0.10849209696682806,-0.17917992764153934,0.8118239532711374,-3.9874789714813232,-0.014641552197734636,-0.13081232485610006,0.7755444901161085,0.6072694063186646,-0.13863602552503412,-0.05333524875844202,0.8732914336518806
3,Inst2Base,0.024528113079727545,0.2521254948073173,0.8208319652336391,-323.52734375,-0.05400168550228699,0.15894844317561654,0.8643519543517985,-4.818838596343994,-0.2211074609830644,0.09029218400537706,0.8650267440622603,0.5220608115196228,-0.003953342165849037,0.19559793280753265,0.8730949281549439
4,Base2Inst,-0.21100372268389717,-0.10519598738850013,0.9038275235814854,-186.92396545410156,0.22101821015444537,-0.16781798746548635,0.6676206106345799,-1.564123272895813,0.05040890189798359,-0.12439788057095577,0.7970999980822748,0.5400111079216003,0.036465507544802656,-0.13674947972120988,0.8687609009676004
4,Inst2Base,0.025140019510703816,0.23474103618893494,0.8518210535098347,-234.8606414794922,0.08652815782576304,0.2606551323425729,0.8179361794979562,-2.215691566467285,-0.0703348534581431,0.2710352434982184,0.8859283564197095,0.5466320514678955,0.012582076478497867,0.24919336536338568,0.86019327242354
5,Base2Inst,-0.14547011659619238,-0.13678998274238516,0.9157818158991269,-180.53208923339844,0.18668559925296854,-0.10537114925680902,0.691020984638228,-2.844132661819458,0.02011561601605473,-0.11061904590213993,0.7827808084807788,0.5899619460105896,0.08765228991159743,-0.17553423682882216,0.8839274235288658
5,Inst2Base,-0.009964492658409062,0.21229744998103245,0.8675803476845044,-173.80606079101562,-0.2586774530141607,0.05792497119894426,0.8139190518361448,-2.702483654022217,-0.025811058994165834,0.30546199924920275,0.9060961683792402,0.5835577845573425,-0.028447889548624906,0.25907257838947,0.878510004539345
6,Base2Inst,-0.1185107985005006,-0.21109214980179916,0.9231996581660282,-179.6397705078125,0.31141390832178334,-0.04836133584493442,0.5324957110575151,0.02655402012169361,0.05725643285099826,-0.1412843722855301,0.7834760725985837,0.5966508984565735,0.1022459275045518,-0.17370531638252243,0.8875940280158682
6,Inst2Base,0.009331275692271318,0.18358401847410757,0.8668621551634998,-158.7976531982422,-0.07693310027109847,0.045151478454536126,0.8405282538400722,0.13714328408241272,-0.013119952552902603,0.2741403890034634,0.9105753365806261,0.5942678451538086,0.003841335375676403,0.24073240344047905,0.8814154466102198
7,Base2Inst,-0.12384506468716913,-0.19862163607522162,0.9291338107676621,-203.30157470703125,0.3249794288570436,-0.05965359710712147,0.7968330663580501,-1.5672380924224854,0.050724080730208676,-0.1420430051945753,0.8060510325290275,0.5830512046813965,0.11247330069509584,-0.19708866791612825,0.9029384868912669
7,Inst2Base,-0.0047067505184758855,0.19705850591354213,0.8785001574213739,-179.69998168945312,-0.011830322582201739,0.20230801712415916,0.857631261422416,-1.2731510400772095,-0.010568174445531915,0.28938620314658153,0.9169303584534686,0.562867283821106,-0.010850463366470236,0.26995563888200863,0.875375946106891
8,Base2Inst,-0.14202621180839942,-0.1972709385055773,0.9338466700505977,-231.13150024414062,0.312222846940712,-0.13494348529525205,0.7553023168341951,-1.6271800994873047,0.053866041139790724,-0.1363110381961338,0.8222927800689336,0.5622692704200745,0.09972125952408577,-0.20034324038093407,0.9029843387413081
8,Inst2Base,0.010392920968762336,0.23827180512167742,0.8860423372095522,-181.6134033203125,-0.003087847774848654,0.3093695417414146,0.8774317493029572,-1.0677560567855835,-0.016234123004582282,0.3036700135427834,0.9283501160875206,0.5512861013412476,0.023536974895056805,0.29429341391822106,0.8794740030684333
9,Base2Inst,-0.10660736430073513,-0.2701953005907361,0.9423766851842235,-243.24998474121094,0.23801852658789271,-0.139453706871922,0.6246316818311485,-4.793442726135254,0.03617116483833441,-0.14785738156653785,0.8148604160266647,0.5580816268920898,0.11008524003685785,-0.25412843389295714,0.9312419292167929
