layer,dimension,beta3_estimate,beta3_pvalue,beta3_ci_lower,beta3_ci_upper
12,valence,0.7516343819948904,0.027167903839118133,0.08476624294583945,1.4185025210439415
12,arousal,-0.8318163495413248,0.13581043408749907,-1.9248417835999971,0.2612090845173477
16,valence,0.6214513311343334,0.5246998216838753,-1.2933241202028816,2.536226782471548
16,arousal,-0.5665989359464784,0.3226254375861096,-1.689376469308467,0.5561785974155101
20,valence,0.44269195074644757,0.541061224176726,-0.9768883826407007,1.8622722841335957
20,arousal,-0.22940202606330126,0.5618720223814255,-1.0045240057066533,0.5457199535800509
24,valence,-0.028238466918308433,0.9398614021073498,-0.7618466018705055,0.7053696680338886
24,arousal,-0.09637789735243335,0.6492553176448126,-0.5117219396578698,0.3189661449530031
27,valence,0.22342302259101932,0.38308474478212395,-0.2786266208575786,0.7254726660396172
27,arousal,-0.016008078045620627,0.9111430574844108,-0.29715626528810857,0.26514010919686726
