id,base_Ev,inst_Ev,swapA_Ev,swapB_Ev
B-grief-d1-v1,4.65234375,7.3828125,4.32421875,7.32421875
B-grief-d2-v1,4.12109375,3.578125,3.83984375,3.798828125
B-grief-d3-v1,5.85546875,6.9140625,5.65625,6.9296875
B-terror-d2-v1,4.359375,4.7578125,4.09375,5.00390625
B-ecstasy-d2-v1,5.77734375,5.9453125,5.5859375,6.07421875
B-loathing-d3-v1,4.12890625,2.185546875,3.87109375,2.28125
B-amazement-d1-v2,4.77734375,6.21875,4.4765625,6.3359375
B-amazement-d3-v1,5.31640625,7.7265625,5.046875,7.671875
B-vigilance-d1-v1,4.6484375,3.98046875,4.41015625,4.15625
B-vigilance-d3-v2,3.76171875,3.607421875,3.4921875,3.763671875
Bm-grief-d1-v1,5.37109375,6.17578125,5.14453125,6.3046875
Bm-grief-d2-v1,3.244140625,2.6328125,3.01171875,2.72265625
Bm-grief-d3-v1,4.6796875,5.63671875,4.46875,5.73046875
Bm-terror-d2-v1,4.09375,5.2890625,3.837890625,5.43359375
Bm-ecstasy-d2-v1,4.125,5.875,3.857421875,6.0234375
Bm-loathing-d3-v1,3.080078125,1.7783203125,2.873046875,1.8310546875
Bm-amazement-d1-v2,5.57421875,7.2578125,5.328125,7.20703125
Bm-amazement-d3-v1,4.64453125,5.90625,4.39453125,6.046875
Bm-vigilance-d1-v1,4.7109375,6.03515625,4.4765625,6.15625
Bm-vigilance-d3-v2,4.05078125,4.66796875,3.810546875,4.8125
N-grief-d1-c1,5.30859375,6.6875,5.09765625,6.73828125
N-grief-d2-c1,5.08984375,6.67578125,4.8515625,6.73828125
N-grief-d3-c1,5.89453125,6.921875,5.71875,6.94140625
N-terror-d2-c1,5.84765625,6.84765625,5.61328125,6.875
N-ecstasy-d2-c1,5.85546875,6.765625,5.6953125,6.80859375
N-loathing-d3-c1,6.01953125,6.89453125,5.87890625,6.9140625
N-amazement-d1-c2,4.83984375,6.48828125,4.578125,6.56640625
N-amazement-d3-c1,4.9375,6.51953125,4.765625,6.58984375
N-vigilance-d1-c1,5.28125,6.33984375,5.10546875,6.41015625
N-vigilance-d3-c2,5.265625,7.1484375,4.96484375,7.1171875
