model,alignment,dimension,n_pairs,correlation_type,r,ci_low,ci_high,p_value,spearman_rho,spearman_p,p_fdr
gemma_base,base,V,192,delta_coupling,0.5896711459548412,0.45423351703591613,0.7067974836157201,2.285465312508117e-19,0.603262417600304,2.0458461898333588e-20,2.611960357152134e-19
gemma_base,base,V,480,raw_coupling,0.7493309799751103,0.6979553725178126,0.7946118562117809,1.3124568008835744e-87,0.7530633813514814,6.02620642949721e-89,
gemma_base,base,A,192,delta_coupling,0.5998647068587635,0.46062262017651107,0.7273180691282898,3.780626287113175e-20,0.630428885332176,1.145458841494442e-22,4.6530785072162155e-20
gemma_base,base,A,480,raw_coupling,0.7350234483773399,0.6613433340752156,0.7962192492808755,1.085147092220916e-82,0.7135627758801035,6.915818511034427e-76,
gemma_base,base,D,192,delta_coupling,0.6177918301660335,0.4775323636750935,0.7391548902718725,1.3605230014393533e-21,0.6868472452052194,3.905473494812859e-28,
gemma_base,base,D,480,raw_coupling,0.7853117982382101,0.7082725675775225,0.840881040200974,1.3434295243582052e-101,0.7587264918684542,5.051821875970807e-91,
gemma_instruct,instruct,V,192,delta_coupling,0.39954722178257995,0.2755013769895817,0.5117653372842875,9.408962671043287e-09,0.35921011583430545,3.109790771557197e-07,9.408962671043287e-09
gemma_instruct,instruct,V,480,raw_coupling,0.33853927647290843,0.2596605074529912,0.4117909138762579,2.4601885059798666e-14,0.32439181593670113,3.1810524728330545e-13,
gemma_instruct,instruct,A,192,delta_coupling,0.6149788968641497,0.4654419770893076,0.7398271246128206,2.324716066800831e-21,0.5946274041722053,9.605003274999165e-20,3.0996214224011077e-21
gemma_instruct,instruct,A,480,raw_coupling,0.7065114973396146,0.6514544843982486,0.7561150075941929,8.716676837521346e-74,0.716128650731991,1.1471446326183366e-76,
gemma_instruct,instruct,D,192,delta_coupling,0.7659229430516334,0.6758405477873481,0.8309706567295835,2.6769105372869067e-38,0.7157939532864933,1.8811748281958512e-31,
gemma_instruct,instruct,D,480,raw_coupling,0.781878251185099,0.7372123032697719,0.8217732871453438,3.7773657300053303e-100,0.7629815016558231,1.2735246727045983e-92,
llama_base,base,V,192,delta_coupling,0.6895852512564624,0.6155350561550141,0.7534084292150048,1.9705025541929649e-28,0.6609761142609121,1.7592900756126393e-25,3.503115651898604e-28
llama_base,base,V,480,raw_coupling,0.8938273890865434,0.8757273680643504,0.9104761127668509,1.2937748939607183e-168,0.8816533491898836,5.196228616751473e-158,
llama_base,base,A,192,delta_coupling,0.8475934968858676,0.8048902100431283,0.8832390687097004,3.514510018833912e-54,0.8280525187857746,1.2428803250281571e-49,9.372026716890433e-54
llama_base,base,A,480,raw_coupling,0.9432055464606465,0.9321629440467891,0.951684269129356,6.643176363291657e-231,0.9383984956531928,1.001627853197995e-222,
llama_base,base,D,192,delta_coupling,0.8869981545488759,0.8512681014991329,0.9140039528478399,1.1346822845404785e-65,0.8729959580066734,3.7492360087426495e-61,
llama_base,base,D,480,raw_coupling,0.952068964742046,0.9426657919322643,0.961000399385677,4.7752612840269316e-248,0.9455165821032209,4.2929000212359216e-235,
llama_instruct,instruct,V,192,delta_coupling,0.62553302283294,0.5164659898991889,0.7152345533219878,3.0281413291129634e-22,0.6052478094566368,1.4241626787011618e-20,4.404569205982492e-22
llama_instruct,instruct,V,480,raw_coupling,0.7985846789103715,0.7643046022056215,0.8284989226133491,1.843980745845966e-107,0.7999331594321155,4.421443675256422e-108,
llama_instruct,instruct,A,192,delta_coupling,0.7449885594690059,0.6795665155909956,0.8019448487468248,3.030474156858603e-35,0.7074624284512927,1.8649881018879523e-30,6.060948313717206e-35
llama_instruct,instruct,A,480,raw_coupling,0.6550976065506984,0.5980366547066626,0.704532478083041,3.570543483087536e-60,0.615685072417849,2.0355349473943574e-51,
llama_instruct,instruct,D,192,delta_coupling,0.9128421620655969,0.8853408880540485,0.9338288269437132,7.758454719780757e-76,0.9112389116458238,4.0548091695903817e-75,
llama_instruct,instruct,D,480,raw_coupling,0.9482060027535079,0.9365436727440364,0.957694052946045,3.3152328946174067e-240,0.9418658501121965,1.4838034557702341e-228,
olmo_base,base,V,192,delta_coupling,0.5759007297698568,0.48488068245364163,0.6581728722866954,2.354262574908976e-18,0.5814519301196321,9.31715016863743e-19,2.511213413236241e-18
olmo_base,base,V,480,raw_coupling,0.7186000070768082,0.6750213869272037,0.7577047848420374,1.994819106674766e-77,0.7023673062817113,1.3993089395212423e-72,
olmo_base,base,A,192,delta_coupling,0.6311682354381049,0.5287239610820863,0.7232792817488086,9.875667589127963e-23,0.6150679543173373,2.2858066459561037e-21,1.580106814260474e-22
olmo_base,base,A,480,raw_coupling,0.7321975364033988,0.6909716619036028,0.7701914752799353,9.312270813526261e-82,0.7283746891262548,1.6337709543783574e-80,
olmo_base,base,D,192,delta_coupling,0.684315460882437,0.6082064221363767,0.7508856564596771,7.302888498336441e-28,0.6981627919594176,2.1985532317067866e-29,
olmo_base,base,D,480,raw_coupling,0.7710642230644573,0.7344690476562505,0.8039134284439987,9.415863300724192e-96,0.7730040060937764,1.5965419143081562e-96,
olmo_instruct,instruct,V,192,delta_coupling,0.8330091357841138,0.7674075917081111,0.8800752209235242,9.926527139675339e-51,0.765247334725877,3.3972914226556937e-38,2.2689204890686487e-50
olmo_instruct,instruct,V,480,raw_coupling,0.8989798398901954,0.8765297238274106,0.9188887301312345,1.6901440007254816e-173,0.8762808215313433,1.0708182592435178e-153,
olmo_instruct,instruct,A,192,delta_coupling,0.9287482275073777,0.9046394904406306,0.9470243294579296,8.137656794129473e-84,0.9210692293085209,9.381781272553272e-80,1.3020250870607157e-82
olmo_instruct,instruct,A,480,raw_coupling,0.9391572380099784,0.9273674682466104,0.9491104631507307,5.683095063986424e-224,0.934988216094688,2.5839860686374556e-217,
olmo_instruct,instruct,D,192,delta_coupling,0.9426457493678371,0.9218232234882354,0.9584829908837592,1.7720918533679412e-92,0.9476134606516021,4.109030091461142e-96,
olmo_instruct,instruct,D,480,raw_coupling,0.9514362718181424,0.9419508955733313,0.959342183833953,1.0157631498948938e-246,0.9494784048541876,1.013760880739954e-242,
qwen_base,base,V,192,delta_coupling,0.8792587439591494,0.8441053691774825,0.9072750004181844,4.190147297071074e-63,0.855437701760573,3.440433796748149e-56,1.3408471350627437e-62
qwen_base,base,V,480,raw_coupling,0.8861895659597357,0.8649787307237725,0.905212054979548,8.065628277349374e-162,0.8602256303195759,6.463027393343756e-142,
qwen_base,base,A,192,delta_coupling,0.9114610981752829,0.8902708214283873,0.9304020885178864,3.2303947249413983e-75,0.9252163415891275,6.80083624026267e-82,1.2921578899765593e-74
qwen_base,base,A,480,raw_coupling,0.879869515880439,0.8562487758221353,0.8985686066735615,1.482381787623505e-156,0.8768589490405774,3.7604610803104775e-154,
qwen_base,base,D,192,delta_coupling,0.9591929094328414,0.9491477854167994,0.9688869827991577,3.524589882046023e-106,0.9623318096736566,2.0392507180099005e-109,
qwen_base,base,D,480,raw_coupling,0.948015411197975,0.9365333026338074,0.9579186892439693,7.792826793235887e-240,0.9379210630254472,5.98017349815133e-222,
qwen_instruct,instruct,V,192,delta_coupling,0.9169917861279872,0.8936782402765793,0.9351290851189653,9.217748764400225e-78,0.9077140357540083,1.381048895440871e-73,4.916132674346787e-77
qwen_instruct,instruct,V,480,raw_coupling,0.9233047968315002,0.9089554218056637,0.9354354166291807,8.782076761519691e-201,0.9144582875793732,6.31186644700773e-190,
qwen_instruct,instruct,A,192,delta_coupling,0.9188195025106408,0.8955350646299508,0.9389807516975046,1.2147847127908068e-78,0.8803135935762147,1.9179431724957992e-63,9.718277702326454e-78
qwen_instruct,instruct,A,480,raw_coupling,0.8923541512191319,0.8688137644634053,0.9107584345170401,2.8984096233499214e-167,0.8463579486022075,7.236036127191843e-133,
qwen_instruct,instruct,D,192,delta_coupling,0.8620578605239696,0.8185768798656271,0.8965479518772879,5.57492903188239e-58,0.8488779399397772,1.6776598088546442e-54,
qwen_instruct,instruct,D,480,raw_coupling,0.88443486610825,0.863563342651332,0.903349069435053,2.5060140640702207e-160,0.868969266359663,3.870847600902556e-148,
