model,dimension,dim_label,r_RS,p_RS,rho_RS,delta_mean,delta_std
gemma_base,V,Valence,0.6817527453495541,1.351115571952267e-115,0.666521502761569,0.3763752109246302,0.6207426862562568
gemma_base,A,Arousal,0.7233914484357071,1.2279168301081435e-136,0.7102309109354344,0.39392053421499457,0.5813170067263611
gemma_base,D,Dominance,0.7174775695081914,2.0370737323291855e-133,0.7053001777519495,0.36858630907215845,0.5590519925601629
gemma_instruct,V,Valence,0.6933676821635593,3.3889241721536974e-144,0.7558996529704488,-2.719041214958972,1.3026734516515512
gemma_instruct,A,Arousal,0.8478030103406735,3.59423076670594e-277,0.8886214792849371,-0.7837829974172436,0.8345541384471895
gemma_instruct,D,Dominance,0.8406966415247238,4.1097499774799316e-268,0.8658853442759684,-0.7925212551568133,0.9845007359545427
llama_base,V,Valence,0.9018986228262524,0.0,0.8877485264015088,0.031037051149662986,0.08233787244993235
llama_base,A,Arousal,0.9367551879208065,0.0,0.9289025560493869,0.06787474503978522,0.0645213075434738
llama_base,D,Dominance,0.9288429666587755,0.0,0.9145601175348391,0.14043995178326613,0.06282068269681153
llama_instruct,V,Valence,0.776336952186536,2.968963129406608e-202,0.7720587613234665,-0.19433166260153065,0.3688650744061268
llama_instruct,A,Arousal,0.832699757824906,1.945108730318746e-258,0.7990028565908909,0.21449800822127363,0.40718527073829425
llama_instruct,D,Dominance,0.9213907628899685,0.0,0.9177314207441978,0.18352053530746226,0.2905732844322288
olmo_base,V,Valence,0.8381168326337188,6.203052759507963e-265,0.8392317573025384,0.9247975922183364,0.3576393879472372
olmo_base,A,Arousal,0.7748846368759569,4.9980158684251574e-201,0.7538723949188637,0.6666419325122731,0.20899896863060877
olmo_base,D,Dominance,0.8033113097335475,7.453170663865499e-227,0.7835812209841956,0.771200070803085,0.22943415285893942
olmo_instruct,V,Valence,0.9123892632147631,0.0,0.8897671924443987,0.11212663575769279,0.11619298698432767
olmo_instruct,A,Arousal,0.9413233092431097,0.0,0.9344803296940937,0.30729527873601353,0.21730730788150385
olmo_instruct,D,Dominance,0.9488459202858671,0.0,0.9420732533781326,0.15599775848889333,0.1575378661777905
qwen_base,V,Valence,0.8900657948579735,0.0,0.8681523625701909,-0.302126563104319,0.1933007651590533
qwen_base,A,Arousal,0.9395030252400896,0.0,0.9283606115009388,0.08794403190694604,0.18036774532360286
qwen_base,D,Dominance,0.9455656116894211,0.0,0.9384965417585004,0.005677662377720146,0.13373479165918686
qwen_instruct,V,Valence,0.9068170570628183,0.0,0.9033940942348233,0.1493608814264415,0.28773559532917886
qwen_instruct,A,Arousal,0.9094276006708703,0.0,0.8889815396493183,0.24229144532365296,0.27240100205122847
qwen_instruct,D,Dominance,0.9211301379161818,0.0,0.9029340137692219,0.10524440739436738,0.16640323015904915
