family,task,sample_idx,pair_id,item_id,initial_emd,best_layer,best_depth,recovery_ratio,recovery_ratio_matched_plain,recovery_ratio_aligned,auc_recovery,auc_recovery_matched_plain,auc_recovery_aligned
qwen,reader,0,pair_0,item_0,1.228977085352051,2,0.6666666666666666,0.6201433479245957,0.6773735038670019,0.5801024445043301,0.2359028119188622,0.262207709537917,0.21764928785789803
qwen,reader,1,pair_1,item_1,1.3397384852139793,2,0.6666666666666666,0.7100518645950843,0.7301264044111365,0.7069922148776064,0.31378190966120606,0.3154457381326291,0.31959041878355965
qwen,reader,2,pair_2,item_2,2.0421803878119986,2,0.6666666666666666,0.722787617062896,0.7249691494147095,0.6579370290287263,0.2847168266150654,0.28970821499842325,0.2666139456142672
qwen,reader,3,pair_3,item_3,2.4489075959310176,2,0.6666666666666666,0.5721744687206656,0.6010717141759586,0.5404349391582745,0.292111325615835,0.3180686277591864,0.28558347337292167
qwen,reader,4,pair_4,item_4,2.201388985130313,2,0.6666666666666666,0.6569278400653383,0.6547518349703041,0.5983772517322488,0.25252542208470696,0.25580176764034396,0.24052002354969876
qwen,reader,5,pair_5,item_5,2.3807283923905462,2,0.6666666666666666,0.5675253427153912,0.594908375077695,0.5618279034348712,0.2438607855972913,0.2543551981554797,0.24251034732801618
qwen,reader,6,pair_6,item_6,1.4963242960202767,2,0.6666666666666666,0.4956343745109063,0.5401407676820285,0.46322118258884976,0.23776771989410866,0.2545673269599542,0.22432428406159866
qwen,reader,7,pair_7,item_7,1.529943371639969,2,0.6666666666666666,0.74294505203628,0.796416244951498,0.7004502660816965,0.26119509128410456,0.2729906041156698,0.25324446863485794
qwen,reader,8,pair_8,item_8,1.6542983374719518,2,0.6666666666666666,0.5394146987285545,0.5963635749669061,0.5114275018889138,0.26476215802222947,0.2703938968812329,0.25865319233790496
qwen,reader,9,pair_9,item_9,1.7939317929625143,2,0.6666666666666666,0.5118472841564925,0.5033246771826799,0.5043559777448766,0.20630123963997427,0.21498085769005965,0.206421068755815
qwen,reader,10,pair_10,item_10,1.9196241148714492,2,0.6666666666666666,0.5907574015050364,0.6081613144469373,0.596579530907009,0.2681422879633769,0.27956121807535844,0.2716194110897391
qwen,reader,11,pair_11,item_11,2.249884932721593,2,0.6666666666666666,0.4743178089500144,0.49222722244690065,0.4511035318306035,0.20920054866327975,0.22273619648577364,0.20106640086146205
qwen,reader,12,pair_12,item_12,1.490286094864254,2,0.6666666666666666,0.6369480105685144,0.6114960247566081,0.5706617176157096,0.24082577372379504,0.24184342880360105,0.22281632390566725
qwen,reader,13,pair_13,item_13,2.0124588940545736,2,0.6666666666666666,0.6856790557927035,0.7215542437720616,0.6343013949909605,0.34899074633917515,0.3634088097044874,0.3330036019237577
qwen,reader,14,pair_14,item_14,2.1641136512463035,2,0.6666666666666666,0.6716626831426806,0.7041897479359999,0.6209420222516275,0.29827251924849635,0.31250987818960807,0.28424133724240763
qwen,reader,15,pair_15,item_15,1.5558910438926705,2,0.6666666666666666,0.8654914736078632,0.934486618215355,0.8106247940787297,0.36104972807563884,0.39555332699873047,0.3425291340432373
qwen,reader,16,pair_16,item_16,2.2871815818274728,2,0.6666666666666666,0.615032708631685,0.6455245981656861,0.5593928196772994,0.31558623831622923,0.32908553750158115,0.28246534021361647
qwen,reader,17,pair_17,item_17,1.2947451536017074,2,0.6666666666666666,0.6246124385641562,0.6370927827629757,0.616521550114248,0.30525432690751114,0.2941670770676917,0.2929765251505035
qwen,reader,18,pair_18,item_18,1.4501053309860157,2,0.6666666666666666,0.6305728633275104,0.6721381845340354,0.6212665209842246,0.2818499098927325,0.29724958536245333,0.2949198679304049
qwen,reader,19,pair_19,item_19,1.9890661997977224,2,0.6666666666666666,0.6667795121207509,0.689662053784868,0.6051899716365885,0.3285750682331746,0.33781534677424374,0.30141161639050384
qwen,reader,20,pair_20,item_20,2.196091328244621,2,0.6666666666666666,0.75190715483051,0.7865923884467928,0.7134438854406175,0.26396693592143117,0.27331349883133177,0.26308201225570543
qwen,reader,21,pair_21,item_21,2.268774265616555,2,0.6666666666666666,0.603562378286397,0.6160974057114134,0.5940502273995898,0.30901699654352427,0.3189921473533457,0.29447328716740157
qwen,reader,22,pair_22,item_22,1.2654160602534281,2,0.6666666666666666,0.572987137133974,0.6138264450171269,0.5535668279516692,0.3088976790404453,0.3240812918034016,0.3119860921206268
qwen,reader,23,pair_23,item_23,2.3023657774125987,2,0.6666666666666666,0.676586352880985,0.7393575494758449,0.650464946111317,0.31161111531445795,0.3356105015848695,0.30272166464210726
qwen,reader,24,pair_24,item_24,2.4235581711895473,2,0.6666666666666666,0.725456820856984,0.7414012976724539,0.6898184259006999,0.3101985194463668,0.3246687301571599,0.28369566089385473
qwen,reader,25,pair_25,item_25,2.2741661027097226,2,0.6666666666666666,0.6552696806505734,0.6725827313160386,0.6071005063564595,0.32995192895184605,0.35707246510849255,0.29561272568375546
qwen,reader,26,pair_26,item_26,2.1132694737947224,2,0.6666666666666666,0.5000482480658909,0.49944509681350624,0.4727669837643872,0.2839243718932367,0.29566724725891474,0.26164925894806684
qwen,reader,27,pair_27,item_27,2.3885751225253538,2,0.6666666666666666,0.5403496891038131,0.6088272055269757,0.49377197292379293,0.2717882950444038,0.3020834681252803,0.24522486011134664
qwen,reader,28,pair_28,item_28,2.314664049618595,2,0.6666666666666666,0.7152736368511339,0.7673510642766287,0.6879229639527904,0.3345189850835971,0.3580890232999556,0.3218150075487476
qwen,reader,29,pair_29,item_29,1.8907713361526106,2,0.6666666666666666,0.604047844715517,0.6454340848938932,0.5755383890327431,0.3000246272830003,0.3278645537157652,0.28961433259324465
