id,text,human_writer_v,human_writer_a,human_writer_d,human_reader_v,human_reader_a,human_reader_d,w_ev,w_ea,w_ed,w_gv,w_ga,w_gd,w_p555,r_ev,r_ea,r_ed,r_gv,r_ga,r_gd,r_p555,s_ev,s_ea,s_ed,s_gv,s_ga,s_gd,s_p555
110CYL068_1079_1110,If I wasn't working here.,3.0,3.2,3.0,2.6,3.0,2.6,3.871099482077476,3.8496921835570976,4.037806274444229,1,1,1,0.0032865599901874274,3.7444525720687807,3.796067891284118,3.8710245055725343,1,1,1,0.003429134971106771,4.5469166145411615,4.308804334198807,4.54791525083551,1,1,1,0.004407257532125023
110CYL068_1946_1997,"I've got more than a job; I've got a career.""",3.4,3.2,3.8,3.17,3.5,3.0,3.061361864944086,3.5566236426181184,3.6355270937171102,1,1,1,0.0030721373404039467,2.8050407248214855,3.178218460821843,3.2461536449806183,1,1,1,0.002700429481380031,4.125885399642889,4.0736384265055445,4.281982323839098,1,1,1,0.005523267364216998
110CYL069_267_291,He has no time to waste.,2.8,3.2,3.2,3.0,3.5,3.5,3.035917317112177,3.634448539945451,3.6301088533203387,1,1,1,0.0024393988302152266,2.7162972429571703,3.4398129501764654,3.3324204009325618,1,1,1,0.002343006982742306,3.925316844075149,4.264843784533219,4.2848201043203,1,1,1,0.003906977602329907
110CYL069_313_453,"With the help of friends like you, Goodwill has continued to adapt our services to meet the human needs of our changing society.",3.2,3.0,3.2,3.6,3.2,3.6,3.1494167567477587,3.755429229008485,3.888329174709294,1,1,1,0.003265242599268286,2.7576111825806757,3.583569068800538,3.7162355312436377,1,1,1,0.002710714468689973,3.8951883412912855,4.297836213664885,4.497808946575303,1,1,1,0.004834026000890593
110CYL069_3152_3165,Real results.,3.0,2.5,3.17,3.0,2.75,3.0,4.1728776270314665,4.114571337636111,4.292029079471655,1,1,1,0.004342417555186522,3.684681529481769,3.8563205660849906,4.006383647959279,1,1,1,0.004011941588904666,4.2328475994915555,4.271661088127161,4.49693054246169,1,1,1,0.005293017670679009
110CYL069_3409_3451,Your support helps provide real solutions.,3.4,3.2,3.4,3.4,2.6,2.6,3.55077511338646,3.817410180068034,4.043085959335385,1,1,1,0.004718047348051124,3.0145885762871716,3.636047514426412,3.692493894990411,1,1,1,0.003872775530480369,4.024740962372551,4.162499625084818,4.349050515036694,1,1,1,0.006433982132890374
110CYL069_545_682,"The gift that I am asking you to make will be used to continue our mission of helping people prepare for, find and keep jobs.",3.2,2.8,2.8,3.2,3.2,3.0,3.2414057695103606,3.7673098656324866,3.8632573569693247,1,1,1,0.002849217588936901,2.6460771726974404,3.544907932300713,3.520844111229991,1,1,1,0.0024054703916993455,3.897281190807879,4.339821390499061,4.388155045884903,1,1,1,0.004583033619368457
110CYL070_1342_1371,James M. McClelland President,3.0,2.8,3.0,3.0,2.67,3.33,4.016551860823429,4.151354880626412,4.398299160544685,1,1,1,0.005185015048385855,3.6819591666350933,4.124340724129068,4.243425686824964,1,1,1,0.005024097803525372,4.242056783716782,4.385213299895126,4.61782136634241,1,1,1,0.005620562915625119
110CYL071_1114_1167,"At last, he has found success in a job that he loves.",3.5,3.0,3.25,4.0,3.6,3.4,3.21374598225914,3.8712329047676772,3.9441476996831906,1,1,1,0.003266772832303072,2.918654590858468,3.4943161609261617,3.496809890136223,1,1,1,0.002859700440173948,4.01342457236036,4.210075743691168,4.44579549350192,1,1,1,0.004990593010587954
110CYL071_1837_1955,Their successes at work also saved taxpayers more than three-quarters of a million dollars in public assistance.,3.6,2.6,3.2,3.8,3.2,3.4,3.4389690897795306,3.8483985142434074,4.035071415545048,1,1,1,0.0027936738839373526,2.614368270817347,3.3805462188496667,3.460677793118471,1,1,1,0.0016315601381104471,3.676921917985239,4.240003620013734,4.395784646877878,1,1,1,0.0042187579733360915
110CYL071_1962_2031,"The savings are counted in more ways than dollars and cents, however.",3.0,2.2,3.2,3.0,2.67,3.67,3.041790596537863,3.567473827315091,3.686608943909391,1,1,1,0.003128906185687203,2.548171469054596,3.208858496716348,3.28607670459618,1,1,1,0.001955894412270425,3.643260479471473,3.86661307521378,4.086904204361039,1,1,1,0.004845026403491001
110CYL071_2392_2518,Your gift will help give new meaning to the word success -- for people who have seldom had reason to use the word.,3.6,3.0,3.2,3.6,3.4,3.0,2.999771629447367,3.5094492260679093,3.6817487879965594,1,1,1,0.003933702252637469,2.6865164713792407,3.1582578472315532,3.4430338628157227,1,1,1,0.003257600053916875,3.7760660449165533,4.059665328277492,4.338743866979087,1,1,1,0.006029618345724924
110CYL071_246_283,Michael was born with cerebral palsy.,2.0,3.5,2.5,2.2,3.0,3.0,2.96533935186241,3.582635861856275,3.7210863909317147,1,1,1,0.0030827603403213175,2.4496795195782273,3.3955864113504846,3.3747935984468453,1,1,1,0.00212747879856907,3.739954725243374,4.153879661385285,4.242564940495388,1,1,1,0.005226001679365458
110CYL071_458_550,His most recent job lasted only a year before cut-backs eliminated his position.,2.75,3.0,3.0,2.0,3.0,2.75,3.5029772400309573,4.010742721586933,4.122416195739987,1,1,1,0.0029898502967348746,2.923783076553174,3.6750016064284607,3.624524762192892,1,1,1,0.002347422022967883,3.918175441912076,4.308321960176108,4.448097123098217,1,1,1,0.0042208614270012905
110CYL071_606_664,He resorted to public assistance dollars to survive.,2.6,3.2,3.0,2.8,3.0,3.2,2.772588729195366,3.4453975666303127,3.474630339117147,1,1,1,0.0025200208110637175,2.3210026049860906,3.13706533379641,3.1273293845787435,1,1,1,0.0018081813256295176,3.6884589641616286,4.06678149082266,4.153131600819961,1,1,1,0.004225520316093867
110CYL071_665_698,"Finally, Michael called Goodwill.",3.0,3.2,3.0,3.2,3.0,3.0,3.9719152228709276,3.9916562150282724,4.251644629775647,1,1,1,0.004497554735037148,3.3995131483868635,3.738850465815256,3.820543565688321,1,1,1,0.003513848180218455,4.331731985368008,4.299660184468235,4.50728886492384,1,1,1,0.005987012471064184
110CYL200_1611_1668,"Some are blind, deaf or have other physical disabilities.",2.8,3.0,3.0,2.0,3.0,3.0,2.9571295598265666,3.487616848712039,3.5028039441050676,1,1,1,0.0032962357641392,2.3598703815925397,3.1132485850971676,3.083357336394637,1,1,1,0.001974597161756165,3.7662063167670428,4.03864480957869,4.1700347723346844,1,1,1,0.005818363960484976
110CYL200_2548_2558,"Sincerely,",3.25,3.25,3.0,3.2,3.0,3.2,4.610317362659071,4.193201228233002,4.444358071287706,1,1,1,0.005242413221919916,4.154024673179763,3.8891260245110955,4.131485107418374,1,1,1,0.005095273713555704,4.63770852242455,4.358992725671147,4.626852938195556,1,1,1,0.005890362801276476
110CYL200_481_588,He went to the Center Township Trustee for food stamps until he could find a job and a place to live.,2.8,3.0,3.0,3.2,3.0,3.0,2.7259315467305543,3.52740173062588,3.5731017585993845,1,1,1,0.0022880093384141185,2.569576464572437,3.2081453235975474,3.3214429349032972,1,1,1,0.002352797147676418,3.7584554076907457,4.118411384584408,4.307758363029917,1,1,1,0.0040041183261196045
