id,text,human_writer_v,human_writer_a,human_writer_d,human_reader_v,human_reader_a,human_reader_d,w_ev,w_ea,w_ed,w_gv,w_ga,w_gd,w_p555,r_ev,r_ea,r_ed,r_gv,r_ga,r_gd,r_p555,s_ev,s_ea,s_ed,s_gv,s_ga,s_gd,s_p555
110CYL068_1079_1110,If I wasn't working here.,3.0,3.2,3.0,2.6,3.0,2.6,4.208414653067271,4.061768373342966,4.735142811548645,1,1,1,0.009013703228556779,4.458673096389845,4.211920619651185,4.807042749241836,1,1,1,0.009985972399419755,4.262263779520086,4.412076166066223,4.941371768601881,1,1,1,0.010103124941734053
110CYL068_1946_1997,"I've got more than a job; I've got a career.""",3.4,3.2,3.8,3.17,3.5,3.0,5.551477926269593,6.1839689572675285,6.375408251497316,9,9,9,0.013553256137716836,5.708590328302993,6.034308981311805,6.4880338457792055,9,9,9,0.01256896704622565,5.263082981947269,6.043692408317171,6.430143337717453,9,9,9,0.013896618352273446
110CYL069_267_291,He has no time to waste.,2.8,3.2,3.2,3.0,3.5,3.5,4.116601622857212,4.7925162393614205,5.0551337625516055,1,1,1,0.010792685103305204,4.490416662552867,5.03920989670735,5.31938292985182,1,1,1,0.009433951895208707,4.556414901832225,5.5978660190535905,5.505498779685211,1,1,1,0.012283381968252653
110CYL069_313_453,"With the help of friends like you, Goodwill has continued to adapt our services to meet the human needs of our changing society.",3.2,3.0,3.2,3.6,3.2,3.6,5.296508442329978,5.617576816192918,5.903384363650856,1,1,1,0.013289657799786794,5.523230343550144,5.417347790171713,5.95257594440592,8,8,8,0.015617260725320145,5.147274578762258,5.482570636637211,5.925107418951608,5,5,5,0.017548029024960648
110CYL069_3152_3165,Real results.,3.0,2.5,3.17,3.0,2.75,3.0,4.9581928970215925,5.048794140232663,5.544057926813042,1,1,1,0.012432183086835188,5.174999634817233,5.032162429623628,5.598348826680004,1,1,1,0.01124896783591395,4.880116937001825,5.433694820525496,5.737277932564874,1,1,1,0.012437989448608343
110CYL069_3409_3451,Your support helps provide real solutions.,3.4,3.2,3.4,3.4,2.6,2.6,4.941801067961431,4.832174146999877,5.5926175244327165,1,1,1,0.012491537063018943,5.345383265616571,4.943162290316122,5.795576339726763,1,1,1,0.01365196928305291,5.0096674770865395,5.395926288861501,5.843997172267482,1,1,1,0.013973082523782253
110CYL069_545_682,"The gift that I am asking you to make will be used to continue our mission of helping people prepare for, find and keep jobs.",3.2,2.8,2.8,3.2,3.2,3.0,4.829232553125827,5.317385978922687,5.709437868435735,1,1,1,0.012264374249581392,5.226543958335281,5.287530281698869,5.895543616235537,1,1,1,0.014066382386564054,4.922540934136496,5.38133461375858,5.867704164228215,1,1,1,0.013896105030550101
110CYL070_1342_1371,James M. McClelland President,3.0,2.8,3.0,3.0,2.67,3.33,4.674951459058867,4.927760173650647,5.5448513074109655,1,1,1,0.015416748732587094,4.813950509868622,4.92873425225933,5.541836023963194,1,1,1,0.016300583002188576,4.714119846815921,5.292113300821026,5.713379943390834,1,1,1,0.018304517297055223
110CYL071_1114_1167,"At last, he has found success in a job that he loves.",3.5,3.0,3.25,4.0,3.6,3.4,5.239211768788559,5.557585259872761,6.060213301385856,1,1,1,0.014736702836523598,5.626638202377107,5.599133966676945,6.302139266402731,1,1,1,0.013818863901106168,5.153814475352938,5.850361488839404,6.32845180235779,1,1,1,0.01461966496198708
110CYL071_1837_1955,Their successes at work also saved taxpayers more than three-quarters of a million dollars in public assistance.,3.6,2.6,3.2,3.8,3.2,3.4,4.544139769268208,4.640366606347122,5.434524794642799,1,1,1,0.008800196136214905,4.986857560940978,4.772074063752109,5.636586175219545,1,1,1,0.009844331564330901,4.465351300765701,4.848068922107085,5.58113674058188,1,1,1,0.011530241379942002
110CYL071_1962_2031,"The savings are counted in more ways than dollars and cents, however.",3.0,2.2,3.2,3.0,2.67,3.67,4.5800622864074585,4.520944765718621,5.301761433311224,1,1,1,0.014770365784575005,4.993578882882147,4.670690085919916,5.5005118020158905,1,1,1,0.014674235169586464,4.5145906741780975,4.680933423944226,5.434938723104931,1,1,1,0.013970835753568002
110CYL071_2392_2518,Your gift will help give new meaning to the word success -- for people who have seldom had reason to use the word.,3.6,3.0,3.2,3.6,3.4,3.0,4.994564128297844,5.289754088077631,5.738692767208355,1,1,1,0.010071073100360836,5.20933078272218,5.296316323695842,5.753195908652546,1,1,1,0.01067021752926379,4.6655905027642,5.299406216555807,5.760507678638362,1,1,1,0.011028181348574232
110CYL071_246_283,Michael was born with cerebral palsy.,2.0,3.5,2.5,2.2,3.0,3.0,4.179238095458446,4.008202882357609,4.680725782025643,1,1,1,0.014423202993926862,4.563677237247351,4.213187371043575,4.9182770632442425,1,1,1,0.014818677590852501,4.456820718057195,4.705387183540459,5.149920722267777,1,1,1,0.016487890830859553
110CYL071_458_550,His most recent job lasted only a year before cut-backs eliminated his position.,2.75,3.0,3.0,2.0,3.0,2.75,3.910081464284382,3.814290961449377,4.456997618426488,1,1,1,0.006610672174897536,4.4367095614905825,3.979741651759719,4.704994781779402,1,1,1,0.007484630835503177,4.255127430930841,4.1746050442369915,4.786418039639543,1,1,1,0.008710260862138703
110CYL071_606_664,He resorted to public assistance dollars to survive.,2.6,3.2,3.0,2.8,3.0,3.2,3.665395278171082,3.945194580427195,4.358066445438837,1,1,1,0.008849625788637216,4.0650736827649485,4.3043425914978934,4.706313153562982,1,1,1,0.008567298933541115,4.089372001121978,4.6305927687987,4.820434744513239,1,1,1,0.009989754750077195
110CYL071_665_698,"Finally, Michael called Goodwill.",3.0,3.2,3.0,3.2,3.0,3.0,5.015043524975505,5.060120789844705,5.474822580866214,1,1,1,0.008159001943425484,5.3054540839279944,5.049524176792929,5.43211894236255,1,1,1,0.007627782010553894,4.702078338805999,5.182772123315768,5.471857855110358,1,1,1,0.008571452272318716
110CYL200_1611_1668,"Some are blind, deaf or have other physical disabilities.",2.8,3.0,3.0,2.0,3.0,3.0,4.485105737866446,3.9708286473804786,4.752868225280407,1,1,1,0.016469681590603,4.613159223065379,4.1723363548391665,4.905073384053324,1,1,1,0.013880968608313627,4.484993694928658,4.1715437958139745,4.97660890203212,1,1,1,0.014855221102168786
110CYL200_2548_2558,"Sincerely,",3.25,3.25,3.0,3.2,3.0,3.2,4.663725898271333,5.004415343515037,5.477968182736779,1,1,1,0.010876287132564449,4.687019255770517,4.909719644906511,5.421290676258794,1,1,1,0.010867776241272113,4.56323836188392,5.226603109306669,5.544968439876843,1,1,1,0.01029106354220292
110CYL200_481_588,He went to the Center Township Trustee for food stamps until he could find a job and a place to live.,2.8,3.0,3.0,3.2,3.0,3.0,3.9070807049672633,3.9294449081987723,4.570652935802574,1,1,1,0.009129976200890809,4.355680084229468,4.280375948978007,4.884245466212995,1,1,1,0.009187849639880737,4.053391967260583,4.369202720783137,4.853219469197478,1,1,1,0.009990208043813084
112C-L012_1625_1768,Please take a few minutes to send a donation to help one or more of our children successfully cross that threshold into the future.,3.0,2.67,2.67,3.2,3.0,2.8,4.788348335578732,5.145906357969611,5.403091876450317,1,1,1,0.009131809308564783,5.1536305867845185,5.091039725625304,5.497260659183853,1,1,1,0.00974215698837536,4.46940344356147,5.04667120155347,5.330854253972882,1,1,1,0.008898623111446171
