layer,relative_depth,magnitude_self,magnitude_reader,shift_V_self,shift_A_self,shift_V_reader,shift_A_reader,directional_cosine_similarity,mean_pairwise_directional_cosine,discovery_mag_self,discovery_mag_reader,confirmation_mag_self,confirmation_mag_reader
0,0.0,0.025498788820202956,0.036711884577127346,-0.022926311103210625,-0.011161204706307847,-0.03288264849311717,-0.01632464080102284,0.9999699767354023,0.6196274696625186,0.04119471347765156,0.0627886211012435,0.04389156395192165,0.07533953408365478
1,0.06666666666666667,0.035668201336180226,0.058605585886488946,-0.03171225127650188,-0.016326472538006908,-0.05199644956373319,-0.027036714479847266,0.9999917782898187,0.6636019560257272,0.049386623755514135,0.08690063155333222,0.04937976207421187,0.09650994397905344
2,0.13333333333333333,0.022463300092971525,0.04046068754988625,-0.0193753097152952,-0.011366495700227136,-0.034698950590956665,-0.02080985499459014,0.9999532121284646,0.6218093243729029,0.05206656786972939,0.09424378107260108,0.04852397985094035,0.08741582524817472
3,0.2,0.02132203515029583,0.013719271790933612,-0.01695611160863678,-0.012927469283115856,-0.011353839624165462,-0.007701217063700844,0.9984665247209891,0.6644240983982905,0.06242915530371501,0.1093823140188284,0.05585819381082879,0.09744588611943084
4,0.26666666666666666,0.05319599368413983,0.12805152577037685,-0.039031248110854205,-0.03614381572208425,-0.11205082267734977,-0.061982307067828694,0.9709229877866021,0.663337750524739,0.08703672811084677,0.19203443593853128,0.09014213206142886,0.20755462946811556
5,0.3333333333333333,0.016387422847203476,0.06962019235294079,-0.005329197658086408,-0.015496686093939338,-0.061696658637051455,-0.032256681420809834,0.7263288642704167,0.6143353064269125,0.09100379736938118,0.18852569264452676,0.0865373421907802,0.1893382875532121
6,0.4,0.02956166367342801,0.08657157008292801,-0.02034563613258596,-0.021446376139135623,-0.07727283685787674,-0.03903262008319813,0.9414166981836771,0.6876689135198574,0.0992376282385531,0.20463612632893677,0.10115080725998893,0.20928671303655957
7,0.4666666666666667,0.009148541750703289,0.04529817222175316,0.006464743312985538,-0.006473245713053845,-0.04007556687953415,-0.02111571324667001,-0.2953364956399893,0.684861050578581,0.08997411964523631,0.19189667893212903,0.08822818906611189,0.1807580103959392
8,0.5333333333333333,0.005071825200823533,0.07659970405665525,-0.002858408575485439,-0.004189619467600843,-0.06977842928232406,-0.03159882068145691,0.8541622410251641,0.5480845975434897,0.06377816145200992,0.14961401609774688,0.06530394568490744,0.1355884661212045
9,0.6,0.00725169438298221,0.03453904314271772,0.006934244983784028,0.002122102242834161,-0.03117984188388681,-0.014858094134522546,-0.9891102117101073,0.26895927746837905,0.04474808148548414,0.07932577736259823,0.04334518899495077,0.0816488363657935
10,0.6666666666666666,0.005765163343477718,0.007532226348117555,0.003762767793833289,0.004367915624948602,-0.007530983353526376,-0.0001368337976704881,-0.6663291448051109,0.3948858509149549,0.03467144206273125,0.03800912231201419,0.03334177069335407,0.03962711704571285
11,0.7333333333333333,0.026698632520640177,0.020330722925847162,0.02226389882555037,0.014735528071903032,0.015158554413713906,0.013548303317170088,0.9895494685306004,0.5887271622525417,0.028852842556168778,0.028059179234914883,0.03229585276192228,0.030338709984450235
12,0.8,0.009462752505341142,0.003364954684325919,0.007672423926587704,0.005538735963021217,0.0008547584984856145,0.003254582605624501,0.772079302102528,0.33960009270898517,0.014456703879857294,0.017242880813278835,0.016068432192310387,0.014663704764639468
13,0.8666666666666667,0.004828326914854428,0.002778499384934698,0.003912785387723147,0.002828931124352075,0.0008136011474665026,0.0026567107492016678,0.7975174779813557,0.4425621036528646,0.013704908806947372,0.01626701265642821,0.013894567774292535,0.014636656164808498
14,0.9333333333333333,0.003207882426490372,0.0046274970967851775,0.0024191463418939962,0.00210671323124118,0.0039387995588528535,0.0024289066297278317,0.9865994284593397,0.32568474448712814,0.011398707137957693,0.01043978606864597,0.010174830292870257,0.008906444773346723
15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
