layer,relative_depth,magnitude_self,magnitude_reader,shift_V_self,shift_A_self,shift_V_reader,shift_A_reader,directional_cosine_similarity,mean_pairwise_directional_cosine,discovery_mag_self,discovery_mag_reader,confirmation_mag_self,confirmation_mag_reader
0,0.0,0.02821574256772271,0.032283989593860876,0.027035452812717034,0.008075420723364821,0.031009802054791934,0.008980432095347032,0.9999649454154527,0.49545521030705525,0.03876896288139716,0.04329428048443193,0.036466551879615165,0.04492536117409019
1,0.037037037037037035,0.03380831575925357,0.048554661185559914,0.032047967539168394,0.010767079041495065,0.04664601680558663,0.013479771474971236,0.9990840861444823,0.4018956956434708,0.04513609036231694,0.060363749143987205,0.040427058575166534,0.05547887852450018
2,0.07407407407407407,0.04423949013883319,0.056630388663583935,0.04205053439539306,0.013743545568949236,0.05443853952983893,0.015602766871511622,0.9993244303157907,0.3759786418047888,0.05814388000456661,0.07249773829143324,0.047078862833541034,0.06293532303188192
3,0.1111111111111111,0.04892052294982525,0.05559737415521705,0.04599908843854683,0.01665237005675546,0.05279376514156972,0.017432337053073954,0.9995963682038828,0.375787420137055,0.06177393659747474,0.07435796585261369,0.050964850312248455,0.06521278638079658
4,0.14814814814814814,0.05082552394858183,0.05464099818274169,0.04840243399828422,0.015506071961963958,0.05247328472101873,0.015237882825159236,0.999624452791709,0.23982580569079237,0.061943776736499846,0.07660453841066288,0.05419223153275763,0.06826504813310709
5,0.18518518518518517,0.05175371031142384,0.053547913500923215,0.04927858798499323,0.01581351628209421,0.05124740142714069,0.015526844085900169,0.9998666255226037,0.31952305415417825,0.0627290730898863,0.07399534002419757,0.05503738521613164,0.06520980176467074
6,0.2222222222222222,0.056337798150486645,0.054270218441618674,0.05279246380504891,0.01966985678233518,0.05097947931268485,0.01861046207670687,0.9999780301530213,0.2512415650393592,0.06814446706919153,0.07290159862265716,0.060676779967635576,0.06622272777380438
7,0.25925925925925924,0.049490605989541116,0.051346166740791455,0.04711236778537788,0.015157337591651476,0.04895457343728837,0.015488014028476932,0.999988201641064,0.35252605012191535,0.06767290381947898,0.07313270556279082,0.05806903520595182,0.0658399798068864
8,0.2962962962962963,0.0470884694259194,0.051196640807925686,0.04433721624624767,0.01585986155075819,0.04818464817874165,0.017301321045129773,0.9999992811750891,0.3798466843253692,0.07073430288689038,0.07497281693845813,0.05864838001099145,0.0658545173921302
9,0.3333333333333333,0.05304791424567765,0.05572751402803653,0.04985210868456674,0.018134179482924378,0.052496413382747,0.018699796835600916,0.9999776716620566,0.37145469574509676,0.07553007575401283,0.07694329728878678,0.06228259889726403,0.0685435650097052
10,0.37037037037037035,0.0610945146605757,0.05601228703910599,0.05673371560628001,0.02266771349556543,0.051581150772146506,0.021834861675135268,0.999793467129838,0.38584265270491863,0.08327690442034846,0.07858069841386345,0.07102262297621481,0.07083291538505822
11,0.4074074074074074,0.05526689075488728,0.0524979512889469,0.052195324258909846,0.018168030691847192,0.04982353396179109,0.016542380514753374,0.999896411689445,0.2717851909987021,0.07534248470549078,0.07989631119848324,0.06372209565960119,0.07364725390704348
12,0.4444444444444444,0.05279846927932012,0.053648798253667335,0.0497275458263885,0.017744000234550902,0.0505556814461775,0.017953178759632607,0.999998851769711,0.28565584895199225,0.07526987863420423,0.07977773374355356,0.06304962700973717,0.07421096111080373
13,0.48148148148148145,0.03908325705350828,0.04029166824295349,0.03559672916908731,0.016136104064279375,0.03682480193168963,0.016350917175866758,0.9999701378005585,0.35520487892428115,0.07300657853173297,0.08220978204073807,0.05943106600208733,0.07851583029304339
14,0.5185185185185185,0.03682046259049422,0.035606095310098784,0.03313428335466032,0.01605819827848269,0.03188316401702996,0.015851115906932386,0.9999490879237786,0.3107211173460843,0.07110311005476155,0.07796705920093931,0.05772133804661426,0.07526191452595445
15,0.5555555555555556,0.01050582465345751,0.010923545253957737,0.0006548909014994104,0.010485393152206021,-0.0017250582253039066,0.010786473707128477,0.975687192991115,0.5393627605336581,0.03964897680938679,0.043039041929539675,0.03172832182547076,0.041815053568211635
16,0.5925925925925926,0.031209574185547213,0.028846471004216386,-0.030116953764104327,0.008185756948137243,-0.02500784480700788,0.01437798968930308,0.9673090112533836,0.8729571101878895,0.05979964977348618,0.06760250730411341,0.057035227280975785,0.06434552180249337
17,0.6296296296296297,0.007385096721739647,0.013656283596939807,-0.007384850511664202,6.0303481015965464e-05,-0.013487945852822147,-0.002137615108335706,0.9863621571950715,0.5826333044227158,0.023040090769137073,0.025443104571134894,0.020992741828115443,0.020921160334710965
18,0.6666666666666666,0.005673046609243643,0.00811595910370717,-0.005407968169609069,-0.0017138664204499516,-0.007258247477716602,-0.003631340761381103,0.9877023734806282,0.3544842641987937,0.018726569426780356,0.01779242262192429,0.016153290584431983,0.016259955335803464
19,0.7037037037037037,0.003697524717726124,0.010397722639235782,-0.0030160024956268606,-0.002139022670419414,-0.009591879091527354,-0.0040135385355066265,0.9757670697685265,0.43448569250163666,0.013172220518274791,0.01743663287020335,0.012049989178525072,0.015187721757622348
