family,alignment,format_condition,task,pair_id,layer,relative_depth,c_v,c_a,c_v_zero,c_a_zero
llama,base,plain,reader,pair_10,0,0.0,0.0010908732426662127,0.0005526192007252462,0.019418772607315837,0.005674972204340101
llama,base,plain,reader,pair_23,0,0.0,0.00021800514051228959,0.00018828018222194487,0.012349677012823967,0.001063586211729195
llama,base,plain,reader,pair_25,0,0.0,0.0011834654346918327,0.0009573983247985751,0.013296689843486753,0.004775226219795314
llama,base,plain,reader,pair_30,0,0.0,0.0015114588648170724,0.0005900533127496388,0.020905185461546516,0.008069921776912459
llama,base,plain,reader,pair_39,0,0.0,0.0013126168606865107,0.0001428983164517561,0.012922752017401784,0.004973653732117889
llama,base,plain,reader,pair_44,0,0.0,8.604414878998767e-05,0.00019485420783560414,0.02148341212169047,0.007367390275027752
llama,base,plain,reader,pair_54,0,0.0,0.0003774341396365344,5.849338504848589e-05,0.01927279996831377,0.006377400619379969
llama,base,plain,reader,pair_55,0,0.0,0.00037543310874621483,1.975465253956088e-05,0.01615621188517391,0.005913338389739842
llama,base,plain,reader,pair_59,0,0.0,0.000107391911217114,0.0004945363651573942,0.019393851260277373,0.007632035282638228
llama,base,plain,reader,pair_60,0,0.0,0.0005011674445958292,0.0003728108085194748,0.019567800383583744,0.008031641814812751
llama,base,plain,reader,pair_63,0,0.0,0.0008550896129042584,5.54294624413032e-05,0.017718310715553187,0.0052143896826075675
llama,base,plain,reader,pair_66,0,0.0,0.0005462297030449648,0.0005185185903835432,0.013920234219790828,0.003684126381308772
llama,base,plain,reader,pair_67,0,0.0,0.0006146127345525443,0.001042390483766198,0.014475032970275414,0.0063939963664259025
llama,base,plain,reader,pair_70,0,0.0,0.0004574760773534692,0.0013982786333093244,0.01755577180641854,0.0062945689026792095
llama,base,plain,reader,pair_72,0,0.0,5.155349622665284e-05,6.131808953391271e-05,0.015361723394160087,0.003263985461498642
llama,base,plain,reader,pair_76,0,0.0,0.001890776098097291,0.0003437744191874259,0.022735933191113666,0.007957402776531453
llama,base,plain,reader,pair_78,0,0.0,0.0013863623449301699,0.0001134775077860084,0.021732607659049386,0.0071362103751608785
llama,base,plain,reader,pair_86,0,0.0,0.0005728434957719131,0.00016969049664705693,0.01197553142053387,0.0036873352611124233
llama,base,plain,reader,pair_88,0,0.0,0.0011429774726448017,0.0005410308475539694,0.01898244814938188,0.0043206432019964325
llama,base,plain,reader,pair_96,0,0.0,0.0009682333056524328,9.196483169926495e-05,0.02346421740160931,0.007520415051508245
llama,base,plain,reader,pair_101,0,0.0,0.0004912118699191836,0.00032244642760925757,0.016703038683257176,0.0023609293445421287
llama,base,plain,reader,pair_107,0,0.0,0.0019333720288567946,0.0007369894592033077,0.01999800992930645,0.007305784116339531
llama,base,plain,reader,pair_110,0,0.0,0.0001897425088150939,0.0002785816508890093,0.014968138956946042,0.0037317076941105753
llama,base,plain,reader,pair_120,0,0.0,0.00013558402870295083,0.0003598784381910747,0.01956830231983364,0.007970111008631875
llama,base,plain,reader,pair_136,0,0.0,0.00017808121322371306,0.0002499976986793939,0.017206423006873806,0.0047112709965233535
llama,base,plain,reader,pair_137,0,0.0,0.00016041072933870026,0.0003015763924469894,0.022478666573547024,0.008485491611736506
llama,base,plain,reader,pair_139,0,0.0,0.00015563159618370292,0.0004221684207772469,0.015379986452392913,0.006501282748769377
llama,base,plain,reader,pair_158,0,0.0,0.00019210890432130867,0.00023483886116881791,0.01505054557113894,0.0037913421426516436
llama,base,plain,reader,pair_168,0,0.0,0.0005818756384377011,5.0723888949555374e-05,0.0190353342816465,0.008605130003948247
llama,base,plain,reader,pair_174,0,0.0,0.00010857410217024466,0.0006073396939063613,0.01565398326851053,0.00435041440969286
llama,base,plain,reader,pair_184,0,0.0,4.55643837948827e-05,0.0007169316556216998,0.01107608546325789,0.00013025075786821105
llama,base,plain,reader,pair_198,0,0.0,0.0016906055478402848,0.0003117792211115855,0.014504072836866833,0.006981168253185288
llama,base,plain,reader,pair_199,0,0.0,0.0003775285364291392,3.212554008946711e-05,0.013910864756277341,0.005239365440426802
llama,base,plain,reader,pair_208,0,0.0,0.0014545531125218503,0.00035575320094238805,0.02019063044763314,0.005604688980953121
llama,base,plain,reader,pair_209,0,0.0,0.00047025830171865124,0.000697784930189016,0.02160516256617484,0.00880072585573366
llama,base,plain,reader,pair_210,0,0.0,5.033694992384596e-06,0.0007961539844831833,0.02523395960724084,0.010511166857389398
llama,base,plain,reader,pair_213,0,0.0,0.0008269281358481706,0.0011282063374631335,0.012789911461916326,0.005728530762053374
llama,base,plain,reader,pair_215,0,0.0,6.185269970160334e-05,4.1965839619351186e-05,0.023165708523918305,0.008643291900909844
llama,base,plain,reader,pair_218,0,0.0,0.0013839704952056664,0.0003938206474236594,0.019265227363105986,0.006288140497142436
llama,base,plain,reader,pair_221,0,0.0,0.0003617237851463173,4.179307669893717e-05,0.011821126966506057,0.002936403374416585
llama,base,plain,reader,pair_235,0,0.0,0.0008048903516284511,0.0005035952375340713,0.021501642154400535,0.007750713440312751
llama,base,plain,reader,pair_237,0,0.0,0.00036640847185243075,0.0005943920693205484,0.020782291522531082,0.006970468095462756
llama,base,plain,reader,pair_244,0,0.0,0.0011554072388699765,3.6873909851742326e-05,0.01619119644083966,0.004657479891353233
llama,base,plain,reader,pair_247,0,0.0,0.0006827885294669045,0.00017841573277799228,0.020690219892946615,0.006200954407340475
llama,base,plain,reader,pair_254,0,0.0,0.0006062196001446196,0.00042329061033807847,0.016747269142517673,0.004964195293024609
llama,base,plain,reader,pair_256,0,0.0,0.00013601534013574224,0.00025568491840388674,0.019153193792861956,0.006806944346623212
llama,base,plain,reader,pair_259,0,0.0,0.0003129242249029218,0.0003652312967288296,0.021530830818912605,0.007244583772793689
llama,base,plain,reader,pair_260,0,0.0,0.0011128909189084268,0.000711988342994907,0.029048823153843273,0.012561813275063116
llama,base,plain,reader,pair_261,0,0.0,0.0005349145156570145,3.9714273471602723e-05,0.02256851598505616,0.010050080771041081
llama,base,plain,reader,pair_265,0,0.0,0.0005282666659560675,0.0004114902213503413,0.016511983426816812,0.004373621043197495
llama,base,plain,reader,pair_275,0,0.0,0.0007875653689257689,0.001109690139200481,0.01879925726760412,0.008708243917913805
llama,base,plain,reader,pair_277,0,0.0,0.0008479065764790406,0.0012201449661422004,0.01996794542011404,0.005712967769587962
llama,base,plain,reader,pair_280,0,0.0,0.0006142571257159446,0.00014549565666666098,0.021311563403580536,0.00597760915813339
llama,base,plain,reader,pair_281,0,0.0,0.0005249143353163177,8.052575067818424e-05,0.02020311883523096,0.007869659864741863
llama,base,plain,reader,pair_289,0,0.0,0.00101194710518282,0.00017604947021432338,0.014681720506073859,0.0037855048573369743
llama,base,plain,reader,pair_292,0,0.0,0.0008732919020530971,0.00010750480447541122,0.01625489050155693,0.005709524925984866
llama,base,plain,reader,pair_294,0,0.0,0.0015108881609622316,0.00041513238005119746,0.01368820453746089,0.0025768640764942674
llama,base,plain,reader,pair_296,0,0.0,0.001289631814822556,0.0003948532918887082,0.019511126461325468,0.008145275147929176
llama,base,plain,reader,pair_298,0,0.0,0.0012510622120611714,0.00019616748430184572,0.018044287299153083,0.0033636485258030646
llama,base,plain,reader,pair_299,0,0.0,0.0006195685463117329,0.0004101502275686286,0.01951268378858728,0.008584457689478242
