layer,relative_depth,dataset,target_V_human_r2_reader,target_V_human_r2_self,target_V_human_pr_reader,target_V_human_pr_self,target_A_human_r2_reader,target_A_human_r2_self,target_A_human_pr_reader,target_A_human_pr_self
0,0.0,EmoBank,-0.02630925208716861,-0.03451917283895267,0.05451473034862153,0.020681358537376203,-0.00642360874922554,-0.035393694028880596,0.1283662734778716,0.04608062749292245
1,0.04,EmoBank,-0.027415442114903987,-0.02817184352111024,0.04359316995148317,0.04294497102789108,-0.007973989454992392,-0.025408099258814154,0.12646435183961902,0.07454082307937157
2,0.08,EmoBank,-0.03713258000983033,-0.030103481936162302,0.024682201321391803,0.0329157102895706,-0.011708788407928772,-0.021072869075933198,0.12513854408904185,0.09099849952605651
3,0.12,EmoBank,-0.03524724858103201,-0.027762049796574484,0.030622720310798317,0.03275799035073093,-0.015879260277450902,-0.027817070493045604,0.11669164194628444,0.07719360708480687
4,0.16,EmoBank,-0.022549503768501733,-0.015909935311424928,0.061205208312990166,0.08042734725622284,-0.01826794616022842,-0.016725880250849867,0.10077671618229411,0.09982243363757008
5,0.2,EmoBank,-0.027343400029806952,-0.013610655115603665,0.04716738654241801,0.08245001818079747,-0.009785123245383609,-0.023765109941361162,0.11477951144532346,0.0712934930430802
6,0.24,EmoBank,-0.012082800941760619,-0.013416279006036147,0.07931531392559711,0.07459272531311531,-0.012185186772146972,-0.038666246179621666,0.1119974062338208,0.039370372455882034
7,0.28,EmoBank,-0.02276634012867551,-0.015147835269673449,0.06220701212297759,0.0751540201068276,-0.013002752860902245,-0.03909737169275718,0.11531556301584803,0.04386228072832121
8,0.32,EmoBank,-0.011030229549711335,-0.005173344612330322,0.09775083208822767,0.10906062237837075,-0.012229767058692387,-0.036553278459829475,0.11569293772120699,0.0463141770533477
9,0.36,EmoBank,-0.019441928809651454,-0.019696442356996302,0.07090908479555384,0.07463879759273909,-0.009409525920886619,-0.03666804313064054,0.11969673746092209,0.05818752824585265
10,0.4,EmoBank,-0.022666436734459783,-0.016156856933395858,0.07947913695794308,0.09382413358089166,-0.00904122387233186,-0.021445811634764667,0.12279085632878516,0.089618383874937
11,0.44,EmoBank,-0.022021810263010755,-0.022767226225129278,0.07620738343753877,0.07660673163420662,-0.0027797058209528824,-0.024272994327662945,0.143548208438195,0.09540462821238199
12,0.48,EmoBank,-0.012500320021830547,-0.012448352041589672,0.10735015593923937,0.09765141477084131,-0.005054356140667071,-0.01819116099561957,0.13586097783001438,0.10418205903292135
13,0.52,EmoBank,-0.012928967004280478,-0.010408539005088313,0.09813809772943545,0.10364081369516036,-0.008069994335646813,-0.01977786078184618,0.13083051525821443,0.10807372922764825
14,0.56,EmoBank,-0.011375440784797242,0.003103552163476464,0.10411391513845134,0.13627433221893445,-0.007395363741427685,-0.012876869865309448,0.13731537427106738,0.11929525792146893
15,0.6,EmoBank,-0.012412054351476964,0.0064292522499470595,0.11447942248531892,0.1454151475346851,-0.013219293866454818,-0.022962620329572303,0.12644228950841682,0.09980431333622887
16,0.64,EmoBank,-0.0020496911594993783,0.004814140384561405,0.13017889094789922,0.14072807303085139,-0.012591900402910472,-0.023667234207130905,0.12315465860993546,0.08902777721146919
17,0.68,EmoBank,-0.01685353421477065,-0.0029906774411398995,0.08922443926926167,0.11292278108983742,-0.011607171997225052,-0.025731416093370596,0.1256813346205444,0.08533551371428481
18,0.72,EmoBank,-0.022341048051115475,-0.0009708911111976359,0.06343051045937756,0.11317836429018101,-0.0026239900675366634,-0.022675952984883896,0.14291137612160715,0.08384831480912502
19,0.76,EmoBank,-0.019200983721002096,-0.01321483786799904,0.07150061228872036,0.08562404699889478,-0.00704092035427295,-0.03346149245580987,0.12877233981537214,0.054818204070854186
20,0.8,EmoBank,-0.025150520956496614,-0.0015616009491454808,0.06114413983394615,0.1148745002609408,-0.0033684623841259143,-0.02621837641430158,0.13795596499290746,0.07044190020299726
21,0.84,EmoBank,-0.023176370262587342,-0.006945466887163132,0.05952112443037508,0.10100356695051031,-0.007432620128678957,-0.022457564387704743,0.12955285846980663,0.08020984160387899
22,0.88,EmoBank,-0.02636346157898073,-0.012040345339572545,0.05264340181652766,0.09585213098280405,-0.010951419047412037,-0.029812795560197225,0.11428526063812201,0.06309336917476417
23,0.92,EmoBank,-0.02019738927307646,-0.003073188566123708,0.07515559779157956,0.1147248908615508,-0.015574074079441225,-0.03394721281364643,0.10818286279288337,0.05714838869246645
24,0.96,EmoBank,-0.01782177677126562,0.001147255532690683,0.08051994796160411,0.12190207578206536,-0.010081753485148726,-0.03340185468813095,0.11726392989381436,0.05737034839115748
25,1.0,EmoBank,-0.01957459743446699,-4.1955215449585026e-05,0.08039906588827292,0.1260716420080534,-0.009846077077133586,-0.02868809955676377,0.12006665672999807,0.07036506387263816
