layer,relative_depth,dataset,target_V_human_r2_reader,target_V_human_r2_self,target_V_human_pr_reader,target_V_human_pr_self,target_A_human_r2_reader,target_A_human_r2_self,target_A_human_pr_reader,target_A_human_pr_self
0,0.0,EmoBank,0.0561527438633066,0.061972775026882254,0.27412964702045584,0.27899145767277866,0.018163537630570326,0.02188078586930753,0.21055313253737684,0.21634185293117184
1,0.06666666666666667,EmoBank,0.10833279393029027,0.11203052009179293,0.3448392890456608,0.350304100009295,0.0318586965059694,0.03910536483775062,0.23609446716740157,0.24722455228418114
2,0.13333333333333333,EmoBank,0.11332580153865379,0.10927838073527063,0.3500359121803162,0.3448883158581939,0.030436231268759495,0.03511963512355187,0.22720554220254205,0.23404843364624447
3,0.2,EmoBank,0.13007321053588927,0.13453736218261036,0.36954103950398853,0.3749015938959146,0.03753115623570258,0.039332914223114135,0.23435912054920754,0.23686299888097856
4,0.26666666666666666,EmoBank,0.1238972125608857,0.12665652267972682,0.3629983689528723,0.36794392276616456,0.03436735997863016,0.039492420779056014,0.22792145753719514,0.23748261064239004
5,0.3333333333333333,EmoBank,0.16134962894056804,0.15916472474453158,0.408569318489636,0.40687697700772146,0.02657007331106498,0.021176226083626792,0.2222199204013371,0.21313793559518276
6,0.4,EmoBank,0.14280417209043972,0.14510949145367236,0.3878148660508064,0.38955409917362016,0.038409044042580276,0.029207339463820814,0.24417570362095384,0.22990670278383032
7,0.4666666666666667,EmoBank,0.3417248558627999,0.3626215210419059,0.5863572359970655,0.6032858468392939,0.09084378863985099,0.08650203850791671,0.31917199609499375,0.3111012238332525
8,0.5333333333333333,EmoBank,0.3182458943652685,0.3105457858972398,0.5661733543696271,0.559262627582427,0.09503538076951323,0.08233486000309653,0.32568561720337585,0.3097856123166285
9,0.6,EmoBank,0.3164424581705809,0.37342718660046315,0.5647536133971776,0.6117873717873034,0.08006983646136723,0.08889253545940112,0.30578012717490616,0.3190621081381811
10,0.6666666666666666,EmoBank,0.328391806539157,0.35905406082271873,0.5749996375291913,0.5998540137831821,0.0692818355218291,0.0762040482556724,0.29165259971331625,0.3007945865479506
11,0.7333333333333333,EmoBank,0.3775201450026846,0.39090982504892136,0.6157465497946728,0.6260977742042056,0.06312332113016739,0.07083005502684869,0.2881149821166494,0.2933798299039116
12,0.8,EmoBank,0.402974082810044,0.4289118094250133,0.6356044459685556,0.6559400249078421,0.06169459257668575,0.055553113437686874,0.2876048429443445,0.2783136074785438
13,0.8666666666666667,EmoBank,0.3766866459321806,0.424586642886284,0.6148776738992529,0.6518811053772342,0.07308304881348304,0.0694207923354021,0.2962708128300975,0.2907674018713629
14,0.9333333333333333,EmoBank,0.4093698828059492,0.4472530755550923,0.6406320937809606,0.6690080315915702,0.09912635818739579,0.09106068071954354,0.3293554714162576,0.3180277770070005
15,1.0,EmoBank,0.3867033327189745,0.433195195972342,0.6225386943129831,0.6583537572627824,0.0944022560703427,0.06819705299371814,0.3162718710243985,0.2804946226220888
