layer,relative_depth,dataset,target_V_human_r2_reader,target_V_human_r2_self,target_V_human_pr_reader,target_V_human_pr_self,target_A_human_r2_reader,target_A_human_r2_self,target_A_human_pr_reader,target_A_human_pr_self
0,0.0,EmoBank,0.0362153410914986,0.025544002610367045,0.23300267395436727,0.21684985262692053,0.04252242135266615,0.04182015873899847,0.24824842010550344,0.24880237738919014
1,0.037037037037037035,EmoBank,0.06608573635377835,0.08857506547035354,0.28383645653070766,0.31441021392910645,0.04245983631106032,0.034776086559040076,0.24894046081205873,0.24067068411929338
2,0.07407407407407407,EmoBank,0.06957849137006755,0.07614352752231357,0.2861377982756351,0.3011879388618923,0.024252103741209674,0.0381534994164493,0.22102069535111907,0.2427717362327871
3,0.1111111111111111,EmoBank,0.09206289767882547,0.09540421404571042,0.32225613123091473,0.32903676675723637,0.01588066293071655,0.02756502201223754,0.20540447501113257,0.21869241872267497
4,0.14814814814814814,EmoBank,0.08968165958373508,0.10366279108911913,0.31855098718458413,0.33690341104593613,0.03182524570830003,0.047075520080333444,0.22953113906928818,0.25258944546267126
5,0.18518518518518517,EmoBank,0.10368881449268219,0.11991862269476095,0.3365158322524091,0.35969893722713386,0.03429665244691571,0.04678327967555973,0.2322387936320995,0.24948402534990527
6,0.2222222222222222,EmoBank,0.09030797022286186,0.11443720615857411,0.31667283253852574,0.3514380098774959,0.0371953917517821,0.06299529229332923,0.2366490602210596,0.2742901045136628
7,0.25925925925925924,EmoBank,0.08393532943534854,0.10199466953470271,0.30814190940141917,0.33465557300731585,0.03920473017137094,0.05438255575684481,0.2391348834537881,0.2636557208175836
8,0.2962962962962963,EmoBank,0.11222822235599628,0.1387370906826364,0.34769382809388055,0.38137920623966404,0.048829975315160756,0.06616121794995211,0.2601651604671272,0.28525553876124443
9,0.3333333333333333,EmoBank,0.12032440291994229,0.15048259977523193,0.3597018014666081,0.3953394320139422,0.04302541358435241,0.05291432068109403,0.2555148781838715,0.26727094900182335
10,0.37037037037037035,EmoBank,0.15329988577328846,0.1752583362840049,0.4008560175100301,0.4273030865907872,0.07512183618546364,0.0793388017235741,0.3040186054096658,0.30622707018788076
11,0.4074074074074074,EmoBank,0.11559099132713124,0.1498832165667644,0.35727503558676094,0.40201614756343734,0.05473678074704369,0.06601834113126448,0.27449372402568917,0.2896380894176412
12,0.4444444444444444,EmoBank,0.14591401460005438,0.20425653037794422,0.39331202490138856,0.4576070186150483,0.0523778325201828,0.07123757514990092,0.2733206500109634,0.29826152731249456
13,0.48148148148148145,EmoBank,0.23441830290652055,0.2876259000723197,0.4883695015074205,0.5390737346179048,0.06600162643792462,0.07983276018154306,0.2927220271432422,0.309502955993324
14,0.5185185185185185,EmoBank,0.20964992351377398,0.2658275889682319,0.46280409223015617,0.517562647594437,0.06558920182968897,0.06332374434152477,0.2881096398353165,0.2856251254701147
15,0.5555555555555556,EmoBank,0.2029884051944072,0.2681021953817012,0.4568020549007762,0.5205006390709508,0.06233093715396587,0.0601270586103031,0.28664993909289616,0.2832435624946117
16,0.5925925925925926,EmoBank,0.17649202013218568,0.20619648942140956,0.42804316751912214,0.45885919714755197,0.0678586251944745,0.08736688039497054,0.2911949216366304,0.315375054902435
17,0.6296296296296297,EmoBank,0.17993296216163757,0.19037404253478096,0.43338721153445325,0.44405549092925267,0.07134474042060635,0.08769817152476667,0.29711826365554156,0.3169557622382621
18,0.6666666666666666,EmoBank,0.17272154834903253,0.17234476240814678,0.4245371878739002,0.42694713938028706,0.06934459735154397,0.08710340372780867,0.29285023041019653,0.3148742954932462
19,0.7037037037037037,EmoBank,0.15013989025336538,0.16183975040636533,0.39837082279290303,0.41299500844822723,0.06590539599805811,0.0902917123020256,0.2925745344150582,0.3207940824918529
20,0.7407407407407407,EmoBank,0.13833804752521361,0.1677082659067295,0.38857023027486587,0.4209954157128655,0.04997972364356129,0.07973882275521427,0.27085602446737944,0.30626607967069
21,0.7777777777777778,EmoBank,0.1507127281569396,0.16956822975207364,0.3992640004736123,0.42346678519533065,0.04271637430376207,0.0614569638139717,0.2627737539644568,0.2831811008068633
22,0.8148148148148148,EmoBank,0.14257688660370527,0.16252669906116546,0.3891598414827065,0.4156998180465658,0.03291702943354469,0.060762907444056324,0.2510635516551428,0.28262115410921246
23,0.8518518518518519,EmoBank,0.16118293838596465,0.17373830718212147,0.41074879302015227,0.42777190251198016,0.033320786444557604,0.057571684160106495,0.25098924564093694,0.2774447910369539
24,0.8888888888888888,EmoBank,0.14960895772887062,0.16014743908519347,0.3983178939141201,0.4152712042828762,0.040069837228123406,0.06385323753670191,0.25937046957308013,0.2860493379645726
25,0.9259259259259259,EmoBank,0.15231774694571998,0.15673078469833535,0.40030821590774696,0.4102635747708935,0.03438567236140688,0.06944788695104576,0.25299705928547644,0.2943760507990621
26,0.9629629629629629,EmoBank,0.17156139952023408,0.167232234339192,0.4211789098422866,0.42131263359477095,0.028217474024348155,0.0709150137203205,0.24375089035594047,0.2956025635301836
27,1.0,EmoBank,0.1444195957352854,0.167800541599057,0.3911129229036643,0.42161740284033195,0.03288165702220491,0.06140986749684285,0.2491918163305289,0.28262577806223227
