layer,relative_depth,dataset,target,reader_balanced_acc,self_balanced_acc,reader_f1_macro,self_f1_macro,reader_roc_auc,self_roc_auc
0,0.0,AIPsy,emotion,0.3523148148148148,0.3486111111111111,0.3538802594410941,0.35087148917478955,0.8033686985596707,0.8054691358024691
1,0.06666666666666667,AIPsy,emotion,0.3888888888888889,0.41574074074074074,0.39520049882186375,0.42349931122443574,0.8344124228395062,0.8408843878600822
2,0.13333333333333333,AIPsy,emotion,0.4541666666666666,0.46481481481481485,0.46858752031222206,0.4783686165061333,0.8690911779835391,0.8660519547325103
3,0.2,AIPsy,emotion,0.47638888888888886,0.4912037037037038,0.48793221721940483,0.5059778980810816,0.8957073045267491,0.895031121399177
4,0.26666666666666666,AIPsy,emotion,0.4782407407407408,0.49444444444444446,0.4910841011541173,0.5082302817758598,0.8911448045267488,0.8964201388888888
5,0.3333333333333333,AIPsy,emotion,0.47777777777777786,0.5083333333333333,0.48054679402635003,0.5151378169867097,0.8936468621399176,0.8946575360082305
6,0.4,AIPsy,emotion,0.48935185185185176,0.49675925925925923,0.4944234546413509,0.5053726991743476,0.8991325874485595,0.8975639146090535
7,0.4666666666666667,AIPsy,emotion,0.5333333333333334,0.5458333333333333,0.5337477644570215,0.5499444668030558,0.9166480195473251,0.9158657407407408
8,0.5333333333333333,AIPsy,emotion,0.5449074074074074,0.5814814814814815,0.549168707169478,0.5852157594056525,0.9101287294238684,0.9257429269547326
9,0.6,AIPsy,emotion,0.5583333333333333,0.6282407407407408,0.5635547913694716,0.6379217115732414,0.9274940843621398,0.9424498456790124
10,0.6666666666666666,AIPsy,emotion,0.6208333333333333,0.6574074074074073,0.6273823643816971,0.6542659613905399,0.9402705761316873,0.9502460133744857
11,0.7333333333333333,AIPsy,emotion,0.6726851851851852,0.686111111111111,0.6853566776082098,0.6943603281738562,0.9550104809670782,0.9644711934156379
12,0.8,AIPsy,emotion,0.6523148148148148,0.6712962962962963,0.6592451470817091,0.6826459675611873,0.9503325617283951,0.9626783050411523
13,0.8666666666666667,AIPsy,emotion,0.6236111111111111,0.6333333333333333,0.6349338682496009,0.6510858852497684,0.9455048868312758,0.957280992798354
14,0.9333333333333333,AIPsy,emotion,0.6175925925925926,0.6180555555555556,0.6257708960541979,0.6399874173927019,0.9462103909465021,0.9496517489711933
15,1.0,AIPsy,emotion,0.6231481481481481,0.5837962962962963,0.6396945718435672,0.606760838102067,0.9457685185185186,0.9453995627572017
