layer,relative_depth,dataset,target,reader_balanced_acc,self_balanced_acc,reader_f1_macro,self_f1_macro,reader_roc_auc,self_roc_auc
0,0.0,AIPsy,emotion,0.4162037037037037,0.4203703703703704,0.4299800399270903,0.43087322750449414,0.8469382716049383,0.8437626028806585
1,0.037037037037037035,AIPsy,emotion,0.4356481481481481,0.4287037037037037,0.4541974922577549,0.44093921796800994,0.8490627572016461,0.8464355709876544
2,0.07407407407407407,AIPsy,emotion,0.44305555555555554,0.46666666666666656,0.4584140169965376,0.47720467687918294,0.8660832047325103,0.8654621913580247
3,0.1111111111111111,AIPsy,emotion,0.4708333333333333,0.500462962962963,0.4698820110802765,0.5052355776477712,0.8582980967078189,0.8625149176954733
4,0.14814814814814814,AIPsy,emotion,0.4527777777777778,0.44814814814814813,0.4572805678511282,0.4546859033525767,0.861105066872428,0.8641238425925927
5,0.18518518518518517,AIPsy,emotion,0.4328703703703704,0.4361111111111111,0.44528734278650806,0.4483688249950199,0.8638059413580247,0.8574691358024692
6,0.2222222222222222,AIPsy,emotion,0.4393518518518518,0.44305555555555554,0.445771686587361,0.45172767189179264,0.8732191358024691,0.8662028034979425
7,0.25925925925925924,AIPsy,emotion,0.44814814814814813,0.42037037037037034,0.46000845167025045,0.4318022068367608,0.8731467335390947,0.8651026234567901
8,0.2962962962962963,AIPsy,emotion,0.4375,0.4240740740740741,0.4508773981523844,0.4311599351735981,0.8631448045267489,0.8539228395061729
9,0.3333333333333333,AIPsy,emotion,0.4453703703703703,0.4305555555555556,0.457581142179549,0.4394793512433305,0.8636345164609054,0.8630787037037035
10,0.37037037037037035,AIPsy,emotion,0.44999999999999996,0.45231481481481484,0.45583439291438105,0.46406678588478223,0.8739068930041153,0.876457304526749
11,0.4074074074074074,AIPsy,emotion,0.4759259259259259,0.4694444444444445,0.48991713342673165,0.4837059917020162,0.8869747942386831,0.8863710133744855
12,0.4444444444444444,AIPsy,emotion,0.4490740740740741,0.474537037037037,0.45971952716638825,0.47830466950881295,0.8955479681069958,0.8917064043209876
13,0.48148148148148145,AIPsy,emotion,0.48796296296296293,0.5203703703703704,0.494871445592213,0.5188553148985409,0.9187046039094651,0.9195466820987654
14,0.5185185185185185,AIPsy,emotion,0.4981481481481482,0.501851851851852,0.5049746554802967,0.5038564313316787,0.9140240483539096,0.9128755144032922
15,0.5555555555555556,AIPsy,emotion,0.5083333333333333,0.5101851851851852,0.5211381109711981,0.5182201168810997,0.9196613940329219,0.9204180812757201
16,0.5925925925925926,AIPsy,emotion,0.5254629629629629,0.5486111111111112,0.5385157453014262,0.5525873856309242,0.932378215020576,0.9276954089506173
17,0.6296296296296297,AIPsy,emotion,0.5611111111111111,0.5277777777777778,0.5742797906649011,0.5243759766311649,0.9272708333333333,0.9283373842592592
18,0.6666666666666666,AIPsy,emotion,0.5643518518518519,0.5472222222222222,0.5756103655191214,0.545194279783507,0.9266894290123457,0.9235300925925927
19,0.7037037037037037,AIPsy,emotion,0.5449074074074074,0.5439814814814815,0.5542476706743946,0.5489957705195911,0.9193024691358025,0.9247461419753087
20,0.7407407407407407,AIPsy,emotion,0.5865740740740741,0.5578703703703703,0.5996431165255002,0.5717388093243128,0.9204876543209877,0.9232530864197531
21,0.7777777777777778,AIPsy,emotion,0.6083333333333333,0.5643518518518519,0.6249126619155009,0.5753978604598469,0.9207599022633745,0.9224962705761316
22,0.8148148148148148,AIPsy,emotion,0.5981481481481481,0.5407407407407407,0.6132229375543832,0.5534438976142504,0.9235366512345679,0.9261581790123457
23,0.8518518518518519,AIPsy,emotion,0.5564814814814815,0.5462962962962963,0.5719057757200723,0.5587764717827459,0.9178909465020576,0.9220707304526748
24,0.8888888888888888,AIPsy,emotion,0.5583333333333333,0.5282407407407408,0.5733227857965731,0.5415670411025066,0.9182752057613168,0.9216647376543209
25,0.9259259259259259,AIPsy,emotion,0.5462962962962963,0.5222222222222224,0.5627544530909201,0.5393922129933792,0.9153760931069959,0.9189507458847738
26,0.9629629629629629,AIPsy,emotion,0.5115740740740741,0.49953703703703695,0.5365847224274991,0.5188526477076381,0.9128265174897119,0.9240146604938272
27,1.0,AIPsy,emotion,0.4300925925925926,0.47777777777777786,0.4559264518961867,0.5046052377950418,0.8976395318930042,0.9067116769547324
