layer,relative_depth,dataset,target,reader_balanced_acc,self_balanced_acc,reader_f1_macro,self_f1_macro,reader_roc_auc,self_roc_auc
0,0.0,AIPsy,emotion,0.42500000000000004,0.41712962962962963,0.43004669370596077,0.4209240152203364,0.8748452932098766,0.8724413580246915
1,0.037037037037037035,AIPsy,emotion,0.4907407407407407,0.49583333333333335,0.5081560648132188,0.506154747145306,0.8883984696502059,0.888561278292181
2,0.07407407407407407,AIPsy,emotion,0.42268518518518516,0.4550925925925926,0.4324881185911277,0.4726235885572294,0.8771288580246913,0.8849687500000001
3,0.1111111111111111,AIPsy,emotion,0.49074074074074076,0.4898148148148149,0.5031820968146085,0.496861735225128,0.8900737525720164,0.8820124742798353
4,0.14814814814814814,AIPsy,emotion,0.4731481481481481,0.43333333333333335,0.48938240500219216,0.444106122443029,0.8883888888888888,0.8786027520576131
5,0.18518518518518517,AIPsy,emotion,0.47268518518518515,0.43472222222222223,0.47889384180521927,0.44206994005958994,0.8861693672839507,0.8745087448559672
6,0.2222222222222222,AIPsy,emotion,0.4574074074074074,0.43750000000000006,0.4719977471778383,0.4490934808378686,0.8947232510288067,0.8829961419753086
7,0.25925925925925924,AIPsy,emotion,0.4550925925925926,0.4421296296296296,0.46569648021133314,0.45527037814129845,0.8992662037037038,0.888235982510288
8,0.2962962962962963,AIPsy,emotion,0.449074074074074,0.4537037037037038,0.45879844620657134,0.46938971935475293,0.8900747170781895,0.8847656250000001
9,0.3333333333333333,AIPsy,emotion,0.4722222222222222,0.4694444444444444,0.4873446404294339,0.4857470874617033,0.8926212705761317,0.8948220164609053
10,0.37037037037037035,AIPsy,emotion,0.4652777777777778,0.462962962962963,0.47982727296674976,0.47901914578149607,0.8986382458847737,0.9030668724279836
11,0.4074074074074074,AIPsy,emotion,0.4925925925925925,0.4773148148148148,0.5065807181310453,0.4904825070189545,0.8943814300411523,0.8878779578189301
12,0.4444444444444444,AIPsy,emotion,0.47870370370370374,0.4634259259259259,0.49585610999044566,0.47719165479966574,0.8869629629629628,0.8870756815843621
13,0.48148148148148145,AIPsy,emotion,0.4921296296296297,0.4939814814814815,0.513439053613455,0.5156578429229537,0.9020978652263375,0.9065698302469135
14,0.5185185185185185,AIPsy,emotion,0.487037037037037,0.4745370370370371,0.5044505978473637,0.4852954418893629,0.9065484825102881,0.8989057998971194
15,0.5555555555555556,AIPsy,emotion,0.49444444444444435,0.5162037037037037,0.5121397063406705,0.5321393908053539,0.9072287808641976,0.902866640946502
16,0.5925925925925926,AIPsy,emotion,0.5004629629629629,0.5157407407407406,0.5148916172029407,0.5283880991582416,0.9074146090534979,0.9003599537037038
17,0.6296296296296297,AIPsy,emotion,0.4949074074074074,0.5388888888888889,0.5129635366360672,0.5539306052103306,0.9112599022633745,0.899803755144033
18,0.6666666666666666,AIPsy,emotion,0.5226851851851851,0.536111111111111,0.5361365595278529,0.5529792010490887,0.910067515432099,0.9016826131687243
19,0.7037037037037037,AIPsy,emotion,0.5148148148148147,0.5037037037037038,0.5337421727082955,0.521777863786896,0.9070389660493827,0.9036939300411524
20,0.7407407407407407,AIPsy,emotion,0.4842592592592593,0.5050925925925926,0.5005975078819787,0.5153392750623235,0.9142489711934156,0.9099345421810698
21,0.7777777777777778,AIPsy,emotion,0.4962962962962963,0.5495370370370369,0.5133658279896172,0.564358724682311,0.9070711162551441,0.9076213991769547
22,0.8148148148148148,AIPsy,emotion,0.48564814814814816,0.5138888888888888,0.4984806682981275,0.5243515568995153,0.897659079218107,0.9004281121399177
23,0.8518518518518519,AIPsy,emotion,0.4745370370370371,0.5273148148148148,0.4882659917456745,0.5337724314589392,0.8979971707818931,0.9009111368312757
24,0.8888888888888888,AIPsy,emotion,0.4462962962962963,0.5115740740740741,0.46217676900308885,0.5213361458603489,0.895639146090535,0.897451903292181
25,0.9259259259259259,AIPsy,emotion,0.4740740740740741,0.5037037037037037,0.48831186317876685,0.519395348680571,0.8978287037037036,0.8995191615226337
26,0.9629629629629629,AIPsy,emotion,0.4564814814814815,0.46574074074074073,0.4664201877769426,0.4786167517657838,0.8942420267489712,0.8942550154320988
27,1.0,AIPsy,emotion,0.4782407407407407,0.4694444444444445,0.48687102172035807,0.48094386917229237,0.8958479938271604,0.8949263117283951
