family,task,sample_idx,pair_id,item_id,initial_emd,best_layer,best_depth,best_layer_native,best_layer_matched_plain,best_layer_aligned,recovery_ratio,recovery_ratio_matched_plain,recovery_ratio_aligned,auc_recovery,auc_recovery_matched_plain,auc_recovery_aligned,delta_emd_matched_plain,auc_delta_emd_matched_plain
llama,reader,0,pair_0,item_0,1.228977085352051,2,0.6666666666666666,2,2,2,0.7829507009847132,0.8100683819359836,0.7472115355389679,0.35576178976115036,0.3629261298745705,0.3318452885848434,0.9955554789675372,0.4460278972913496
llama,reader,1,pair_1,item_1,1.3397384852139793,2,0.6666666666666666,2,2,2,0.5905016100969648,0.5999100250904891,0.5675250153968874,0.2671816593761721,0.2679247905850747,0.2530383876727442,0.8037225482794121,0.35894915308972053
llama,reader,2,pair_2,item_2,2.0421803878119986,2,0.6666666666666666,2,2,2,0.5376462747917315,0.580852528844722,0.4983375464006486,0.28906678996401924,0.308388791044357,0.276302451215229,1.1862056426176946,0.6297855408918384
llama,reader,3,pair_3,item_3,2.4489075959310176,2,0.6666666666666666,2,2,2,0.718509931537364,0.7219220792334922,0.6812376718702777,0.31389789045904587,0.31577495577600245,0.29820347271509196,1.7679204635052128,0.7733036878046335
llama,reader,4,pair_4,item_4,2.201388985130313,2,0.6666666666666666,2,2,2,0.6554745592225907,0.7064277386044531,0.6497910938899466,0.2821568298369925,0.31176264826128386,0.27996817362766513,1.555122242554359,0.6863108598574464
llama,reader,5,pair_5,item_5,2.3807283923905462,2,0.6666666666666666,2,2,2,0.6122593791351062,0.6544575514791405,0.5708913090478583,0.3171110570846382,0.34679548084900597,0.29977545981669895,1.5580856744207874,0.8256258476099605
llama,reader,6,pair_6,item_6,1.4963242960202767,2,0.6666666666666666,2,2,2,0.5675253427153912,0.5905540764983913,0.5270151184462707,0.2567287497595948,0.27465830624055254,0.22668699316459334,0.88366041277836,0.4109778967315164
llama,reader,7,pair_7,item_7,1.529943371639969,2,0.6666666666666666,2,2,2,0.6432683388253171,0.6691364853508985,0.6178636700661287,0.2584122877904421,0.2723132585606871,0.24737029332082017,1.0237409304850724,0.41662386494460424
llama,reader,8,pair_8,item_8,1.6542983374719518,2,0.6666666666666666,2,2,2,0.5990090649298114,0.667869527009176,0.5492708292828071,0.2508224663079335,0.27413947044938936,0.2450584876864429,1.1048554481794586,0.453508470199866
llama,reader,9,pair_9,item_9,1.7939317929625143,2,0.6666666666666666,2,2,2,0.6821169057439146,0.7006322629038598,0.658250927209726,0.28199632636059824,0.28508342666502373,0.2846202270684446,1.256886491598505,0.5114202227410835
