model,family,alignment,task,axis,r,rho
gemma_base,gemma,base,writer,valence,-0.0219096381572053,-0.0231830734567835
gemma_base,gemma,base,writer,arousal,0.0288115519407773,0.0333056256135872
gemma_base,gemma,base,writer,dominance,0.0552311486055202,0.0424399813721707
gemma_base,gemma,base,reader,valence,-0.0039834970073383,-0.0034984116332129
gemma_base,gemma,base,reader,arousal,0.0527816235707193,0.0607589148677708
gemma_base,gemma,base,reader,dominance,0.0495482841227966,0.0497188411111475
gemma_base,gemma,base,self,valence,0.0165826905480853,0.0207771090682133
gemma_base,gemma,base,self,arousal,0.0236373097961253,0.0488783311846212
gemma_base,gemma,base,self,dominance,-0.0012948221575817,0.0098661158607268
gemma_instruct,gemma,instruct,writer,valence,-0.0152568819628037,-0.0470751627486415
gemma_instruct,gemma,instruct,writer,arousal,0.2087759802941504,0.1612623627621022
gemma_instruct,gemma,instruct,writer,dominance,0.1347474453209422,0.1548553844314953
gemma_instruct,gemma,instruct,reader,valence,-0.0115562255929583,-0.0264718292866628
gemma_instruct,gemma,instruct,reader,arousal,0.3198029998931254,0.2783858276611033
gemma_instruct,gemma,instruct,reader,dominance,0.1661132854382144,0.1721673802744716
gemma_instruct,gemma,instruct,self,valence,0.1050982883800782,0.0790698537141176
gemma_instruct,gemma,instruct,self,arousal,0.2542695988972565,0.2191405969498081
gemma_instruct,gemma,instruct,self,dominance,0.1788600225289902,0.1809663924131953
llama_base,llama,base,writer,valence,0.1210977480434254,0.1637172495305192
llama_base,llama,base,writer,arousal,-0.0095134988493912,-0.0070187066512578
llama_base,llama,base,writer,dominance,-0.0212662397807057,-0.0092437231591039
llama_base,llama,base,reader,valence,0.1292948566442626,0.1683995812577901
llama_base,llama,base,reader,arousal,0.1229684713330184,0.0995754647707145
llama_base,llama,base,reader,dominance,0.0254740186874259,0.0185704206419266
llama_base,llama,base,self,valence,0.1092105901248717,0.1496045380565104
llama_base,llama,base,self,arousal,0.074243442529737,0.0570422009942909
llama_base,llama,base,self,dominance,0.0174053258321366,0.0087298979652594
llama_instruct,llama,instruct,writer,valence,0.1744608836825858,0.173349755398031
llama_instruct,llama,instruct,writer,arousal,0.1735167927408301,0.1241925606261468
llama_instruct,llama,instruct,writer,dominance,0.1457475318473592,0.1244407816908748
llama_instruct,llama,instruct,reader,valence,0.0982570983395305,0.1414084033457249
llama_instruct,llama,instruct,reader,arousal,0.2974722539657087,0.2665944745193102
llama_instruct,llama,instruct,reader,dominance,0.2161403490015679,0.1970747361720814
llama_instruct,llama,instruct,self,valence,0.0452402468724488,0.0632331067302142
llama_instruct,llama,instruct,self,arousal,0.2087326550748583,0.1710920875954787
llama_instruct,llama,instruct,self,dominance,0.2542863893513082,0.2296362776964911
olmo_base,olmo,base,writer,valence,0.022706470879935,0.0169999835310727
olmo_base,olmo,base,writer,arousal,-0.0252460149424415,-0.0581831047821011
olmo_base,olmo,base,writer,dominance,-0.0115923612814528,-0.0160462840471468
olmo_base,olmo,base,reader,valence,0.0152437187821361,0.008161404150365
olmo_base,olmo,base,reader,arousal,-0.0132075405345542,-0.0406458993581049
olmo_base,olmo,base,reader,dominance,0.0386059252652381,0.0459494052767752
olmo_base,olmo,base,self,valence,0.0258803834972103,0.0075524752266949
olmo_base,olmo,base,self,arousal,-0.0006865018101092,-0.0190015380029349
olmo_base,olmo,base,self,dominance,0.0493528586336232,0.0452781658584838
olmo_instruct,olmo,instruct,writer,valence,0.3231208323928541,0.3025266510066662
olmo_instruct,olmo,instruct,writer,arousal,0.0957280110802957,0.069054036552078
olmo_instruct,olmo,instruct,writer,dominance,-0.0045693728129164,0.0192750309536995
olmo_instruct,olmo,instruct,reader,valence,0.3377114137392206,0.3345589766071629
olmo_instruct,olmo,instruct,reader,arousal,0.0894884002416158,0.0749793099849629
olmo_instruct,olmo,instruct,reader,dominance,0.1036984561112025,0.0992937189898966
olmo_instruct,olmo,instruct,self,valence,0.4404050920551601,0.4416197068456246
olmo_instruct,olmo,instruct,self,arousal,0.0750986698636857,0.0661316765349918
olmo_instruct,olmo,instruct,self,dominance,0.1265428139461636,0.1169535819336935
qwen_base,qwen,base,writer,valence,0.392866754880701,0.3994924553702685
qwen_base,qwen,base,writer,arousal,0.1557645462630546,0.1533482385264511
qwen_base,qwen,base,writer,dominance,0.1106897687034819,0.1044610730497221
qwen_base,qwen,base,reader,valence,0.4716186511569123,0.465634023634104
qwen_base,qwen,base,reader,arousal,0.2573727735564597,0.2194879959275757
qwen_base,qwen,base,reader,dominance,0.2269250047318112,0.2094789916073441
qwen_base,qwen,base,self,valence,0.3323664010657681,0.324427219133682
qwen_base,qwen,base,self,arousal,0.2177112366498161,0.175631027570234
qwen_base,qwen,base,self,dominance,0.2237701454823551,0.2004604188753461
qwen_instruct,qwen,instruct,writer,valence,0.5334033908778364,0.5507715936076198
qwen_instruct,qwen,instruct,writer,arousal,0.1559106475770028,0.140787313411134
qwen_instruct,qwen,instruct,writer,dominance,0.0604229099947533,0.0657456615351936
qwen_instruct,qwen,instruct,reader,valence,0.587331916087343,0.5923248354532092
qwen_instruct,qwen,instruct,reader,arousal,0.2928013653898958,0.2566640904062087
qwen_instruct,qwen,instruct,reader,dominance,0.0302851160753446,0.0358279675358583
qwen_instruct,qwen,instruct,self,valence,0.5373336274193443,0.5354674664444422
qwen_instruct,qwen,instruct,self,arousal,0.2507524590533573,0.2076616092975054
qwen_instruct,qwen,instruct,self,dominance,0.1091596143111458,0.1193977247231376
