model,family,alignment,task,axis,mean_aligned_delta,ci_low,ci_high,cohen_dz
gemma_base,gemma,base,writer,valence,-0.0094606942122447,-0.016512344459271,-0.0026089639216591,-0.1809214840885219
gemma_base,gemma,base,reader,valence,-0.0053570085119536,-0.0141513576210117,0.0031357548531797,-0.0891965125509656
gemma_base,gemma,base,self,valence,-0.0019799704013122,-0.0105066113364577,0.00621671820182,-0.0328437630324162
gemma_base,gemma,base,writer,arousal,-0.0063806745529501,-0.0116240842730771,-0.0012140640136446,-0.1684516392795672
gemma_base,gemma,base,reader,arousal,-0.0024361388368422,-0.0076884404497472,0.0025212022319238,-0.0679357300328247
gemma_base,gemma,base,self,arousal,-0.006526424811756,-0.011917182193812,-0.0010280109373067,-0.1745550004744548
gemma_base,gemma,base,writer,dominance,0.0008172672488591,-0.0028412430774628,0.0043558120306786,0.0299236370609792
gemma_base,gemma,base,reader,dominance,1.1971907435020154e-05,-0.0037282718601843,0.0037082915138804,0.0004393391773087
gemma_base,gemma,base,self,dominance,0.0012142091088455,-0.0025650131943531,0.0050509436726478,0.0436300406620405
gemma_instruct,gemma,instruct,writer,valence,-0.0114161191614104,-0.0309535365758827,0.007235640980374,-0.0830242513867517
gemma_instruct,gemma,instruct,reader,valence,0.000407874823206,-0.0140032009562124,0.0155539651976548,0.0038410397203934
gemma_instruct,gemma,instruct,self,valence,0.001260332828029,-0.0159464824270774,0.0186732094794965,0.010193269676333
gemma_instruct,gemma,instruct,writer,arousal,0.0167330238937586,-0.0044799045358308,0.0395519174818031,0.1030364996628061
gemma_instruct,gemma,instruct,reader,arousal,0.1157626115567794,0.0916419803058353,0.141799374245311,0.6465495370579272
gemma_instruct,gemma,instruct,self,arousal,0.0121167887061184,-0.0108125693632927,0.038391246799252,0.0684298267899552
gemma_instruct,gemma,instruct,writer,dominance,-0.0179598381324197,-0.0443240697118325,0.0080266985422796,-0.0958973144503438
gemma_instruct,gemma,instruct,reader,dominance,-0.0141066633636914,-0.0398425299691886,0.0110773296732568,-0.0779430277096973
gemma_instruct,gemma,instruct,self,dominance,-0.0075792145716299,-0.0343733370380557,0.0194270976890757,-0.0391722030401769
llama_base,llama,base,writer,valence,-0.0001019395167711,-0.001538817644679,0.0015898951844212,-0.0090854222648013
llama_base,llama,base,reader,valence,0.0011241058756226,-0.0002422435355337,0.0026379416722628,0.1085193500072293
llama_base,llama,base,self,valence,0.0004612712653048,-0.0011200752927565,0.0020575642550833,0.0394265052661466
llama_base,llama,base,writer,arousal,0.0014555531608483,0.0004736110160337,0.0024566579392333,0.2029060182033158
llama_base,llama,base,reader,arousal,0.0017228072110293,0.00074001595862,0.0027797484531829,0.2344510340747043
llama_base,llama,base,self,arousal,0.0018829053807402,0.0008450086332315,0.0029563731750205,0.2414982808649255
llama_base,llama,base,writer,dominance,-9.640702572432752e-05,-0.0011998977405504,0.0010959686305408,-0.012960424645848
llama_base,llama,base,reader,dominance,-0.0003159139669474,-0.001261049518163,0.0006837240320514,-0.0464649411002718
llama_base,llama,base,self,dominance,-0.0004050288252062,-0.0015380993575758,0.0007569180394537,-0.0512021921941455
llama_instruct,llama,instruct,writer,valence,0.0046765297439226,0.000876829413425,0.0086441349221758,0.1668594675803503
llama_instruct,llama,instruct,reader,valence,0.0005263977616673,-0.0039619446750334,0.0057509224367071,0.015798847841045
llama_instruct,llama,instruct,self,valence,0.0065013542218523,0.0028338907825971,0.0103312082373675,0.2405473675167166
llama_instruct,llama,instruct,writer,arousal,0.0250641297424783,0.0194025763955712,0.0308069227155744,0.5649356407879049
llama_instruct,llama,instruct,reader,arousal,0.0710839872499279,0.061322344900993,0.0809016618239152,0.9720890337634236
llama_instruct,llama,instruct,self,arousal,0.0185043590432173,0.0124485989903317,0.0244117845388121,0.4171426283312339
llama_instruct,llama,instruct,writer,dominance,-0.0123617058406597,-0.020428307698769,-0.0046755675006162,-0.2288904282254471
llama_instruct,llama,instruct,reader,dominance,-0.0130647862589091,-0.0218618392645131,-0.0050515779357054,-0.2246325023620037
llama_instruct,llama,instruct,self,dominance,-0.0149081919452623,-0.0235720588754284,-0.0070891877724373,-0.2603086320773178
olmo_base,olmo,base,writer,valence,-0.0088276013626852,-0.0141512221919572,-0.0033135961049467,-0.2316979158270516
olmo_base,olmo,base,reader,valence,-0.0061784428743594,-0.0117668556427696,-0.0002153973198067,-0.1502453671861197
olmo_base,olmo,base,self,valence,-0.0025323541762113,-0.0049133223062387,-0.0002193503613263,-0.1414995989368623
olmo_base,olmo,base,writer,arousal,-0.0022534029322074,-0.0045283336117534,-8.6108869145892e-05,-0.1408740527968435
olmo_base,olmo,base,reader,arousal,-0.0033309010873154,-0.0057345989234702,-0.0007097352000578,-0.1902211623594514
olmo_base,olmo,base,self,arousal,-0.0007729423110855,-0.0022021230745582,0.0007353022370789,-0.0714088929677284
olmo_base,olmo,base,writer,dominance,-0.0003621634949702,-0.0016299567751826,0.000894316756762,-0.0397274516448772
olmo_base,olmo,base,reader,dominance,-0.000804345431378,-0.0021213916643267,0.0005770784639644,-0.0797098680414885
olmo_base,olmo,base,self,dominance,-0.0007283263532678,-0.0018795705463603,0.0003793792161085,-0.0929936047771823
olmo_instruct,olmo,instruct,writer,valence,0.0102928339459519,0.0067065563176705,0.0139519125307234,0.3870393475513273
olmo_instruct,olmo,instruct,reader,valence,0.007523176923906,0.0041050500121513,0.0108453181227335,0.3185580133989908
