model,family,alignment,task,axis,mean_neutral,mean_moderate,mean_clinical,step1_mean,step2_mean
gemma_base,gemma,base,writer,valence,4.927758908122991,4.927405813412801,4.922292774136635,-0.0149128581367877,0.0032091358396593
gemma_base,gemma,base,reader,valence,4.924076976515583,4.923363395280583,4.922199087081025,-0.0133502623945301,0.0054837336454016
gemma_base,gemma,base,self,valence,4.906933220080301,4.916722759283143,4.9165558228238,-0.0152687873395764,0.0131234952877032
gemma_base,gemma,base,writer,arousal,4.934303571745659,4.932119525138081,4.927539188759433,0.0005492341034452,-0.0056165397291788
gemma_base,gemma,base,reader,arousal,4.938092090968506,4.941254278238357,4.934226330496603,0.00818796049385,-0.0099987858625764
gemma_base,gemma,base,self,arousal,4.942110910773458,4.943896539394988,4.9295620364282025,0.0038835056300349,-0.0149599771701762
gemma_base,gemma,base,writer,dominance,4.955266672112734,4.950857512261923,4.955983563858509,0.0024722369603012,0.0048312417178201
gemma_base,gemma,base,reader,dominance,4.964744996647899,4.958726683531887,4.964092814602676,0.0024204617088985,0.0040796963887249
gemma_base,gemma,base,self,dominance,4.960500503905784,4.956420870684922,4.962882843522006,0.0030940905527416,0.0043535007329097
gemma_instruct,gemma,instruct,writer,valence,4.8474647537378335,4.894351822873591,4.899923365985891,0.0081486340099384,-0.0192183297776588
gemma_instruct,gemma,instruct,reader,valence,4.965126490272573,4.970109567366048,4.990875665142156,0.0122208547025844,0.0163889769224622
gemma_instruct,gemma,instruct,self,valence,4.667452783428602,4.712647674165358,4.73420993307422,0.0234388711914277,-0.0127342788787364
gemma_instruct,gemma,instruct,writer,arousal,4.732285296557735,4.723820328580535,4.776755636866972,-0.0205870368077871,0.0661178185981921
gemma_instruct,gemma,instruct,reader,arousal,4.763384271873441,4.832033691658487,4.969185620152115,0.05046650133333,0.1244165104299483
gemma_instruct,gemma,instruct,self,arousal,4.819712053428278,4.773277429006839,4.844479494622576,-0.041523179647592,0.0727922046319385
gemma_instruct,gemma,instruct,writer,dominance,5.177094035191585,5.094620601890934,5.131998178606868,-0.0630249964226929,0.0697890663644424
gemma_instruct,gemma,instruct,reader,dominance,5.194197449385104,5.142921914612868,5.163392951690352,-0.0512293247491568,0.0782043564027693
gemma_instruct,gemma,instruct,self,dominance,5.254082251267963,5.213387569864928,5.247623176662038,-0.060787599716611,0.074051112644202
llama_base,llama,base,writer,valence,4.952135784569705,4.951168221377955,4.947031467361793,-0.0038571273317044,0.0021893147933364
llama_base,llama,base,reader,valence,4.943794537561952,4.943020476198701,4.938264539593253,-0.0019491258768489,0.0014649109782122
llama_base,llama,base,self,valence,4.9483747892968655,4.947911045216368,4.943488576344941,-0.0029952932352734,0.0029944035381294
llama_base,llama,base,writer,arousal,4.9868941360761925,4.983211076013081,4.988078681423903,-0.0031401499859523,0.0047405489918328
llama_base,llama,base,reader,arousal,4.983800112453923,4.98035581192491,4.985304189180003,-0.0024259285697974,0.0044238383094136
llama_base,llama,base,self,arousal,4.984701918061622,4.9807799591624375,4.9868234403406335,-0.0034615589761671,0.0056680893276053
llama_base,llama,base,writer,dominance,4.960104208339023,4.958750638363327,4.9616319934757085,-0.005472182849983,0.0055970810147005
llama_base,llama,base,reader,dominance,4.953967085507597,4.953416606045141,4.954779948909178,-0.0044863202262718,0.0040432651275077
llama_base,llama,base,self,dominance,4.958204293093531,4.957049090591256,4.96007239334026,-0.0054485252558844,0.0050942489239956
llama_instruct,llama,instruct,writer,valence,5.071181490032811,5.059582824951171,5.068165751739649,0.0156668065486636,-0.011371216683463
llama_instruct,llama,instruct,reader,valence,5.087215203125738,5.082096204751919,5.09420055723178,0.009495049934645,-0.015193732204747
llama_instruct,llama,instruct,self,valence,5.052596254145974,5.033606947461756,5.049815585300608,0.0160000163899713,-0.0097563988675888
llama_instruct,llama,instruct,writer,arousal,4.829600744744432,4.816631949819897,4.854682237941664,0.0016068572495745,0.0280001703322225
llama_instruct,llama,instruct,reader,arousal,4.787339787419314,4.8160086422589705,4.888589544215558,0.0370462185997336,0.0543134118846556
llama_instruct,llama,instruct,self,arousal,4.8599183831712205,4.832552586470677,4.874831873480349,-0.0092511197740065,0.0303566145600509
llama_instruct,llama,instruct,writer,dominance,4.92486281500105,4.867362095904279,4.885807068301051,-0.0260942955896483,0.0066909004961622
llama_instruct,llama,instruct,reader,dominance,4.936826713963022,4.877451105203277,4.892519375323089,-0.0251819916251572,0.0070219956720923
llama_instruct,llama,instruct,self,dominance,4.947475200759352,4.88764356894833,4.90217427564316,-0.0251980883082081,0.0047665109890445
olmo_base,olmo,base,writer,valence,4.947848761458547,4.920426134311921,4.912367331461963,-0.0153137341831737,-0.0015404058379431
olmo_base,olmo,base,reader,valence,4.92941087402874,4.901190735616013,4.896143817755941,-0.0108404381449972,-0.0005006523979908
olmo_base,olmo,base,self,valence,4.9813461979118605,4.972619758058834,4.970919935968911,-0.0030311475584661,-0.0007872306862353
olmo_base,olmo,base,writer,arousal,4.9402174316022185,4.932046973774106,4.934605960943033,-0.004535630609616,7.974060509981691e-05
olmo_base,olmo,base,reader,arousal,4.928326385092867,4.915274255360241,4.920797860889012,-0.0096024425123676,0.0022658053817768
olmo_base,olmo,base,self,arousal,4.9616479160197935,4.952647449886409,4.956642712912618,-0.0050650787861326,0.0006257119229312
olmo_base,olmo,base,writer,dominance,4.984877705788563,4.981913743915041,4.984405213406903,-0.0002133730216632,-0.0013001102655833
olmo_base,olmo,base,reader,dominance,4.977304407953959,4.973749245184,4.978001189794711,-0.0007767943819908,-0.0015313303637212
olmo_base,olmo,base,self,dominance,4.9976618211739,4.995350620495688,4.996290319500425,-0.0010319112858549,-0.0014432729186718
olmo_instruct,olmo,instruct,writer,valence,5.097197184439791,5.094524319139051,5.095963233843831,0.005518456027582,0.0070130572694483
olmo_instruct,olmo,instruct,reader,valence,5.103544879720212,5.1031048555690655,5.101190988174055,0.0047316067674833,0.0055897729739947
olmo_instruct,olmo,instruct,self,valence,5.090199900403079,5.086394034316745,5.083796902188103,0.003586003993272,0.0070628189829218
olmo_instruct,olmo,instruct,writer,arousal,5.202714560047085,5.1292571738051445,5.153714672101099,-0.0414437224177354,0.0082539315728803
olmo_instruct,olmo,instruct,reader,arousal,5.1860591109821454,5.127117717929493,5.160168584471864,-0.0290622909436084,0.0163110601324562
olmo_instruct,olmo,instruct,self,arousal,5.208546331227672,5.144410302783061,5.166727461922192,-0.0347890576096311,0.006920753647287
olmo_instruct,olmo,instruct,writer,dominance,5.1444402214848255,5.103297259514559,5.152161145017421,0.0066523562997541,0.0048189119942342
olmo_instruct,olmo,instruct,reader,dominance,5.110638342265979,5.0712798342202525,5.115758874515374,0.0086127059766802,0.0079933138440993
olmo_instruct,olmo,instruct,self,dominance,5.124637112066921,5.09189501113617,5.131223071576123,0.0097236299845635,0.0016707150439756
qwen_base,qwen,base,writer,valence,4.982639644656001,4.980357054224549,4.9798227156514985,0.0029021909910076,0.0016608919580112
qwen_base,qwen,base,reader,valence,4.993374640744876,4.987713903101416,4.98683808164132,0.0041265149894077,-0.0029694977224445
qwen_base,qwen,base,self,valence,4.967810003778497,4.966341102934794,4.96941708085976,0.0030539559487633,0.0014412907462859
qwen_base,qwen,base,writer,arousal,5.007907947946258,5.000171693393852,5.016421958174605,-0.0023284841695564,0.0142414838146472
qwen_base,qwen,base,reader,arousal,5.006846127563651,5.004041747656433,5.023533292994617,0.0034370095410103,0.0162994392917014
qwen_base,qwen,base,self,arousal,5.016520260876085,5.009003968840792,5.018601330948896,-0.0028012798273144,0.0092139878869648
qwen_base,qwen,base,writer,dominance,5.037311522467437,5.023395185144689,5.019604964747381,-0.0052345971071987,-0.0017645908343858
qwen_base,qwen,base,reader,dominance,5.037564641074416,5.025460737644461,5.023006803611877,-0.0052922337460676,-0.0003671955280945
qwen_base,qwen,base,self,dominance,5.043697798346323,5.0276531760207375,5.022411532426262,-0.0065105142314329,-0.0029704945679471
qwen_instruct,qwen,instruct,writer,valence,5.020517798548586,4.994511973329065,5.009962353177985,0.020642365264518,-0.0026703815313652
