model,family,alignment,axis,delta_r,delta_ci_low,delta_ci_high,raw_r
gemma_base,gemma,base,valence,0.8133539610738367,0.703578472227727,0.88820328165964,0.8723967720520789
gemma_base,gemma,base,arousal,0.7823925363444233,0.6848803236811594,0.8526895016275132,0.8246991969547881
gemma_base,gemma,base,dominance,0.9380958245835626,0.8913587341421095,0.9643149986724407,0.963975085384331
gemma_instruct,gemma,instruct,valence,0.6207853532497536,0.5173181877273799,0.7126482937563332,0.6426540126908207
gemma_instruct,gemma,instruct,arousal,0.7801724302034226,0.659606898814772,0.8572522059373341,0.7561151628676909
gemma_instruct,gemma,instruct,dominance,0.9010538123669448,0.8621206609016135,0.9309686963671928,0.91519607754582
llama_base,llama,base,valence,0.6615225589583738,0.5699260012365487,0.7330944482056113,0.8635107079868176
llama_base,llama,base,arousal,0.8761958729091709,0.8385172542693833,0.9044584813695732,0.9411533272295344
llama_base,llama,base,dominance,0.9038149905200968,0.8762879014266369,0.9257204942513976,0.94946344441255
llama_instruct,llama,instruct,valence,0.7559104694115304,0.675110012037644,0.8165428794214566,0.7985302350558889
llama_instruct,llama,instruct,arousal,0.7544248776876926,0.6973897950403171,0.8074317747246783,0.7176713614514494
llama_instruct,llama,instruct,dominance,0.9203602162396808,0.8947526913339059,0.9411193733850352,0.952780511101608
olmo_base,olmo,base,valence,0.5592606909316151,0.4442620037223657,0.6595475195442946,0.6675258583340532
olmo_base,olmo,base,arousal,0.6003886983615265,0.4689871640649525,0.7084612729406912,0.6370935979075857
olmo_base,olmo,base,dominance,0.7092270931175222,0.6310773468844821,0.7669611895601497,0.7860873747569371
olmo_instruct,olmo,instruct,valence,0.8513781024805616,0.810659118470154,0.885391555354258,0.9027424972398748
olmo_instruct,olmo,instruct,arousal,0.9313556120077178,0.9080937525641268,0.9495308380356275,0.935097740729922
olmo_instruct,olmo,instruct,dominance,0.9305207498640812,0.9084871088984088,0.9489907059908064,0.9414265967721408
qwen_base,qwen,base,valence,0.8089143752445036,0.7549932429949706,0.8544389946456917,0.8377112249137117
qwen_base,qwen,base,arousal,0.8660041509143437,0.8315786681768053,0.8924232947058836,0.828109863126995
qwen_base,qwen,base,dominance,0.9558777395045616,0.944458428990546,0.966121544423074,0.9561784387089456
qwen_instruct,qwen,instruct,valence,0.8919767556186255,0.8594903202689319,0.918183891029746,0.8982106069580542
qwen_instruct,qwen,instruct,arousal,0.9172623799417392,0.8923791959660896,0.9383902687838154,0.8984572539496886
qwen_instruct,qwen,instruct,dominance,0.8095606208112871,0.748443783878859,0.8571882952995562,0.8827738195482041
