model,family,alignment,axis,relative_depth,direct_transfer,rsa,alignment_gain
gemma_base,gemma,base,valence,0.0,0.0,0.9870278970256656,0.0209879329044797
gemma_base,gemma,base,arousal,0.0,0.0,0.9870278970256656,9.47021236559209e-05
gemma_base,gemma,base,valence,0.04,0.0,0.9701080517516454,0.0054226626848743
gemma_base,gemma,base,arousal,0.04,0.0,0.9701080517516454,0.0230480055465251
gemma_base,gemma,base,valence,0.08,0.0,0.9813840194458396,0.0158095522697244
gemma_base,gemma,base,arousal,0.08,0.0,0.9813840194458396,0.0223916790581699
gemma_base,gemma,base,valence,0.12,0.0,0.9832600627547334,0.0230474434187919
gemma_base,gemma,base,arousal,0.12,0.0,0.9832600627547334,0.0152926915897466
gemma_base,gemma,base,valence,0.16,0.0,0.9746566417767054,0.0351028799146105
gemma_base,gemma,base,arousal,0.16,0.0,0.9746566417767054,-0.0025581598079069
gemma_base,gemma,base,valence,0.2,0.0,0.9566356939202916,0.009676913452511
gemma_base,gemma,base,arousal,0.2,0.0,0.9566356939202916,0.0032643641796885
gemma_base,gemma,base,valence,0.24,0.0,0.946849275554225,0.0341250773212666
gemma_base,gemma,base,arousal,0.24,0.0,0.946849275554225,0.0147869578027404
gemma_base,gemma,base,valence,0.28,0.0,0.9378941410845796,0.0278339316032368
gemma_base,gemma,base,arousal,0.28,0.0,0.9378941410845796,0.0238323432262914
gemma_base,gemma,base,valence,0.32,0.0,0.9398537111699408,0.0314390665111287
gemma_base,gemma,base,arousal,0.32,0.0,0.9398537111699408,0.0114365087796497
gemma_base,gemma,base,valence,0.36,0.0,0.9345452211690076,0.0804493128598209
gemma_base,gemma,base,arousal,0.36,0.0,0.9345452211690076,0.017446423450469
gemma_base,gemma,base,valence,0.4,0.0,0.9449376324400298,0.0308136662230534
gemma_base,gemma,base,arousal,0.4,0.0,0.9449376324400298,0.0295637673786843
gemma_base,gemma,base,valence,0.44,0.0,0.9276020180932636,0.0169604965745794
gemma_base,gemma,base,arousal,0.44,0.0,0.9276020180932636,0.0650519788335178
gemma_base,gemma,base,valence,0.48,0.0,0.914556339178022,-0.0082726695039763
gemma_base,gemma,base,arousal,0.48,0.0,0.914556339178022,0.0354548978586586
gemma_base,gemma,base,valence,0.52,0.0,0.902424112185772,0.0121857500701662
gemma_base,gemma,base,arousal,0.52,0.0,0.902424112185772,0.0282975242711585
gemma_base,gemma,base,valence,0.56,0.0,0.8957941329039525,0.0239213260229197
gemma_base,gemma,base,arousal,0.56,0.0,0.8957941329039525,0.0227678115495453
gemma_base,gemma,base,valence,0.6,0.0,0.9005548783245864,0.02331421163392
gemma_base,gemma,base,arousal,0.6,0.0,0.9005548783245864,0.0376648421532457
gemma_base,gemma,base,valence,0.64,0.0,0.9087722825399852,0.0109231500524762
gemma_base,gemma,base,arousal,0.64,0.0,0.9087722825399852,0.0188513071139796
gemma_base,gemma,base,valence,0.68,0.0,0.8255623250070186,0.0072406843969476
gemma_base,gemma,base,arousal,0.68,0.0,0.8255623250070186,0.0055858973060989
gemma_base,gemma,base,valence,0.72,0.0,0.8724194816979376,0.0101036138241809
gemma_base,gemma,base,arousal,0.72,0.0,0.8724194816979376,0.0058860132629221
gemma_base,gemma,base,valence,0.76,0.0,0.8832200906279974,0.0025445557121309
gemma_base,gemma,base,arousal,0.76,0.0,0.8832200906279974,0.0023899082413751
gemma_base,gemma,base,valence,0.8,0.0,0.887545745570988,0.0005397429705422
gemma_base,gemma,base,arousal,0.8,0.0,0.887545745570988,0.0039800659005073
gemma_base,gemma,base,valence,0.84,0.0,0.8978544663685171,0.0069889749592333
gemma_base,gemma,base,arousal,0.84,0.0,0.8978544663685171,0.0040639846860616
gemma_base,gemma,base,valence,0.88,0.0,0.9007754977345954,0.003252025520498
gemma_base,gemma,base,arousal,0.88,0.0,0.9007754977345954,0.0029815731899405
gemma_base,gemma,base,valence,0.92,0.0,0.9066718062644818,0.0057016518382703
gemma_base,gemma,base,arousal,0.92,0.0,0.9066718062644818,0.0030759823096709
gemma_base,gemma,base,valence,0.96,0.0,0.910337219025908,0.0061093299780712
gemma_base,gemma,base,arousal,0.96,0.0,0.910337219025908,0.0010399551654323
gemma_base,gemma,base,valence,1.0,0.0,0.906028247081465,0.0093313664473915
gemma_base,gemma,base,arousal,1.0,0.0,0.906028247081465,0.0030624777972444
gemma_instruct,gemma,instruct,valence,0.0,0.0,0.9681955985049914,-0.0223256150277603
gemma_instruct,gemma,instruct,arousal,0.0,0.0,0.9681955985049914,0.0185058987139314
gemma_instruct,gemma,instruct,valence,0.04,0.0,0.9693629790293894,0.0080327010057865
gemma_instruct,gemma,instruct,arousal,0.04,0.0,0.9693629790293894,0.001817675116188
gemma_instruct,gemma,instruct,valence,0.08,0.0,0.9690668205457692,-0.0065251347976864
gemma_instruct,gemma,instruct,arousal,0.08,0.0,0.9690668205457692,0.0080796536520171
gemma_instruct,gemma,instruct,valence,0.12,0.0,0.9723716983985062,-0.0041721977056823
gemma_instruct,gemma,instruct,arousal,0.12,0.0,0.9723716983985062,0.0408671447342443
gemma_instruct,gemma,instruct,valence,0.16,0.0,0.9794246414841622,0.018776894871367
